uuid,name,address,rating,type,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
academy_859,중앙보습학원,서울특별시 서초구 방배로 211,4.6,보습,POINT (126.9906421 37.4919951),pedestrian_2510006962,localroad_2510006962
academy_860,동신보습학원,서울특별시 서초구 반포대로 93,3,,POINT (127.0087483 37.4884541),pedestrian_3089166485,localroad_3089166485
academy_862,엘브라운의대관학원,서울특별시 서초구 신반포로 165,4.3,,POINT (127.0021861 37.5057261),pedestrian_10313078477,localroad_1445606439
academy_871,예신음악학원,서울특별시 서초구 방배로 22,4.7,음악,POINT (127.0009505 37.4770713),pedestrian_11431861572,localroad_1696934651
academy_875,잔디음악학원,서울특별시 서초구 방배로20길 25-3 (),2.6,,POINT (126.9962395 37.4860959),pedestrian_4107783310,localroad_4107783310
academy_880,피앤피아카데미(P&P Academy)학원,서울특별시 서초구 동광로 15,3,보습,POINT (126.9845826 37.4910332),pedestrian_3804191248,localroad_3804191248
academy_881,하수꽃꽂이학원,서울특별시 서초구 논현로 39,3.2,공예,POINT (127.0478285 37.4741515),pedestrian_4184618645,localroad_4184618645
academy_883,국제컴퓨터학원,서울특별시 서초구 서초대로73길 54,4.9,컴퓨터,POINT (127.0241085 37.5020257),pedestrian_1430655032,localroad_1430655018
academy_889,가나어학학원,서울특별시 서초구 신반포로 195,3.5,어학,POINT (127.0055318 37.5067454),pedestrian_9787421579,localroad_4147053966
academy_895,서초그린섬미술학원,서울특별시 서초구 방배로 92,3.4,미술,POINT (126.9972129 37.4826441),pedestrian_3092110166,localroad_4185835030
academy_897,리즈음악학원,서울특별시 서초구 고무래로 90-7,3.4,음악,POINT (127.0174633 37.4999252),pedestrian_3401867792,localroad_3212533179
academy_898,서원음악학원,서울특별시 서초구 서초중앙로29길 28,3.3,음악,POINT (127.0087853 37.5010511),pedestrian_8489299002,localroad_1962358614
academy_899,아이캔보습학원,서울특별시 서초구 방배로43길 21,3.4,,POINT (126.9874554 37.4951846),pedestrian_4146699347,localroad_2533109218
academy_900,수이지수학전문학원,서울특별시 서초구 잠원로14길 29,4.9,보습,POINT (127.0154635 37.5178575),pedestrian_6581927926,localroad_595776308
academy_902,신동아학원,서울특별시 서초구 효령로 164,3.5,보습,POINT (127.0014497 37.4811843),pedestrian_1696934690,localroad_1696934690
academy_904,예일보습학원,서울특별시 서초구 사임당로 91,3.2,보습,POINT (127.0198872 37.4901239),pedestrian_9602018670,localroad_2295365587
academy_910,준암보습학원,서울특별시 서초구 방배로26길 6,4.2,,POINT (126.9933747 37.4889279),pedestrian_2623456118,localroad_2623456118
academy_913,제일진성보습학원,서울특별시 서초구 언남10길 30,4.4,,POINT (127.0447698 37.4728563),pedestrian_4184618649,localroad_4184618649
academy_915,란음악학원,서울특별시 서초구 사평대로22길 42 (),3.5,음악,POINT (126.9975193 37.4977844),pedestrian_2622810001,localroad_2622810001
academy_916,박정어학원,서울특별시 서초구 서초중앙로20길 23,3.6,어학,POINT (127.0154692 37.4924479),pedestrian_9717256586,localroad_9717256586
academy_918,이든음악학원,서울특별시 서초구 바우뫼로 101,3.6,,POINT (127.0322158 37.4749978),pedestrian_3732523552,localroad_1925380126
academy_920,시온음악학원,서울특별시 서초구 남부순환로315길 89,3.5,음악,POINT (127.0071662 37.4823948),pedestrian_1430676800,localroad_1430676800
academy_924,녹지미술학원,서울특별시 서초구 방배로 60,3.2,,POINT (126.9988966 37.4801715),pedestrian_436844215,localroad_436844215
academy_925,탑클래스독서실,서울특별시 서초구 잠원로 204?,3.5,독서실,POINT (127.0143295 37.5197852),pedestrian_11225321857,localroad_4954438710
academy_929,한국회계학원,서울특별시 서초구 서초중앙로 118,3,,POINT (127.0142486 37.4923927),pedestrian_2388037859,localroad_2388037859
academy_930,서울애완동물관리학원,서울특별시 서초구 남부순환로 2626,4.3,애견미용,POINT (127.0381047 37.4848133),pedestrian_3827169478,localroad_4184399721
academy_933,양재왕수학보습학원,서울특별시 서초구 바우뫼로7길 8,2.6,,POINT (127.0253957 37.4708599),pedestrian_4634856427,localroad_4634856427
academy_934,연세아카데미학원,서울특별시 서초구 바우뫼로7길 16,4.5,,POINT (127.0250988 37.4710827),pedestrian_8491008568,localroad_4634856426
academy_935,리드유(Leadu)영어학원,서울특별시 서초구 서초중앙로33길 7,3.4,보습,POINT (127.0112169 37.5010535),pedestrian_1962358596,localroad_1962358596
academy_940,피에스에이서초어학학원,서울특별시 서초구 효령로 388,3.4,기타,POINT (127.026266 37.4874285),pedestrian_3827170281,localroad_3827170281
academy_942,서초제일보습학원,서울특별시 서초구 남부순환로333길 56,3.3,,POINT (127.0218585 37.4846348),pedestrian_3827257129,localroad_3827257129
