uuid,name,slope,parking_area,number_of_households,area,construction_year,green_space_area,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,pop,pop_ratio,pop_increase,taxi,income,income_increase,floating_pop,reconstructiondistrcit,pedestrian_entrance_uuid,vehicle_entrance_uuid,geometry
apartment_1165010859,DK밸리뷰서초,1.21579957,57,105,4270.02,2022,19.62351772,50,매주,매주,1,28820334.56,420,"[1.779700871, 6.618971015, 15.26028871, 21.75955247, 24.71574498, 17.96180503, 9.599124864, 2.304812053]",25,4.8,5085.99,16.12,583,0,pedestrian_1965713727,localroad_1965713727,"MultiPolygon (((127.0139363 37.48784386, 127.01376483 37.48779229, 127.01367943 37.48797082, 127.01386876 37.48802835, 127.01392568 37.48790864, 127.01390777 37.48790328, 127.0139363 37.48784386)))"
apartment_1165010313,LH서초5단지,0.550438702,419,358,3606.25,2013,19.28865095,91,매주,매주,1,17547822.6,1790,"[0.38342987, 5.445463145, 9.017067408, 17.74670297, 25.88460841, 21.19054412, 15.15953522, 5.172648857]",1,4.1,5426.2,7.12,648,0,pedestrian_8269997110,localroad_3634017594,"MultiPolygon (((127.02421183 37.45928328, 127.02427802 37.45928327, 127.02438704 37.45927704, 127.02446102 37.45929875, 127.02458172 37.45930804, 127.02474138 37.45937319, 127.02473732 37.45938035, 127.024866 37.45944765, 127.0248603 37.45945528, 127.02497115 37.45951591, 127.02584035 37.45952138, 127.02606132 37.45941948, 127.02556663 37.45877709, 127.02503309 37.45837371, 127.02458528 37.45819998, 127.02438292 37.45853523, 127.02421183 37.45928328)))"
apartment_1165010816,강남역푸르지오시티오피스텔,0.369096905,25,137,23833.35,2014,18.52384731,2,매주,매주,1,22025721.49,274,"[1.784672676, 7.992283862, 21.0212695, 22.86715993, 22.23064801, 13.9226728, 7.766030726, 2.415262504]",28,4.2,5288.83,16.6,825,0,pedestrian_9621002224,localroad_3825549659,"MultiPolygon (((127.02911434 37.49179321, 127.02909724 37.49183029, 127.02935703 37.49190491, 127.02944714 37.49171854, 127.02915179 37.49163374, 127.02916034 37.49161534, 127.02884115 37.49151924, 127.02875964 37.49168832, 127.02911434 37.49179321)))"
apartment_1165010615,강변,0.289592552,324,360,1915.23,1987,19.36255057,17,매주,매주,1,55113674.77,1440,"[0.394463019, 5.771384871, 10.76528669, 17.17953967, 23.57222156, 21.44080638, 14.69794083, 6.178356987]",16,4.4,6225.62,2.3,624,0,pedestrian_8488841761,localroad_4185626619,"MultiPolygon (((127.01199292 37.51843241, 127.01237355 37.5181805, 127.0123923 37.51819839, 127.0126162 37.51804657, 127.01271002 37.51806458, 127.01282401 37.5178621, 127.01283249 37.51783597, 127.01289448 37.51782479, 127.01291903 37.51785416, 127.01320725 37.51789503, 127.01326075 37.51786476, 127.01326968 37.5178028, 127.01329074 37.51767072, 127.01327966 37.51764076, 127.01318609 37.51753633, 127.01288182 37.51720817, 127.01282312 37.51719166, 127.01217651 37.51737241, 127.01202377 37.51740942, 127.01117091 37.51764402, 127.0113363 37.51780059, 127.01154849 37.51800288, 127.01172671 37.51817718, 127.01194975 37.51839428, 127.01199292 37.51843241)))"
apartment_1165010620,금호베스트빌,0.43034476,215,117,5879.84,2002,19.31363177,46,매주,매주,1,45190998.88,585,"[0.371293841, 5.901803707, 11.18435643, 16.37130154, 23.69550503, 20.64302612, 15.29400702, 6.538706316]",10,3.7,8645.82,23.37,375,0,pedestrian_8488915381,localroad_436841230,"MultiPolygon (((127.01475898 37.51489998, 127.0146902 37.51452504, 127.01408203 37.51427333, 127.01358386 37.51435275, 127.01366294 37.51468662, 127.01375574 37.5149384, 127.01413023 37.51485352, 127.0141371 37.51487541, 127.01444287 37.51479875, 127.01450473 37.51494105, 127.01475898 37.51489998)))"
apartment_1165010301,대림,5.788648129,651,412,5492.24,1995,17.65848626,42,매주,매주,1,27228236.56,1236,"[2.697816921, 4.086333789, 11.55334483, 11.65740951, 16.30823433, 21.55877033, 21.17094988, 10.96714041]",1,3.8,6659.92,25.76,612,0,pedestrian_4634856403,localroad_4634856403,"MultiPolygon (((127.0231342 37.47351325, 127.02337198 37.47347484, 127.02377632 37.47351026, 127.02394227 37.47351885, 127.02399951 37.47349788, 127.02406851 37.47344407, 127.02410096 37.47339518, 127.02412979 37.47332618, 127.02413054 37.47324847, 127.0239384 37.47264193, 127.02390592 37.47259881, 127.02382658 37.47266207, 127.02358121 37.47247524, 127.02364974 37.47241484, 127.02355592 37.47235352, 127.02337913 37.47221938, 127.02336361 37.47220552, 127.02337914 37.47219021, 127.02281388 37.47178254, 127.02270099 37.47191295, 127.02266438 37.47192277, 127.02250754 37.47207157, 127.02238136 37.47229722, 127.02228019 37.47232795, 127.02226607 37.47235143, 127.02186532 37.47263145, 127.02189661 37.47267105, 127.0220044 37.47274244, 127.02204094 37.47277742, 127.02194725 37.47313107, 127.0226328 37.47363122, 127.0227338 37.47359095, 127.0231342 37.47351325)))"
apartment_1165010108,대우효령,6.476619244,364,364,4303,1992,20.00095738,5,매주,매주,1,24418621.59,1092,"[1.409409137, 12.48400521, 17.06782056, 17.99715263, 20.23849076, 16.49020699, 11.27500624, 3.037908476]",2,4.1,6461.88,15.67,426,0,pedestrian_8486344917,localroad_4185991213,"MultiPolygon (((126.99457289 37.47928239, 126.99462053 37.47918561, 126.99475391 37.47890855, 126.99463723 37.47885731, 126.99449197 37.47891423, 126.99428956 37.47894079, 126.99413478 37.47888385, 126.99389189 37.47879084, 126.99379371 37.47894122, 126.99373638 37.47902914, 126.99316259 37.47923841, 126.99315084 37.47923868, 126.99298544 37.47918749, 126.99297368 37.47918911, 126.99296418 37.47919496, 126.99295672 37.47920226, 126.99294982 37.47920992, 126.99294632 37.47921397, 126.9928679 37.47937337, 126.99269163 37.47971306, 126.99433468 37.48025023, 126.99434689 37.48022715, 126.99442084 37.48008255, 126.99447419 37.47998426, 126.99451085 37.47997587, 126.99456908 37.47985577, 126.99459756 37.47964558, 126.99456628 37.47958295, 126.99452048 37.47949305, 126.99449668 37.4794418, 126.99451334 37.47940195, 126.99457289 37.47928239)))"
apartment_1165010827,더샵서초,1.750636101,1125,329,2459,2006,18.53792725,21,매주,매주,1,32970046.09,1316,"[0.161523915, 3.387687183, 12.10493902, 17.93503138, 22.14458741, 20.44692791, 15.53099457, 8.288308596]",18,5,6643.67,6.41,442,0,pedestrian_3827257123,localroad_3827257123,"MultiPolygon (((127.01858048 37.48460813, 127.01898665 37.48392698, 127.01897823 37.48388679, 127.01835026 37.48351104, 127.01800001 37.48394515, 127.01773134 37.48379398, 127.01771758 37.48385968, 127.01751553 37.48420633, 127.01858048 37.48460813)))"
apartment_1165010302,동고,5.818644206,281,330,3058.12,1995,18.85589425,15,매주,매주,1,31847560.67,1650,"[0.767097438, 2.608073549, 7.961068289, 13.3628547, 17.80133764, 19.74261095, 22.31066955, 15.44628788]",-1,4.4,5960.08,12.34,531,0,pedestrian_4634856414,localroad_4634856414,"MultiPolygon (((127.02436836 37.4710623, 127.02421068 37.47094176, 127.02421637 37.47093499, 127.02403307 37.47080261, 127.02389276 37.47092012, 127.02320279 37.47044803, 127.02311975 37.4703887, 127.02308793 37.47039538, 127.02304743 37.47048539, 127.02301279 37.47056224, 127.02306009 37.47059623, 127.02300915 37.47066856, 127.02298072 37.47065711, 127.02293246 37.47077375, 127.02306104 37.47087292, 127.02296019 37.47101307, 127.02297198 37.4710192, 127.0229933 37.47128588, 127.02299708 37.4713549, 127.02306034 37.47146096, 127.023036 37.47148702, 127.02308499 37.47153306, 127.02308864 37.4715719, 127.0229984 37.47162986, 127.02284359 37.47174825, 127.02282434 37.47177533, 127.02301676 37.47191747, 127.02341357 37.47216391, 127.02419814 37.47149211, 127.02425268 37.47141715, 127.02418419 37.47136887, 127.02446222 37.47113329, 127.02436836 37.4710623)))"
apartment_1165010646,동아,0.625816663,1021,991,4667.65,2002,19.70798689,85,매주,매주,1,56155985.06,1982,"[0.204767691, 4.808503637, 14.57266068, 17.39353809, 22.23331545, 19.80279946, 14.49916582, 6.485249172]",15,4.3,7541.92,16.3,567,0,pedestrian_5746496278,localroad_571450682,"MultiPolygon (((127.0109634 37.50927352, 127.01121636 37.50882613, 127.01112371 37.50817722, 127.01064852 37.50803469, 127.01001906 37.50783809, 127.00989564 37.50789218, 127.00935257 37.50774474, 127.00929704 37.50786273, 127.00926003 37.50796597, 127.00955354 37.50803549, 127.00925094 37.50859684, 127.00904414 37.50897869, 127.00879111 37.50889513, 127.0087109 37.5090377, 127.00948232 37.50930312, 127.00947616 37.50932278, 127.01070427 37.5097504, 127.01092022 37.50936693, 127.0109634 37.50927352)))"
