uuid,name,apartmentbuilding_uuid,supply_area,exclusive_area,maintenance_cost,independent_heating_system,number_of_rooms,number_of_bathrooms,direction, sale_price ,rental_price,rental_type,character,flooar,building_floor,entrance_structure,floor plan
apartmentunit_260,106,apartmentbuilding_495,225.87,168.96,848000,0,5,3,북서향,"9,500,000,000",,매매,"['68', '개성있는', '복층형', '한강뷰', '파노라마', '채광굿']",28,33,계단식,https://landthumb-phinf.pstatic.net/20140114_185/hscp_img_1389677393149mFCiM_JPEG/photoinfra_1389677392761.jpg
apartmentunit_261,106,apartmentbuilding_495,225.87,168.96,680000,0,5,3,북서향,"9,500,000,000",,매매,"['68', '귀한', '복층', '한강뷰', '주거에', '대한', '색다른', '경험을', '할', '수', '있어요']",28,33,계단식,https://landthumb-phinf.pstatic.net/20140114_185/hscp_img_1389677393149mFCiM_JPEG/photoinfra_1389677392761.jpg
apartmentunit_267,114,apartmentbuilding_712,225.87,168.96,700000,0,5,3,북서향,"9,500,000,000",,매매,['-'],28,33,계단식,https://landthumb-phinf.pstatic.net/20140114_185/hscp_img_1389677393149mFCiM_JPEG/photoinfra_1389677392761.jpg
apartmentunit_378,117,apartmentbuilding_461,264.8,216.49,720000,0,4,3,남향,"7,000,000,000",,매매,"['80', '최고의', '특올수리', '특별한', '집']",16,28,계단식,https://landthumb-phinf.pstatic.net/20120327_67/hscp_img_1332827439921EHE6h_JPEG/GW70765_1332827438676.jpg
apartmentunit_375,117,apartmentbuilding_461,264.8,216.49,700000,0,4,3,남향,"7,000,000,000",,매매,"['80', '매매', '자이대형', '올수리된', '특', '매물', '입주협의']",16,28,계단식,https://landthumb-phinf.pstatic.net/20120327_67/hscp_img_1332827439921EHE6h_JPEG/GW70765_1332827438676.jpg
apartmentunit_381,117,apartmentbuilding_461,264.8,216.49,600000,0,4,3,남향,"7,000,000,000",,매매,"['주인직접', '확실진행', '80', '최고급인테리어', '로얄층로얄뷰', '시원한전망']",16,28,계단식,https://landthumb-phinf.pstatic.net/20120327_67/hscp_img_1332827439921EHE6h_JPEG/GW70765_1332827438676.jpg
apartmentunit_350,105,apartmentbuilding_395,135.01,98.87,432000,0,4,2,남서향,"6,300,000,000",,매매,"['40', '고층한강뷰', '입주가능', '풀옵션', '적극조정가']",32,35,계단식,https://landthumb-phinf.pstatic.net/20190117_126/hscp_img_1547716857229RaSng_JPEG/photoinfra_1547716857024.jpg
apartmentunit_344,105,apartmentbuilding_395,135.01,98.87,400000,0,4,2,남향,"6,300,000,000",,매매,"['40', '강추', '뻥뷰', '한강뷰', '씨티뷰', '트리플', '역세권', '전망', '뜨인집']",32,35,계단식,https://landthumb-phinf.pstatic.net/20190117_126/hscp_img_1547716857229RaSng_JPEG/photoinfra_1547716857024.jpg
apartmentunit_349,105,apartmentbuilding_395,135.01,98.87,350000,0,4,2,남향,"6,300,000,000",,매매,"['40', '신축3년차', '관리잘된집', '맞춤입주', '적극협의해드려요']",32,35,계단식,https://landthumb-phinf.pstatic.net/20190117_126/hscp_img_1547716857229RaSng_JPEG/photoinfra_1547716857024.jpg
apartmentunit_4035,114,apartmentbuilding_712,257.91,244.96,600000,1,5,4,남향,"6,000,000,000",,매매,['-'],3,5,계단식,https://landthumb-phinf.pstatic.net/20170724_161/hscp_img_1500876003321rDXRu_JPEG/photoinfra_1500876003026.jpg
apartmentunit_4033,114,apartmentbuilding_712,257.91,244.96,600000,1,5,4,남향,"6,000,000,000",,매매,['-'],4,5,계단식,https://landthumb-phinf.pstatic.net/20170724_161/hscp_img_1500876003321rDXRu_JPEG/photoinfra_1500876003026.jpg
apartmentunit_4103,114,apartmentbuilding_712,255,213.98,1000000,1,4,3,남향,"6,000,000,000",,매매,['-'],16,16,계단식,
apartmentunit_376,102,apartmentbuilding_446,165.52,132.43,400000,0,4,2,남향,"5,500,000,000",,매매,"['50', '최고급인테리어', '풀옵션', '아늑한정원뷰', '갭투추천']",1,29,계단식,https://landthumb-phinf.pstatic.net/20120327_262/hscp_img_13328273611918Jx0W_JPEG/GW70765_1332827359900.jpg
apartmentunit_2893,114,apartmentbuilding_712,273.21,244.92,700000,1,5,3,남향,"5,500,000,000",,매매,['-'],10,10,계단식,
apartmentunit_101,108,apartmentbuilding_371,147.5,137.66,450000,0,4,2,남향,"5,300,000,000",,매매,"['45', '주인직접', '단독', '영구', '한강', '조망권', '거실확장']",1,12,복도식,https://landthumb-phinf.pstatic.net/20120327_89/hscp_img_1332836714075aCqz2_JPEG/GW70765_1332836712600.jpg
apartmentunit_265,104,apartmentbuilding_493,112.83,84.95,509000,0,3,2,북서향,"5,200,000,000",,매매,"['34B', '환상적인', '한강뷰', '컨디션굿', '세안고']",6,33,계단식,https://landthumb-phinf.pstatic.net/20140114_196/hscp_img_1389677627164j8mDs_JPEG/photoinfra_1389677626790.jpg
apartmentunit_334,114,apartmentbuilding_712,132.36,100.96,400000,0,4,2,남향,"5,100,000,000",,매매,['-'],30,30,-,https://landthumb-phinf.pstatic.net/20200527_102/hscp_img_1590568508556Vdbtw_JPEG/photoinfra_1590568508148.jpg
apartmentunit_354,106,apartmentbuilding_396,133.77,98.99,432000,0,4,2,남서향,"5,000,000,000",,매매,"['40', '트인뷰', '입주일협의', '풀옵션', '적극조정가']",32,34,계단식,https://landthumb-phinf.pstatic.net/20190117_128/hscp_img_1547716882375CoBJc_JPEG/photoinfra_1547716882090.jpg
apartmentunit_345,106,apartmentbuilding_396,133.77,98.99,401000,0,4,2,남향,"5,000,000,000",,매매,"['40', '강추', '뻥뷰', '트리플', '역세권', '전망', '뜨인집', '판상형']",32,34,계단식,https://landthumb-phinf.pstatic.net/20190117_128/hscp_img_1547716882375CoBJc_JPEG/photoinfra_1547716882090.jpg
