uuid,apartmentcomplex_uuid,name,address,geometry
apartmentbuilding_1,apartment_1165010101,101,서울특별시 서초구 명달로 33 101동,Point (127.00511716 37.48086332)
apartmentbuilding_2,apartment_1165010101,102,서울특별시 서초구 명달로 33 102동,Point (127.00532652 37.48047664)
apartmentbuilding_3,apartment_1165010101,103,서울특별시 서초구 명달로 33 103동,Point (127.00545222 37.4801939)
apartmentbuilding_4,apartment_1165010101,104,서울특별시 서초구 명달로 33 104동,Point (127.00554962 37.47997571)
apartmentbuilding_5,apartment_1165010101,105,서울특별시 서초구 명달로 33 105동,Point (127.00562259 37.47981589)
apartmentbuilding_6,apartment_1165010102,101,서울특별시 서초구 남부순환로 2311-12 101동,Point (127.00465707 37.47693277)
apartmentbuilding_7,apartment_1165010102,102,서울특별시 서초구 남부순환로 2311-12 102동,Point (127.00512452 37.47715227)
apartmentbuilding_8,apartment_1165010102,103,서울특별시 서초구 남부순환로 2311-12 103동,Point (127.0056846 37.47743214)
apartmentbuilding_9,apartment_1165010102,104,서울특별시 서초구 남부순환로 2311-12 104동,Point (127.00615032 37.47765805)
apartmentbuilding_10,apartment_1165010102,105,서울특별시 서초구 남부순환로 2311-12 105동,Point (127.0043838 37.47731106)
apartmentbuilding_11,apartment_1165010102,106,서울특별시 서초구 남부순환로 2311-12 106동,Point (127.00543398 37.47781588)
apartmentbuilding_12,apartment_1165010102,107,서울특별시 서초구 남부순환로 2311-12 107동,Point (127.00415114 37.47766025)
apartmentbuilding_13,apartment_1165010102,108,서울특별시 서초구 남부순환로 2311-12 108동,Point (127.00467237 37.47786212)
apartmentbuilding_14,apartment_1165010102,109,서울특별시 서초구 남부순환로 2311-12 109동,Point (127.0050854 37.47802716)
apartmentbuilding_15,apartment_1165010102,110,서울특별시 서초구 남부순환로 2311-12 110동,Point (127.0056046 37.47826203)
apartmentbuilding_16,apartment_1165010104,1,서울특별시 서초구 방배로 14 1동,Point (127.00180608 37.4772989)
apartmentbuilding_17,apartment_1165010104,2,서울특별시 서초구 방배로 14 2동,Point (127.00253882 37.47761333)
apartmentbuilding_18,apartment_1165010104,3,서울특별시 서초구 방배로 14 3동,Point (127.00207007 37.47686984)
apartmentbuilding_19,apartment_1165010104,5,서울특별시 서초구 방배로 14 5동,Point (127.00312055 37.4773214)
apartmentbuilding_20,apartment_1165010104,6,서울특별시 서초구 방배로 14 6동,Point (127.00246434 37.47649478)
apartmentbuilding_21,apartment_1165010104,7,서울특별시 서초구 방배로 14 7동,Point (127.00340461 37.47690013)
apartmentbuilding_22,apartment_1165010105,1,서울 서초구 방배동 1018-1 1동,Point (127.00214093 37.47801511)
apartmentbuilding_23,apartment_1165010105,2,서울 서초구 방배동 1018-1 2동,Point (127.00184561 37.47847469)
apartmentbuilding_24,apartment_1165010105,3,서울 서초구 방배동 1018-1 3동,Point (127.00155638 37.47892458)
apartmentbuilding_25,apartment_1165010105,5,서울 서초구 방배동 1018-1 5동,Point (127.00107302 37.47965359)
apartmentbuilding_26,apartment_1165010108,101,서울특별시 서초구 효령로 84 101동,Point (126.9940312 37.48004109)
apartmentbuilding_27,apartment_1165010108,102,서울특별시 서초구 효령로 84 102동,Point (126.99335521 37.47982129)
apartmentbuilding_28,apartment_1165010108,103,서울특별시 서초구 효령로 84 103동,Point (126.99307047 37.47950843)
apartmentbuilding_29,apartment_1165010108,104,서울특별시 서초구 효령로 84 104동,Point (126.9935109 37.47940792)
apartmentbuilding_30,apartment_1165010108,105,서울특별시 서초구 효령로 84 105동,Point (126.99411094 37.47960217)
apartmentbuilding_31,apartment_1165010108,106,서울특별시 서초구 효령로 84 106동,Point (126.99414706 37.47916624)
apartmentbuilding_32,apartment_1165010109,101,서울특별시 서초구 서초대로1길 30 101동,Point (126.98361497 37.48923124)
apartmentbuilding_33,apartment_1165010109,102,서울특별시 서초구 서초대로1길 30 102동,Point (126.98408965 37.48925341)
apartmentbuilding_34,apartment_1165010109,103,서울특별시 서초구 서초대로1길 30 103동,Point (126.98375471 37.48884877)
apartmentbuilding_35,apartment_1165010109,104,서울특별시 서초구 서초대로1길 30 104동,Point (126.9841222 37.48871695)
apartmentbuilding_36,apartment_1165010109,105,서울특별시 서초구 서초대로1길 30 105동,Point (126.98378807 37.48834017)
apartmentbuilding_37,apartment_1165010109,106,서울특별시 서초구 서초대로1길 30 106동,Point (126.98425404 37.48818818)
apartmentbuilding_38,apartment_1165010109,107,서울특별시 서초구 서초대로1길 30 107동,Point (126.98373112 37.48783495)
apartmentbuilding_39,apartment_1165010109,108,서울특별시 서초구 서초대로1길 30 108동,Point (126.98430869 37.48777053)
apartmentbuilding_40,apartment_1165010110,201,서울특별시 서초구 서초대로1길 34 201동,Point (126.98350638 37.49035704)
apartmentbuilding_41,apartment_1165010110,202,서울특별시 서초구 서초대로1길 34 202동,Point (126.98370014 37.49007902)
apartmentbuilding_42,apartment_1165010110,203,서울특별시 서초구 서초대로1길 34 203동,Point (126.98351275 37.48975784)
apartmentbuilding_43,apartment_1165010110,204,서울특별시 서초구 서초대로1길 34 204동,Point (126.98407874 37.48977032)
apartmentbuilding_44,apartment_1165010110,205,서울특별시 서초구 서초대로1길 34 205동,Point (126.98449456 37.49007611)
apartmentbuilding_45,apartment_1165010110,206,서울특별시 서초구 서초대로1길 34 206동,Point (126.98423788 37.4903569)
apartmentbuilding_46,apartment_1165010111,301,서울특별시 서초구 방배중앙로21길 55 301동,Point (126.98382543 37.49172148)
apartmentbuilding_47,apartment_1165010111,302,서울특별시 서초구 방배중앙로21길 55 302동,Point (126.98398147 37.49141776)
apartmentbuilding_48,apartment_1165010111,303,서울특별시 서초구 방배중앙로21길 55 303동,Point (126.98343414 37.49144662)
apartmentbuilding_49,apartment_1165010112,101,서울특별시 서초구 방배선행길 1 101동,Point (126.98333791 37.47372523)
apartmentbuilding_50,apartment_1165010112,102,서울특별시 서초구 방배선행길 1 102동,Point (126.98322201 37.47412818)
apartmentbuilding_51,apartment_1165010112,103,서울특별시 서초구 방배선행길 1 103동,Point (126.98326195 37.47453611)
apartmentbuilding_52,apartment_1165010112,104,서울특별시 서초구 방배선행길 1 104동,Point (126.98335248 37.47493526)
apartmentbuilding_53,apartment_1165010112,105,서울특별시 서초구 방배선행길 1 105동,Point (126.98263551 37.47499151)
apartmentbuilding_54,apartment_1165010112,106,서울특별시 서초구 방배선행길 1 106동,Point (126.98254286 37.47458986)
apartmentbuilding_55,apartment_1165010112,107,서울특별시 서초구 방배선행길 1 107동,Point (126.98259551 37.47410986)
apartmentbuilding_56,apartment_1165010112,108,서울특별시 서초구 방배선행길 1 108동,Point (126.98281255 37.47368567)
apartmentbuilding_57,apartment_1165010112,109,서울특별시 서초구 방배선행길 1 109동,Point (126.98298139 37.47324084)
apartmentbuilding_58,apartment_1165010113,101,서울특별시 서초구 방배선행길 2 101동,Point (126.98363254 37.47243778)
