uuid,name,type,pet_entry_allowed,desserts,operation_hour,take_out_option,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
cafe_1,루엘드파리,베이커리, False,"['오리지날 크루아상', '아몬드 크루아상', '초콜렛 크루아상', '사과파이']","[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호,POINT (127.0173102 37.4839844),999,pedestrian_7996340644,localroad_2655442257
cafe_2,던킨 라이브 강남,도넛, False,"['DC 아이스 카페라떼', '아이스카페라떼', '킹 사이즈 아메리카노', '(Fresh)던킨랩_치킨텐더']","[{'day': '월', 'hours': '07:00 - 23:00'}, {'day': '화', 'hours': '07:00 - 23:00'}, {'day': '수', 'hours': '07:00 - 23:00'}, {'day': '목', 'hours': '07:00 - 23:00'}, {'day': '금', 'hours': '07:00 - 23:00'}, {'day': '토', 'hours': '07:00 - 22:30'}, {'day': '일', 'hours': '07:00 - 22:30'}]",True,서울 서초구 강남대로 373 홍우빌딩 1층,POINT (127.0280772 37.4960034),999,pedestrian_9632500793,localroad_3087683154
cafe_3,공미학 서초교대점,"카페,디저트", True,"['아메리카노', '카페라떼', '서초의미학', '크림의미학']","[{'day': '월', 'hours': '11:30 - 22:00'}, {'day': '화', 'hours': '11:30 - 22:00'}, {'day': '수', 'hours': '11:30 - 22:00'}, {'day': '목', 'hours': '11:30 - 22:00'}, {'day': '금', 'hours': '11:30 - 22:00'}, {'day': '토', 'hours': '11:30 - 22:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,서울 서초구 서초대로48길 101 그룹메가타워 1F,POINT (127.0124888 37.4886296),999,pedestrian_2368063915,localroad_2368063915
cafe_4,비지엠커피,"카페,디저트", True,"['아메리카노', '라떼', '바닐라빈 라떼', '모카 라떼']","[{'day': '월', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 22:00\n21:30 라스트오더'}]",True,서울 서초구 방배천로2길 51 1층,POINT (126.9855761 37.4769403),999,pedestrian_2110341094,localroad_2110341094
cafe_5,챱챱케이크,케이크전문, True,"['홈메이드 러블리 뚱빼로 (시즌판매)', '벌스데이 보틀케이크 (고정문구)', '당일 도시락 케이크', '당일 레터링 보틀 케이크']","[{'day': '월(11/11)', 'hours': '11:00 - 21:00'}, {'day': '화', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '수', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '목', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '금', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '토', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '일', 'hours': '11:00 - 20:00\n19:50 라스트오더'}]",True,서울 서초구 서초중앙로 110 104호 1층 대로변,POINT (127.0144637 37.4915115),999,pedestrian_2295372311,localroad_2295372311
cafe_6,서울붕어베이커리,베이커리, False,"['멕시칸치킨붕어', '치즈피자', '고구마치즈피자', '찐득! 찐고구마 붕어']","[{'day': '월', 'hours': '11:30 - 21:30'}, {'day': '화', 'hours': '11:30 - 21:30'}, {'day': '수', 'hours': '11:30 - 21:30'}, {'day': '목', 'hours': '11:30 - 21:30'}, {'day': '금', 'hours': '11:30 - 21:30'}, {'day': '토', 'hours': '12:00 - 20:30'}, {'day': '일', 'hours': '12:00 - 20:30'}]",True,서울 서초구 강남대로61길 17 밀라텔 쉐르빌,POINT (127.0250237 37.4986183),163,pedestrian_12061673699,localroad_4944067989
cafe_7,디끌레,"카페,디저트", False,"['무화과프레지에', '커피밀푀유', '타르트타탕', '카시스몽블랑']","[{'day': '월', 'hours': '10:00 - 20:00'}, {'day': '화', 'hours': '10:00 - 20:00'}, {'day': '수', 'hours': '10:00 - 20:00'}, {'day': '목', 'hours': '10:00 - 20:00'}, {'day': '금', 'hours': '10:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,서울 서초구 신반포로42길 11 1층 101호,POINT (127.0186898 37.509901),319,pedestrian_3827672551,localroad_2477374752
cafe_8,화이트리에 반포본점,베이커리, True,"['프리미엄생식빵 FULL SIZE', '프리미엄생식빵 HALF SIZE', '딸기버터잼', '딸기 장미잼']","[{'day': '매일', 'hours': '10:00 - 20:00'}]",True,서울 서초구 신반포로 219 1층 1호,POINT (127.008056 37.5074515),999,pedestrian_4147017218,localroad_4147017218
cafe_9,미니말레 커피뢰스터 양재본점,"카페,디저트", False,"['헬싱키 라떼 (시그니처)', '아메리카노 (듄켈)', '아메리카노 (밸런스)', '라떼']","[{'day': '월', 'hours': '08:00 - 20:00'}, {'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 20:00'}, {'day': '일', 'hours': '09:00 - 20:00'}]",True,서울 서초구 강남대로10길 32,POINT (127.0412262 37.4688269),999,pedestrian_4184585519,localroad_4184585519
cafe_10,장꼬방,떡카페, True,"['수능 선물 찹쌀떡 1상자 - 10개입', '합격 기원 쑥찹쌀떡 1상자 10개입', '수험생 간식 찹쌀떡 1개', '식사대용 쑥찹쌀떡']","[{'day': '매일', 'hours': '09:00 - 22:00\n21:20 라스트오더'}]",True,서울 서초구 강남대로61길 27 1층,POINT (127.0237946 37.4983378),999,pedestrian_12061668167,localroad_571449373
