uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
citybusstop_8538,서초1동주민센터,POINT (127.0192223 37.4896367),pedestrian_9602018621,localroad_2295372329
citybusstop_8539,대림약국,POINT (127.0208736 37.4904357),pedestrian_9602018667,localroad_2295372346
citybusstop_8540,서일초등학교,POINT (127.0213146 37.4865068),pedestrian_2932859103,localroad_2932859103
citybusstop_8541,풍림아이원,POINT (127.0238377 37.4872479),pedestrian_9657758673,localroad_3492880593
citybusstop_8542,서초동유원아파트,POINT (127.0202869 37.4954495),pedestrian_3355067068,localroad_3355067068
citybusstop_8543,프로비스타호텔.서초동유원아파트,POINT (127.0203706 37.4954856),pedestrian_3355067068,localroad_3355067068
citybusstop_8544,삼성래미안아파트,POINT (127.0184931 37.4949659),pedestrian_3112174497,localroad_3355067063
citybusstop_8545,지하철3호선교대역,POINT (127.0141904 37.491782),pedestrian_2388037859,localroad_2388037859
citybusstop_8546,지하철2호선교대역2,POINT (127.0152335 37.4939013),pedestrian_8556927603,localroad_8556927603
citybusstop_8547,교대역,POINT (127.0157243 37.4940833),pedestrian_8556927603,localroad_8556927603
citybusstop_8548,교대역5번출구,POINT (127.014737 37.4937995),pedestrian_9914441878,localroad_8556927605
citybusstop_8549,지하철2호선교대역,POINT (127.0150045 37.493937),pedestrian_8556927605,localroad_8556927605
citybusstop_8550,창신교회.서리풀노리학교,POINT (127.0211947 37.4902221),pedestrian_9602018664,localroad_2295372346
citybusstop_8551,창신교회앞.서리풀노리학교,POINT (127.0213791 37.4904906),pedestrian_9602018665,localroad_2295372346
citybusstop_8552,창신교회앞,POINT (127.0213791 37.4904906),pedestrian_9602018665,localroad_2295372346
citybusstop_8553,창신교회,POINT (127.0211947 37.4902221),pedestrian_9602018664,localroad_2295372346
citybusstop_8554,서초1동주민센터,POINT (127.0184669 37.4895945),pedestrian_3827258690,localroad_3827258690
citybusstop_8555,서울교대정문앞,POINT (127.0162095 37.4889343),pedestrian_9602018681,localroad_8973663690
citybusstop_8556,서울교대정문,POINT (127.0163712 37.4889577),pedestrian_9602018681,localroad_2368063906
citybusstop_8557,서울교육대앞,POINT (127.01534 37.490637),pedestrian_2368063905,localroad_3827548015
citybusstop_8558,삼성레포츠,POINT (127.0208164 37.4922064),pedestrian_9711449031,localroad_4634291420
citybusstop_8559,서울교대,POINT (127.0162208 37.4887252),pedestrian_9602018605,localroad_8973663690
citybusstop_8560,국제전자센터,POINT (127.017758 37.4854351),pedestrian_2932859104,localroad_2932859104
citybusstop_8561,복지관,POINT (127.016719 37.4915717),pedestrian_3827548021,localroad_3827548021
citybusstop_8562,서울교대사거리,POINT (127.0150603 37.4873287),pedestrian_9602018629,localroad_3827258505
citybusstop_8563,남부터미널,POINT (127.015103 37.487522),pedestrian_9602018629,localroad_3827258505
citybusstop_8564,서초성당,POINT (127.021252 37.4931516),pedestrian_2295372345,localroad_2295372345
citybusstop_8565,서초1동사무소,POINT (127.0196816 37.4903557),pedestrian_9602018699,localroad_2295365587
citybusstop_8566,서울시인재개발원입구,POINT (127.0223924 37.4830536),pedestrian_5406399792,localroad_5406399791
citybusstop_8567,KEB하나은행,POINT (127.0209866 37.4861131),pedestrian_2932859103,localroad_2932859103
citybusstop_8568,현대아파트.한국상담대학원대학교,POINT (127.0235051 37.4868903),pedestrian_9657758668,localroad_3492880593
citybusstop_8569,남부터미널,POINT (127.0174997 37.4833491),pedestrian_2932859101,localroad_2932859101
citybusstop_8570,서울시인재개발원,POINT (127.0216889 37.4826059),pedestrian_11431861755,localroad_5406399793
citybusstop_8571,서울시인재개발원.한우리문화센터,POINT (127.0216177 37.4825932),pedestrian_11431861755,localroad_5406399793
citybusstop_8572,우성아파트사거리,POINT (127.0293529 37.4936247),pedestrian_9608955337,localroad_414684382
citybusstop_8573,수협서초지점,POINT (127.029385 37.493517),pedestrian_9608955337,localroad_414684382
citybusstop_8574,우성아파트앞사거리(경유),POINT (127.0295761 37.4933296),pedestrian_9608955337,localroad_414684382
citybusstop_8575,강남역도시에빛,POINT (127.02886 37.494791),pedestrian_3492889693,localroad_3492889693
citybusstop_8576,신분당선강남역,POINT (127.0284005 37.4960417),pedestrian_9632500793,localroad_3087683154
citybusstop_8577,삼성화재서초타워(경유),POINT (127.028986 37.4945004),pedestrian_9608955341,localroad_3492889693
citybusstop_8578,강남역티월드,POINT (127.028875 37.494653),pedestrian_9608955341,localroad_3492889693
citybusstop_8579,강남역우리은행,POINT (127.0283766 37.4956209),pedestrian_4865883248,localroad_3087683154
citybusstop_8580,강남역나라빌딩앞,POINT (127.0282941 37.49583),pedestrian_9632500793,localroad_3087683154
citybusstop_8581,신분당선강남역(중),POINT (127.02838701 37.49616853),pedestrian_3087683154,localroad_3087683154
citybusstop_8582,강남역,POINT (127.028671 37.495304),pedestrian_4865883252,localroad_3492889693
