uuid,type,name,address,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
daycare_1424,직장,양지2어린이집,서울특별시 서초구 샘마을길 73,POINT (127.0704252 37.4634647),pedestrian_3636275548,localroad_3636275548
daycare_3603,국공립,사랑의어린이집,서울특별시 서초구 신반포로33길 22,POINT (127.0109977 37.509954),pedestrian_4185626652,localroad_4185626652
daycare_57,국공립,서초구립 원베일리 나래어린이집,서울특별시 서초구 반포대로 333 서초구립 원베일리나래어린이집,POINT (126.9971723 37.5068189),pedestrian_3088423804,localroad_3088423804
daycare_58,국공립,서초구립 원베일리 꿈어린이집,서울특별시 서초구 반포대로 333 서초구립 원베일리꿈어린이집,POINT (126.9971723 37.5068189),pedestrian_3088423804,localroad_3088423804
daycare_76,국공립,서초구립 신반포르엘어린이집,서울특별시 서초구 잠원로14길 42,POINT (127.0136863 37.5170857),pedestrian_8488841730,localroad_4185626619
daycare_103,국공립,서초구립 방배1동숲어린이집,서울특별시 서초구 방배로20길 25-19,POINT (126.9957779 37.4867948),pedestrian_4185805743,localroad_4185805741
daycare_104,국공립,서초구립 방배서리풀어린이집,서울특별시 서초구 서초대로29길 20,POINT (126.9953381 37.4892329),pedestrian_2623456345,localroad_2623456337
daycare_106,국공립,서초구립 반포르엘2차어린이집,서울특별시 서초구 신반포로23길 33,POINT (127.0023821 37.5088453),pedestrian_436843820,localroad_2244637675
daycare_107,국공립,서초구립 반포르엘어린이집,서울특별시 서초구 신반포로23길 23,POINT (127.0028996 37.507354),pedestrian_7835130059,localroad_2244637675
daycare_156,국공립,서초구립 서초교대e편한세상어린이집,서울특별시 서초구 서초중앙로24길 33 교대e편한세상아파트 관리동,POINT (127.0171575 37.4965077),pedestrian_8489592917,localroad_3112865086
daycare_163,직장,무지개어린이집,"서울특별시 서초구 신흥말길 79-3 103동 1층(내곡동, 무지개아파트)",POINT (127.083184 37.4517064),pedestrian_4313330873,localroad_4313330460
daycare_189,국공립,서초구립 반포센트레빌어린이집,서울특별시 서초구 사평대로 310-4,POINT (127.0162197 37.5033389),pedestrian_3112829838,localroad_3112829843
daycare_193,국공립,서초구립 서초그랑자이어린이집,서울특별시 서초구 효령로 391,POINT (127.025952 37.4889667),pedestrian_9990176012,localroad_3827170317
daycare_194,국공립,서초구립 방배그랑자이어린이집,서울특별시 서초구 방배로 21 방배그랑자이어린이집,POINT (126.9996159 37.476258),pedestrian_12228667060,localroad_12228667058
daycare_209,국공립,서초구립 라클라스어린이집,서울특별시 서초구 서초중앙로 206,POINT (127.0137011 37.5004886),pedestrian_3112158621,localroad_3112158621
daycare_244,국공립,서초구립 서초3동하나어린이집,서울특별시 서초구 명달로11길 16,POINT (127.0031268 37.4834601),pedestrian_1925407850,localroad_1925407850
daycare_248,국공립,서초구립 한신서래어린이집,서울특별시 서초구 사평대로28길 31 101동 108호,POINT (127.0007679 37.4992716),pedestrian_2623317184,localroad_2622713689
daycare_250,국공립,서초구립 허니비어린이집,"서울특별시 서초구 서초대로1길 30 105동 101호(방배동, 현대아파트)",POINT (126.9837533 37.4888094),pedestrian_4186016192,localroad_4186016192
daycare_282,국공립,서초구립 래미안리더스원어린이집,서울특별시 서초구 서운로 62,POINT (127.0283099 37.4902566),pedestrian_9607825959,localroad_3825549659
daycare_296,국공립,서초구립 센트럴아이파크어린이집,서울특별시 서초구 반포대로18길 36,POINT (127.0115497 37.4869548),pedestrian_4185691254,localroad_4185691254
daycare_326,국공립,서초구립 반포센트럴자이어린이집,서울특별시 서초구 반포대로 310-6 (반포센트럴자이어린이집),POINT (127.0015462 37.5070632),pedestrian_5886932112,localroad_1445606439
daycare_387,직장,CJ키즈빌어린이집,서울특별시 서초구 전원말4길 7,POINT (126.9898092 37.4656683),pedestrian_3079163790,localroad_5406500115
daycare_393,국공립,서초구립 대우효령어린이집,서울특별시 서초구 효령로 84,POINT (126.9936019 37.4795769),pedestrian_8486344917,localroad_4185991213
daycare_394,국공립,서초구립 롯데캐슬킨더어린이집,서울특별시 서초구 서운로 197 1층,POINT (127.0215693 37.4998692),pedestrian_8495282614,localroad_9625998659
daycare_452,국공립,서초구립 신반포리오센트어린이집,서울특별시 서초구 잠원로14길 32,POINT (127.0138367 37.5185557),pedestrian_8488873811,localroad_4185626617
daycare_453,국공립,서초구립 나래어린이집,서울특별시 서초구 양재대로2길 33 지상1층,POINT (127.0236583 37.458411),pedestrian_8269997108,localroad_3634017599
daycare_454,직장,LG전자 서초어린이집,서울특별시 서초구 양재대로11길 19 고객센터3층,POINT (127.0344407 37.4611217),pedestrian_11009516054,localroad_9693950797
daycare_482,국공립,서초구립 누리아미어린이집,서울특별시 서초구 서운로26길 3 서초4동 열린문화센터 내,POINT (127.0222108 37.5027128),pedestrian_12062601379,localroad_1430655026
daycare_492,직장,KCC직장어린이집,서울특별시 서초구 사평대로 334-2 1층,POINT (127.0194869 37.5025821),pedestrian_12062647513,localroad_732033332
daycare_569,국공립,서초구립 방배아트자이어린이집,서울특별시 서초구 명달로9길 57 관리동,POINT (127.0024056 37.4798768),pedestrian_1696934690,localroad_1696934690
daycare_634,민간,BSP어린이집,서울특별시 서초구 고무래로 89 반포써밋푸르지오 아파트 단지 내,POINT (127.0175142 37.5020792),pedestrian_3112829845,localroad_3112829841
daycare_674,국공립,서초구립 반포래미안아이파크어린이집,서울특별시 서초구 서초중앙로 220 112동(반포래미안아이파크),POINT (127.0133009 37.5016836),pedestrian_5900870032,localroad_436864995
daycare_688,국공립,서초구립 신반포아크로빛어린이집,서울특별시 서초구 잠원로 117 신반포아크로리버뷰아파트 104동,POINT (127.0067422 37.5144145),pedestrian_5744910468,localroad_4185626634
daycare_704,국공립,서초구립 신반포자이어린이집,서울특별시 서초구 잠원로 60,POINT (127.008372 37.5100671),pedestrian_5819624308,localroad_5819624307
daycare_842,국공립,서초구립 아르떼어린이집,"서울특별시 서초구 방배천로18길 11 관리동(방배동, 방배롯데캐슬아르떼)",POINT (126.9842675 37.4834076),pedestrian_1685716274,localroad_1685716274
daycare_857,국공립,서초구립 양재목련어린이집,서울특별시 서초구 언남16길 37,POINT (127.0464916 37.4734829),pedestrian_3011545192,localroad_3011545192
daycare_859,국공립,서초구립 방배1동초록꿈어린이집,서울특별시 서초구 효령로23길 16,POINT (126.9939763 37.4811659),pedestrian_1696934700,localroad_1696934700
daycare_861,국공립,서초구립 양재별하어린이집,서울특별시 서초구 논현로5길 15-5,POINT (127.0493936 37.4719745),pedestrian_927740142,localroad_927740142
daycare_862,국공립,서초구립 서울교육대학교사향어린이집,서울특별시 서초구 서초중앙로 96 서울교육대학교 평생교육원 1층,POINT (127.0163998 37.4896084),pedestrian_5747399121,localroad_2368063906
daycare_863,국공립,서초구립 래미안서초에스티지S어린이집,서울특별시 서초구 서운로 104,POINT (127.0265327 37.4930172),pedestrian_9607816611,localroad_3800522736
daycare_889,국공립,서초구립 반포단비어린이집,서울특별시 서초구 주흥13길 12,POINT (127.0185361 37.5086833),pedestrian_3827672497,localroad_3827672497
daycare_890,국공립,서초구립 도구머리어린이집,서울특별시 서초구 청두곶2길 33,POINT (126.9871927 37.4786211),pedestrian_1685694995,localroad_1685694995
daycare_892,국공립,서초구립 잠원동어린이집,서울특별시 서초구 강남대로95길 75 .,POINT (127.0168315 37.5118769),pedestrian_2429722057,localroad_2429722057
daycare_893,국공립,서초구립 방배4동어린이집,서울특별시 서초구 서초대로19길 16,POINT (126.991352 37.4879825),pedestrian_2624566131,localroad_2511519005
daycare_894,국공립,서초구립 내곡연두어린이집,서울특별시 서초구 헌릉로 226 1층,POINT (127.0649244 37.4549513),pedestrian_4314705283,localroad_4314705283
daycare_916,국공립,서초구립 방배본동신나는어린이집,서울특별시 서초구 동광로11길 23 .,POINT (126.9858443 37.4922244),pedestrian_2533109197,localroad_2533109197
daycare_934,국공립,서초구립 서초4동행복어린이집,"서울특별시 서초구 서초중앙로 200 3동 106호(서초동, 삼풍아파트)",POINT (127.0157696 37.4979919),pedestrian_3112159941,localroad_3112159941
daycare_937,국공립,서초구립 반포1동주민센터어린이집,서울특별시 서초구 사평대로 273,POINT (127.01337 37.5050271),pedestrian_2032663459,localroad_4899542151
