uuid,vehicle_entrance_uuid,geometry
academy_859,localroad_2510006962,Point (126.990821 37.492211)
academy_860,localroad_3089166485,Point (127.0085866 37.4883033)
academy_862,localroad_1445606439,Point (127.0016021 37.5057151)
academy_871,localroad_1696934651,Point (127.0007257 37.4767494)
academy_875,localroad_4107783310,Point (126.9963924 37.486061)
academy_880,localroad_3804191248,Point (126.9846275 37.4908709)
academy_881,localroad_4184618645,Point (127.048049 37.4737342)
academy_883,localroad_1430655018,Point (127.0247036 37.502368)
academy_889,localroad_4147053966,Point (127.0059882 37.5070592)
academy_895,localroad_4185835030,Point (126.9973292 37.4819279)
academy_897,localroad_3212533179,Point (127.0168075 37.4997004)
academy_898,localroad_1962358614,Point (127.0093502 37.5008791)
academy_899,localroad_2533109218,Point (126.9874829 37.4958184)
academy_900,localroad_595776308,Point (127.0164075 37.517563)
academy_902,localroad_1696934690,Point (127.0015179 37.4801609)
academy_904,localroad_2295365587,Point (127.0198293 37.4899552)
academy_910,localroad_2623456118,Point (126.9936017 37.4891762)
academy_913,localroad_4184618649,Point (127.0448735 37.4731301)
academy_915,localroad_2622810001,Point (126.9976503 37.4978263)
academy_916,localroad_9717256586,Point (127.0152917 37.4923191)
academy_918,localroad_1925380126,Point (127.0324325 37.4746683)
academy_920,localroad_1430676800,Point (127.0073407 37.4823515)
academy_924,localroad_436844215,Point (126.998817 37.4796936)
academy_925,localroad_4954438710,Point (127.0141025 37.5198655)
academy_929,localroad_2388037859,Point (127.0139675 37.4921691)
academy_930,localroad_4184399721,Point (127.0378371 37.4841992)
academy_933,localroad_4634856427,Point (127.0254228 37.4710241)
academy_934,localroad_4634856426,Point (127.0252748 37.471323)
academy_935,localroad_1962358596,Point (127.0113085 37.5012701)
academy_940,localroad_3827170281,Point (127.0262797 37.4871006)
academy_942,localroad_3827257129,Point (127.0217405 37.4847457)
academy_944,localroad_4738140916,Point (127.0009618 37.5055294)
academy_945,localroad_3804191051,Point (126.9872158 37.4862748)
academy_946,localroad_2623456267,Point (126.9934358 37.493104)
academy_951,localroad_3727772781,Point (127.0304993 37.4740026)
academy_953,localroad_4634856427,Point (127.0254228 37.4710241)
academy_968,localroad_436817738,Point (127.0115903 37.5024989)
academy_971,localroad_2655406570,Point (127.0221264 37.4844294)
academy_975,localroad_3492880493,Point (127.0239215 37.4866412)
academy_976,localroad_436817738,Point (127.0115903 37.5024989)
academy_978,localroad_3088424193,Point (126.9950154 37.50588)
academy_989,localroad_1962358595,Point (127.0106018 37.499595)
academy_990,localroad_4182209839,Point (127.0227046 37.5043539)
academy_993,localroad_2477340277,Point (127.020835 37.5040719)
academy_996,localroad_2280678683,Point (127.0267729 37.4994695)
academy_999,localroad_2533109200,Point (126.9889672 37.4935864)
