uuid,name,geom
hanriver_1,한강,"MultiLineString ((126.98040365 37.50654456, 126.9804187 37.50654456, 126.98040759 37.50652791, 126.9804036 37.50652192, 126.98040365 37.50654456))"
hanriver_2,한강,"MultiLineString ((126.97983931 37.50437559, 126.97987042 37.50437544, 126.97986406 37.50434763, 126.97983869 37.50434762, 126.97983931 37.50437559))"
hanriver_3,한강,"MultiLineString ((126.98067029 37.50281175, 126.98064055 37.50281174, 126.98063037 37.50282571, 126.98067029 37.50281175))"
hanriver_4,한강,"MultiLineString ((126.98099707 37.50653792, 126.98152775 37.50653829, 126.98215985 37.50653895, 126.98241309 37.50653871, 126.98248714 37.50653845, 126.98322599 37.50653181, 126.98370719 37.5065316, 126.98372019 37.50653166, 126.98340173 37.50647295, 126.98279928 37.50638817, 126.98255307 37.50635821, 126.98199373 37.50627069, 126.98198704 37.50626964, 126.98177148 37.50623961, 126.98139996 37.50619593, 126.98093015 37.50622919, 126.98091908 37.50653016, 126.98091872 37.50653996, 126.98099707 37.50653792),(126.98588548 37.50698888, 126.98615172 37.50733129, 126.98628546 37.50750334, 126.98644323 37.50770609, 126.98659181 37.50789757, 126.98687185 37.50825857, 126.98718297 37.50866011, 126.98748933 37.50905518, 126.98792009 37.50960427, 126.98839889 37.51020546, 126.98869255 37.51057744, 126.9892016 37.5112203, 126.98969722 37.51184344, 126.98991173 37.51211095, 126.99026459 37.51255247, 126.99068407 37.51309564, 126.99111385 37.51336626, 126.99165071 37.51370531, 126.99279056 37.51442676, 126.99388447 37.51511863, 126.99470732 37.51564154, 126.99553541 37.51616783, 126.9958093 37.51560821, 126.99668973 37.51380926, 126.99672698 37.51373313, 126.99736341 37.51237517, 126.99719907 37.51228299, 126.99687695 37.51209161, 126.99677982 37.51200693, 126.99668502 37.51192429, 126.99638972 37.51167001, 126.99602169 37.51137555, 126.99566894 37.51109208, 126.99553916 37.51098894, 126.99548719 37.51094764, 126.99510152 37.51065273, 126.99466983 37.51034555, 126.99447768 37.51019805, 126.99447281 37.51019437, 126.99408004 37.50989772, 126.99390248 37.50974958, 126.99359792 37.50951206, 126.99334968 37.50930734, 126.99328787 37.50925593, 126.99310732 37.50910577, 126.99271625 37.50877021, 126.99239293 37.50848907, 126.99228221 37.50838226, 126.99226525 37.5083659, 126.99204869 37.50815396, 126.99187171 37.50798961, 126.99173532 37.5078667, 126.99156401 37.50765306, 126.99138941 37.50745699, 126.99119512 37.50732128, 126.99103843 37.50726583, 126.99101405 37.5072572, 126.99061562 37.50713301, 126.98951273 37.50679034, 126.98902067 37.50661964, 126.98880273 37.50656454, 126.98878035 37.50655888, 126.98840216 37.50646325, 126.98803391 37.50644853, 126.98774505 37.50646453, 126.98754487 37.50649226, 126.98717165 37.50655747, 126.98707131 37.506575, 126.98651663 37.50668247, 126.98651314 37.50668314, 126.98629316 37.50672447, 126.98600237 37.50677903, 126.98574284 37.50680613, 126.98588548 37.50698888),(126.98767283 37.50685799, 126.98794084 37.50705038, 126.98797123 37.50723338, 126.98810941 37.50738539, 126.98826379 37.50739676, 126.98851817 37.50725038, 126.98863468 37.50714669, 126.98871748 37.50708867, 126.98877682 37.50707724, 126.98906754 37.50702122, 126.98920699 37.50702863, 126.98947637 37.50712407, 126.98962463 37.50724887, 126.9897238 37.50733826, 126.98982715 37.5074718, 126.98988063 37.50757812, 126.98995537 37.50774545, 126.99016097 37.5078516, 126.99038332 37.50787316, 126.99068416 37.50793364, 126.99079985 37.508006, 126.99087777 37.5080589, 126.99103224 37.50817627, 126.99108212 37.50821416, 126.99116388 37.50830535, 126.99126104 37.50837786, 126.99134799 37.50844277, 126.99146143 37.50847791, 126.99173456 37.50853948, 126.99187423 37.50857363, 126.99203256 37.50867231, 126.99231212 37.50890848, 126.99237455 37.50897255, 126.99260672 37.50917556, 126.99269878 37.50926756, 126.99274932 37.50937406, 126.99273914 37.50942226, 126.99259312 37.50942919, 126.99243942 37.50938043, 126.99172759 37.50909007, 126.99129952 37.50888885, 126.99102817 37.50877587, 126.99101554 37.50877061, 126.99081039 37.50867256, 126.99041456 37.50849575, 126.99019063 37.50840076, 126.99011937 37.50837294, 126.98989217 37.50828424, 126.98940858 37.50811084, 126.98910334 37.5080016, 126.98879256 37.50789949, 126.98877126 37.50789248, 126.98850122 37.50780368, 126.98828035 37.50773545, 126.9878109 37.5075988, 126.98753325 37.50751056, 126.98731227 37.50743999, 126.98707466 37.50736184, 126.98689021 37.50728983, 126.98677611 37.50717305, 126.98680916 37.50704466, 126.98699749 37.50694161, 126.98733319 37.50687948, 126.98750024 37.50686013, 126.98767283 37.50685799))"
hanriver_5,한강,"MultiLineString ((126.99585588 37.51637057, 126.99619698 37.51658681, 126.99668087 37.51689261, 126.99704971 37.51712689, 126.99742298 37.51736369, 126.99751594 37.51742255, 126.99789837 37.51766408, 126.99789837 37.51741982, 126.99789838 37.51561711, 126.99789839 37.5138144, 126.9978984 37.51263873, 126.99784467 37.51262098, 126.99779137 37.51259954, 126.99759674 37.51252123, 126.99699255 37.51381055, 126.9969912 37.51381342, 126.99611221 37.51560951, 126.99576718 37.5163145, 126.99585588 37.51637057))"
hanriver_6,한강,"MultiLineString ((126.98451331 37.50053613, 126.98428939 37.50070757, 126.98428462 37.50071095, 126.98405682 37.50085254, 126.98386649 37.50097134, 126.98376504 37.50103467, 126.98372333 37.50106085, 126.98359114 37.50114417, 126.98350631 37.50119794, 126.98347856 37.50121539, 126.98344463 37.50123678, 126.98342625 37.50124861, 126.98341228 37.50125705, 126.98334919 37.50129308, 126.98330112 37.50132067, 126.98325358 37.50134797, 126.98315355 37.50140483, 126.98305087 37.50146338, 126.98301235 37.50148561, 126.98292664 37.5015346, 126.98291621 37.50154079, 126.98286107 37.50157231, 126.98277747 37.50162102, 126.98273081 37.50164803, 126.98268186 37.50167647, 126.98267374 37.50168097, 126.98265094 37.50169391, 126.98236022 37.5018583, 126.98219445 37.50195035, 126.9820262 37.50204436, 126.98202036 37.50204717, 126.98195922 37.50207391, 126.98176551 37.50215806, 126.98167115 37.50219916, 126.98150149 37.5022729, 126.98129985 37.50236015, 126.98103229 37.50247667, 126.98081721 37.50257139, 126.98064055 37.50281174, 126.98067029 37.50281175, 126.9815137 37.50251754, 126.98202119 37.50229674, 126.98252701 37.50207667, 126.98277686 37.50195147, 126.98314887 37.50174331, 126.98361013 37.50146407, 126.98405023 37.50117392, 126.98410662 37.50113598, 126.98426378 37.50103024, 126.98429276 37.50101207, 126.98460898 37.50081387, 126.9853108 37.50036879, 126.9852598 37.50032535, 126.98516166 37.50025488, 126.98504721 37.50025126, 126.98487336 37.50026091, 126.98451331 37.50053613))"
hanriver_7,한강,"MultiLineString ((126.98538513 37.49986079, 126.98536882 37.49987452, 126.98549881 37.50009419, 126.98567469 37.49996753, 126.98590862 37.4996797, 126.98602728 37.49951645, 126.98621278 37.49934357, 126.98621422 37.49934245, 126.98648502 37.49913232, 126.9865686 37.49909509, 126.98705617 37.49887786, 126.98731073 37.49885393, 126.98749506 37.49885251, 126.98793315 37.49890761, 126.98883096 37.49913673, 126.98902598 37.4991865, 126.98962478 37.49935724, 126.98993573 37.4994459, 126.98996458 37.49935871, 126.99006697 37.49904938, 126.98983504 37.4989516, 126.98956523 37.4988549, 126.98910759 37.498707, 126.98884287 37.49862705, 126.98883445 37.4986241, 126.98861377 37.49854675, 126.98841814 37.49847789, 126.98827238 37.49842687, 126.98785238 37.4984471, 126.9873014 37.4985347, 126.98678955 37.49866474, 126.98657091 37.49875682, 126.98643963 37.4988121, 126.98621195 37.49896957, 126.98604828 37.49913461, 126.98582243 37.49934075, 126.98564844 37.49949955, 126.98532651 37.49979336, 126.98538513 37.49986079))"
hanriver_8,한강,"MultiLineString ((126.99561858 37.49918517, 126.99473105 37.49882485, 126.99422172 37.4986221, 126.99376099 37.49876983, 126.99335788 37.49889606, 126.99314419 37.49896296, 126.9925188 37.49914699, 126.99202742 37.4993003, 126.99181562 37.49936668, 126.99178054 37.49937768, 126.99165557 37.49939317, 126.99134876 37.49940179, 126.99114957 37.49936382, 126.99109214 37.49935287, 126.99098893 37.49933319, 126.99067422 37.49923838, 126.99023263 37.49910427, 126.99015246 37.49907399, 126.99005798 37.49935911, 126.9900254 37.49945744, 126.99047762 37.49958651, 126.99084944 37.49970709, 126.99108929 37.49977263, 126.99110704 37.49977749, 126.9915897 37.49978068, 126.99179213 37.49978196, 126.9920277 37.49973305, 126.99235465 37.49964793, 126.9929684 37.49946877, 126.9931887 37.49938662, 126.99322594 37.49937274, 126.99335498 37.49932465, 126.99350344 37.49926933, 126.99383728 37.49917925, 126.99410745 37.49916981, 126.99465173 37.49926264, 126.99505786 37.49938059, 126.99528817 37.49944747, 126.99553651 37.4995356, 126.99561602 37.49956517, 126.99603838 37.49972223, 126.99771307 37.5003966, 126.99782493 37.5000927, 126.99648769 37.49953799, 126.99611103 37.49938508, 126.99561858 37.49918517))"
hanriver_9,한강,"MultiLineString ((126.99789854 37.50035921, 126.99787299 37.5004153, 126.99786562 37.50043147, 126.99787286 37.50043429, 126.99789853 37.50044427, 126.99789854 37.50035921))"
hanriver_10,한강,"MultiLineString ((126.99813964 37.51781647, 126.9988687 37.51827965, 126.99893886 37.51832442, 126.99910676 37.51843142, 126.9997471 37.51883745, 127.00002299 37.51901286, 127.00019143 37.51911985, 127.00023262 37.51914604, 127.00027186 37.51917082, 127.00034591 37.51921812, 127.00038797 37.51924459, 127.00042367 37.5192674, 127.00050763 37.51932061, 127.00055994 37.51935383, 127.00064267 37.51940593, 127.00076621 37.51948448, 127.00079202 37.51950082, 127.00084169 37.51953404, 127.00086175 37.51954746, 127.00097892 37.51962579, 127.00098696 37.51963117, 127.00110998 37.51971733, 127.00157413 37.52003887, 127.00221166 37.52048149, 127.0025968 37.52075038, 127.00286228 37.52093508, 127.00318981 37.52116399, 127.00328012 37.52122706, 127.00367712 37.52150354, 127.0040932 37.52179298, 127.00431238 37.52194586, 127.00449444 37.52207284, 127.00499661 37.52242252, 127.00560361 37.52284625, 127.00615087 37.5232286, 127.00640045 37.52340146, 127.00645648 37.52344004, 127.00648442 37.52346453, 127.00689948 37.52388742, 127.00722013 37.52421429, 127.00757333 37.52457382, 127.00765464 37.52465632, 127.00781462 37.52481877, 127.00800872 37.5250167, 127.00847965 37.52549504, 127.0085783 37.52559499, 127.00888884 37.52539338, 127.00894355 37.52535691, 127.00920099 37.52518528, 127.00958367 37.52493439, 127.00966699 37.52487972, 127.00983516 37.52476937, 127.01027467 37.52448088, 127.01059534 37.52427039, 127.01139868 37.52374614, 127.01163047 37.52359526, 127.01184779 37.52345358, 127.011949 37.52338758, 127.01255235 37.523001, 127.01252215 37.52297378, 127.01249014 37.52300189, 127.01236053 37.52288855, 127.01146048 37.52210144, 127.0113087 37.52195563, 127.01122742 37.52187756, 127.01088485 37.5215544, 127.01065496 37.52133242, 127.01049838 37.5211962, 127.01043786 37.52115917, 127.01034586 37.5210775, 127.0090586 37.51993471, 127.00830573 37.51926632, 127.00778261 37.51880189, 127.00680827 37.51796715, 127.00665465 37.51783553, 127.00612661 37.51757814, 127.00579462 37.51755509, 127.00548875 37.51752149, 127.00517836 37.51745059, 127.0051783 37.51745055, 127.00477147 37.51716814, 127.00470518 37.51688667, 127.00468784 37.516273, 127.00460277 37.51601019, 127.00455839 37.51595044, 127.00438887 37.51572223, 127.00431845 37.51564423, 127.00412078 37.51542527, 127.00384116 37.5151575, 127.00353552 37.5149282, 127.00324437 37.51467674, 127.0029401 37.5144405, 127.00260393 37.51422994, 127.00230785 37.51405008, 127.00225747 37.51401947, 127.00195219 37.51383792, 127.00193869 37.51383151, 127.00160019 37.51367061, 127.00126584 37.51352879, 127.00091859 37.51341382, 127.00057135 37.51329768, 127.00026234 37.51321515, 127.00005068 37.51316104, 126.99988592 37.51311892, 126.99954772 37.51303998, 126.99914958 37.512966, 126.99877192 37.51289419, 126.9984059 37.51282588, 126.99810549 37.51270721, 126.9978984 37.51263873, 126.99789839 37.5138144, 126.99789838 37.51561711, 126.99789837 37.51741982, 126.99789837 37.51766408, 126.99813964 37.51781647))"
