uuid,name,geometry
highwayic_1210000900,서초IC,Point (127.02660174 37.48147099)
highwayic_1210001100,서초IC,Point (127.02882879 37.48379043)
highwayic_1210022400,서초IC,Point (127.02683637 37.48351551)
highwayic_1210013200,양재IC,Point (127.0405089 37.46394152)
highwayic_1210012100,선암로IC,Point (127.01912355 37.46271257)
highwayic_1210021900,서초IC,Point (127.02606767 37.4829452)
highwayic_1210050100,한남IC,Point (127.01760942 37.52193453)
highwayic_1210053800,사당IC,Point (126.98491402 37.47016707)
highwayic_1210009200,내곡IC,Point (127.07545554 37.45833183)
highwayic_1210012500,양재IC,Point (127.03927069 37.46315547)
highwayic_1210014100,헌릉IC,Point (127.08987216 37.46496529)
highwayic_1210008200,헌릉IC,Point (127.09035458 37.46540643)
highwayic_1210025600,서초IC,Point (127.02520003 37.48530461)
highwayic_1210038300,반포IC,Point (127.01947057 37.50302499)
highwayic_1210011400,양재IC,Point (127.04275741 37.4606336)
highwayic_1210022500,서초IC,Point (127.02519426 37.48339867)
highwayic_1210048800,한남IC,Point (127.01900481 37.51772187)
highwayic_1210074700,신양재IC,Point (127.04818 37.45477525)
highwayic_1210009800,내곡IC,Point (127.07614264 37.45879166)
highwayic_1210009000,내곡IC,Point (127.07079985 37.45704499)
highwayic_1210075200,신양재IC교차로,Point (127.04986049 37.45940248)
highwayic_1210013100,양재IC,Point (127.04059756 37.46385955)
highwayic_1210013400,양재IC,Point (127.03953988 37.46401622)
highwayic_1210044700,잠원IC,Point (127.01503122 37.50914758)
highwayic_1210074300,양재IC,Point (127.04635825 37.45728267)
highwayic_1210020300,서초IC,Point (127.02690678 37.4811487)
highwayic_1210000500,양재IC,Point (127.0377358 37.46189923)
highwayic_1210001000,서초IC,Point (127.02366249 37.48307977)
highwayic_1210011300,양재IC,Point (127.04200578 37.46118499)
highwayic_1210013300,양재IC,Point (127.03941306 37.46391089)
highwayic_1210013700,양재IC,Point (127.04199185 37.46489591)
highwayic_1210021700,서초IC,Point (127.02383811 37.48310174)
highwayic_1210038200,반포IC,Point (127.01734672 37.50319526)
highwayic_1210038600,반포IC,Point (127.01701231 37.5033649)
highwayic_1210046100,잠원IC,Point (127.01528686 37.51171277)
highwayic_1210049800,한남IC,Point (127.01723664 37.52143672)
highwayic_1210074600,신양재IC,Point (127.04766361 37.4587755)
highwayic_1210008600,내곡IC,Point (127.07718012 37.45506034)
highwayic_1210010300,선암로IC,Point (127.02170211 37.46032755)
highwayic_1210010700,내곡IC,Point (127.07449915 37.45977472)
highwayic_1210011900,선암로IC,Point (127.01899619 37.46267526)
highwayic_1210077700,신양재IC교차로,Point (127.0564007 37.45863305)
highwayic_1210009500,선암로IC,Point (127.02113019 37.45837425)
highwayic_1210009400,선암로IC,Point (127.02098933 37.4583858)
highwayic_1210010400,내곡IC,Point (127.07993757 37.46003437)
highwayic_1210010500,선암로IC,Point (127.02167054 37.46043659)
highwayic_1210010600,내곡IC,Point (127.07366814 37.46098734)
highwayic_1210000800,양재IC,Point (127.03776687 37.46564546)
highwayic_1210011200,내곡IC,Point (127.08369762 37.46125221)
highwayic_1210036600,반포IC,Point (127.01927518 37.50103201)
highwayic_1210049700,한남IC,Point (127.01642835 37.52110315)
highwayic_1210010000,내곡IC,Point (127.07988895 37.46013538)
highwayic_1210022900,서초IC,Point (127.02584843 37.48405908)
highwayic_1210042800,잠원IC,Point (127.01686666 37.50722097)
highwayic_1210048000,한남IC,Point (127.01635812 37.51704424)
highwayic_1210048700,한남IC,Point (127.01645975 37.51762839)
highwayic_1210050600,한남IC,Point (127.01442005 37.52239584)
highwayic_1210001200,서초IC,Point (127.02516372 37.48591374)
highwayic_1210022800,서초IC,Point (127.02568982 37.48397792)
highwayic_1210038400,반포IC,Point (127.017396 37.50329606)
highwayic_1210038800,반포IC,Point (127.01830009 37.5034522)
highwayic_1210009900,선암로IC,Point (127.01895034 37.45977091)
highwayic_1210011100,선암로IC,Point (127.02044658 37.460802)
highwayic_1210011700,양재IC,Point (127.03796863 37.4622137)
highwayic_1210022300,서초IC,Point (127.02541238 37.483319)
highwayic_1210022700,서초IC,Point (127.02830044 37.48371753)
highwayic_1210044800,잠원IC,Point (127.01493078 37.50923289)
highwayic_1210049100,한남IC,Point (127.01687258 37.52062611)
highwayic_1210013800,양재IC,Point (127.03790379 37.46574014)
highwayic_1210022000,서초IC,Point (127.02385386 37.48321368)
highwayic_1210022600,서초IC,Point (127.02703399 37.48365255)
highwayic_1210008800,내곡IC,Point (127.07634085 37.45681185)
highwayic_1210009300,내곡IC,Point (127.0752043 37.45878031)
highwayic_1210000600,양재IC,Point (127.04187954 37.46496032)
highwayic_1210012400,양재IC,Point (127.03935862 37.46307304)
highwayic_1210023100,서초IC,Point (127.02866161 37.48387714)
highwayic_1210038500,반포IC,Point (127.01874214 37.5030945)
highwayic_1210053900,사당IC,Point (126.98657305 37.46913031)
highwayic_1210009100,내곡IC,Point (127.07298988 37.45787744)
highwayic_1210036700,반포IC,Point (127.01950323 37.50092977)
highwayic_1210039000,반포IC,Point (127.01849962 37.50343041)
highwayic_1210049600,한남IC,Point (127.01329195 37.52159135)
highwayic_1210075500,신양재IC교차로,Point (127.05098842 37.46096132)
