uuid,type,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
hospital_330,내과,가야내과의원,"서울특별시 서초구 방배로 225, 3,6,지하1층 (방배동, 남전빌딩)",POINT (126.9897831 37.49316413),3.1,pedestrian_2622874627,localroad_2624211585
hospital_203,내과,강남탑내과의원,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 2층 (서초동)",POINT (127.0306526 37.48964964),4.3,pedestrian_3826341157,localroad_3826341157
hospital_39,내과,권기익내과의원,서울특별시 서초구 동작대로 108 (방배동),POINT (126.9826166 37.4860911),4.3,pedestrian_8485173586,localroad_8485173586
hospital_52,내과,기쁨삼성내과의원,"서울특별시 서초구 서초대로 3-4, 403,408호 (방배동, 방배디오슈페리움1)",POINT (126.9830837 37.48603179),2.9,pedestrian_3804191158,localroad_3804191158
hospital_58,내과,김기찬내과의원,"서울특별시 서초구 동작대로 134, 5층 (방배동, 가나안빌딩)",POINT (126.9827893 37.48865468),2.8,pedestrian_3804191210,localroad_3804191207
hospital_1226,내과,김동준내과의원,"서울특별시 서초구 방배로 240, 2층 (방배동)",POINT (126.9897096 37.49453834),4.2,pedestrian_2622874621,localroad_2533109203
hospital_122,내과,김선태내과의원,서울특별시 서초구 동작대로 120 (방배동),POINT (126.9827093 37.48725017),2.6,pedestrian_11710856345,localroad_3804191182
hospital_78,내과,김용수내과의원,"서울특별시 서초구 방배로 111, 근복빌딩 5층 (방배동)",POINT (126.9956373 37.48390042),2.8,pedestrian_1696934743,localroad_1696934743
hospital_81,내과,김일중내과의원,"서울특별시 서초구 효령로 396, 15호 (서초동)",POINT (127.0272253 37.48789811),3.8,pedestrian_3827170312,localroad_3827170304
hospital_1224,내과,김진경내과의원,서울특별시 서초구 서운로 207 삼호종합상가 305호 (서초동),POINT (127.0217535 37.50151958),2.7,pedestrian_12061673677,localroad_1430655026
hospital_98,내과,김화내과의원,"서울특별시 서초구 신반포로 219, 8동 302호 (잠원동, 반포쇼핑)",POINT (127.0080653 37.50751219),3.3,pedestrian_4147017218,localroad_4147017218
hospital_112,내과,남재현프렌닥터내과의원,"서울특별시 서초구 남부순환로350길 36, 3층,4층 (양재동, 프렌닥터빌딩)",POINT (127.0362154 37.48329443),3,pedestrian_1694783202,localroad_1694783202
hospital_121,내과,노아내과의원,"서울특별시 서초구 논현로 139, 4층 (양재동, 양재동)",POINT (127.0425955 37.4819944),4.3,pedestrian_436843486,localroad_436843486
hospital_181,내과,더독한내과의원,"서울특별시 서초구 효령로 403, 서초그랑자이상가 419~422호 (서초동)",POINT (127.0277492 37.48891559),4.4,pedestrian_9601999073,localroad_414684345
hospital_313,내과,메디테라내과의원,"서울특별시 서초구 효령로 190, 비선빌딩 3층 (서초동)",POINT (127.0050639 37.48252951),4.9,pedestrian_1925407818,localroad_1925407818
hospital_323,내과,명성내과의원,"서울특별시 서초구 바우뫼로 23, 301호 (우면동,선일빌딩)",POINT (127.0252555 37.4704096),2.6,pedestrian_562451052,localroad_562451052
hospital_338,내과,모인호내과의원,"서울특별시 서초구 신반포로 205, 반포쇼핑타운 6동 4층 401~403, 417~419호 (잠원동)",POINT (127.0064604 37.50702448),3.7,pedestrian_11428504985,localroad_8487538012
hospital_374,내과,민도준류우마내과의원,"서울특별시 서초구 서초중앙로 125, 904,905호 (서초동, 로이어즈타워)",POINT (127.0134188 37.49300947),2.8,pedestrian_3827548050,localroad_3827548050
hospital_407,내과,박찬현내과의원,서울특별시 서초구 동산로 78 (양재동),POINT (127.0471626 37.47245196),3.9,pedestrian_4631776180,localroad_4631776180
hospital_435,내과,방배연내과의원,"서울특별시 서초구 방배로 83, 방배센트럴빌딩 6층 (방배동)",POINT (126.9970076 37.48186463),3.9,pedestrian_4185835030,localroad_4185835030
hospital_436,내과,방배우리내과의원,"서울특별시 서초구 방배로 115, 1층, 지하1층 (방배동)",POINT (126.9954054 37.48439209),3,pedestrian_1696934743,localroad_1696934743
hospital_438,내과,방배지에프내과의원,"서울특별시 서초구 동작대로 118, 3층 (방배동, 예다인프라자)",POINT (126.9827445 37.4870042),4.1,pedestrian_11710856345,localroad_3804191182
hospital_1423,내과,본내과의원,"서울특별시 서초구 신반포로23길 30, 2층 (잠원동)",POINT (127.0035444 37.50878562),3.2,pedestrian_2244637675,localroad_2244637675
hospital_463,내과,봄내과의원,"서울특별시 서초구 매헌로 34, 3층 (양재동, 한일빌딩)",POINT (127.0347888 37.46403585),4.3,pedestrian_10747478862,localroad_436840833
hospital_506,내과,삼성한내과의원,서울특별시 서초구 서초중앙로 15,POINT (127.0156416 37.48301089),3.4,pedestrian_4185690190,localroad_4185690190
hospital_538,내과,서울김내과의원,"서울특별시 서초구 논현로 63, 한덕빌딩 1층 (양재동)",POINT (126.9415621 37.50115097),3.4,pedestrian_5909736454,localroad_5909736454
hospital_536,내과,서울내과의원,"서울특별시 서초구 반포대로 114, 2층 (서초동)",POINT (127.0087159 37.49047672),2.9,pedestrian_7888119764,localroad_2388037863
