uuid,apartmentcomplex_uuid,type,address,geometry
internalfacility_685,apartment_1165010648,어린이집,서울특별시 서초구 반포대로 310-6 ,Point (127.00231 37.5064433)
internalfacility_13,apartment_1165010104,어린이집,서울특별시 서초구 방배로 14 ,Point (127.003384 37.4768814)
internalfacility_721,apartment_1165010901,어린이집,서울특별시 서초구 헌릉로8길 58 ,Point (127.0634497 37.4526587)
internalfacility_678,apartment_1165010310,어린이집,서울특별시 서초구 태봉로2길 30 ,Point (127.027052 37.461129)
internalfacility_7,apartment_1165010309,어린이집,서울특별시 서초구 태봉로2길 10 ,Point (127.023243 37.4620308)
internalfacility_30,apartment_1165011105,어린이집,서울특별시 서초구 헌릉로8길 10-12 ,Point (127.057352 37.4563973)
internalfacility_28,apartment_1165010308,어린이집,서울특별시 서초구 태봉로2길 65 ,Point (127.026194 37.4640665)
internalfacility_682,apartment_1165010314,어린이집,서울특별시 서초구 양재대로2길 33 ,Point (127.024078 37.4581923)
internalfacility_690,apartment_1165010140,어린이집,서울특별시 서초구 방배로 21 ,Point (126.999755 37.4755659)
internalfacility_684,apartment_1165010604,어린이집,서울특별시 서초구 잠원로 60 ,Point (127.007909 37.5102543)
internalfacility_718,apartment_1165010812,어린이집,서울특별시 서초구 사임당로 130 ,Point (127.02643 37.49058621)
internalfacility_717,apartment_1165010701,어린이집,서울특별시 서초구 신반포로15길 4 ,Point (126.9965889 37.5038897)
internalfacility_694,apartment_1165010305,어린이집,서울특별시 서초구 형촌길 35 ,Point (127.02053 37.4631395)
internalfacility_687,apartment_1165010717,어린이집,서울특별시 서초구 서초중앙로29길 28 ,Point (127.00801 37.5006406)
internalfacility_29,apartment_1165010849,어린이집,서울특별시 서초구 서초대로65길 13-10 ,Point (127.019002 37.4997115)
internalfacility_697,apartment_1165010853,어린이집,서울특별시 서초구 서초중앙로24길 33 ,Point (127.017033 37.4957383)
internalfacility_31,apartment_1165010855,어린이집,서울특별시 서초구 서운로 104 ,Point (127.026475 37.4934031)
internalfacility_681,apartment_1165010647,어린이집,서울특별시 서초구 잠원로14길 32 ,Point (127.014278 37.5178312)
internalfacility_703,apartment_1165010802,어린이집,서울특별시 서초구 서운로 201 ,Point (127.021174 37.5015762)
internalfacility_702,apartment_1165010138,어린이집,서울특별시 서초구 명달로9길 57 ,Point (127.002016 37.48013401)
internalfacility_21,apartment_1165010902,어린이집,서울특별시 서초구 헌릉로8길 45 ,Point (127.062527 37.4546738)
internalfacility_720,apartment_1165010632,어린이집,서울특별시 서초구 잠원로8길 20 ,Point (127.0099732 37.5141845)
internalfacility_683,apartment_1165010603,어린이집,서울특별시 서초구 잠원로 117 ,Point (127.00766 37.5151197)
internalfacility_14,apartment_1165010201,어린이집,서울특별시 서초구 바우뫼로 91 ,Point (127.031612 37.474616)
internalfacility_16,apartment_1165010201,어린이집,서울특별시 서초구 바우뫼로 89 ,Point (127.030855 37.4745351)
internalfacility_14,apartment_1165010202,어린이집,서울특별시 서초구 바우뫼로 91 ,Point (127.031612 37.474616)
internalfacility_16,apartment_1165010202,어린이집,서울특별시 서초구 바우뫼로 89 ,Point (127.030855 37.4745351)
internalfacility_14,apartment_1165010201,어린이집,서울특별시 서초구 바우뫼로 91 ,Point (127.031612 37.474616)
internalfacility_16,apartment_1165010201,어린이집,서울특별시 서초구 바우뫼로 89 ,Point (127.030855 37.4745351)
internalfacility_14,apartment_1165010202,어린이집,서울특별시 서초구 바우뫼로 91 ,Point (127.031612 37.474616)
internalfacility_16,apartment_1165010202,어린이집,서울특별시 서초구 바우뫼로 89 ,Point (127.030855 37.4745351)
internalfacility_695,apartment_1165010851,어린이집,서울특별시 서초구 서초중앙로 200 ,Point (127.015632 37.4998381)
internalfacility_696,apartment_1165010851,어린이집,서울특별시 서초구 서초중앙로 200 ,Point (127.014885 37.50007241)
internalfacility_25,apartment_1165010808,어린이집,서울특별시 서초구 서초대로74길 30 ,Point (127.026781 37.4950789)
internalfacility_9,apartment_1165010302,어린이집,서울특별시 서초구 바우뫼로7길 29 ,Point (127.023438 37.4709597)
internalfacility_15,apartment_1165010638,어린이집,서울특별시 서초구 잠원로 37-48 ,Point (127.006404 37.5074162)
internalfacility_679,apartment_1165010311,어린이집,서울특별시 서초구 양재대로2길 109 ,Point (127.01377 37.4561035)
internalfacility_716,apartment_1165010611,어린이집,서울특별시 서초구 잠원로14길 41 ,Point (127.0145478 37.5166458)
internalfacility_19,apartment_1165010706,어린이집,서울특별시 서초구 서초중앙로 220 ,Point (127.012997 37.5023341)
internalfacility_689,apartment_1165010116,어린이집,서울특별시 서초구 방배천로18길 11 ,Point (126.983089 37.4830158)
internalfacility_692,apartment_1165010121,어린이집,서울특별시 서초구 방배로45길 2 ,Point (126.986783 37.4976486)
internalfacility_27,apartment_1165010109,어린이집,서울특별시 서초구 서초대로1길 30 ,Point (126.983596 37.4892148)
internalfacility_700,apartment_1165010109,어린이집,서울특별시 서초구 서초대로1길 30 ,Point (126.983766 37.4883228)
internalfacility_23,apartment_1165010709,어린이집,서울특별시 서초구 반포대로 275 ,Point (126.995943 37.5023706)
internalfacility_24,apartment_1165010709,어린이집,서울특별시 서초구 반포대로 275 ,Point (126.995943 37.5023706)
internalfacility_691,apartment_1165010108,어린이집,서울특별시 서초구 효령로 84 ,Point (126.993333 37.4798004)
internalfacility_693,apartment_1165010307,어린이집,서울특별시 서초구 태봉로2길 60 ,Point (127.027889 37.4643184)
internalfacility_698,apartment_1165011102,어린이집,서울특별시 서초구 청계산로7길 43 ,Point (127.056636 37.4516133)
internalfacility_701,apartment_1165011101,어린이집,서울특별시 서초구 헌릉로8길 22 ,Point (127.059091 37.4543511)
internalfacility_688,apartment_1165010810,어린이집,서울특별시 서초구 서운로 107 ,Point (127.025434 37.4928807)
