uuid,type,name,address,geometry,homepage,pedestrian_entrance_uuid,vehicle_entrance_uuid
kindergarden_13,사립(법인),한신유치원,서울특별시 서초구 잠원로3길 31,POINT (127.0047774 37.5090458),https://blog.naver.com/hanshinkindergarten,pedestrian_4147017013,localroad_2244637675
kindergarden_17,공립(병설),서울원명초등학교병설유치원,서울특별시 서초구 고무래로 90-6,POINT (127.0173873 37.5005463),http://www.wonmyong.es.kr/index/index.do,pedestrian_12061668123,localroad_3112164481
kindergarden_20,공립(병설),서울우솔초등학교병설유치원,서울특별시 서초구 양재대로2길 74,POINT (127.0192786 37.4570863),http://woosol.sen.es.kr,pedestrian_6789544588,localroad_6789544588
kindergarden_96,사립(법인),석문유치원,서울특별시 서초구 서초대로64길 73,POINT (127.0217622 37.4928877),https://cafe.naver.com/smu5881,pedestrian_3800522732,localroad_3800522732
kindergarden_97,사립(사인),여나유치원,서울특별시 서초구 서초중앙로 200,POINT (127.0157398 37.4985413),,pedestrian_3112158618,localroad_3112158618
kindergarden_98,사립(사인),영유유치원,서울특별시 서초구 효령로34길 72,POINT (127.0007487 37.4786374),,pedestrian_4185816724,localroad_4185816724
kindergarden_154,사립(사인),육영유치원,서울특별시 서초구 방배로6길 18,POINT (127.0004925 37.4792029),,pedestrian_3462554894,localroad_3462554894
kindergarden_188,사립(사인),우정유치원,서울특별시 서초구 서초대로70길 32,POINT (127.023434 37.4939017),,pedestrian_9822008785,localroad_3800522741
kindergarden_218,사립(사인),구룡유치원,서울특별시 서초구 논현로5길 31-11,POINT (127.049167 37.4711257),https://guryung.kidsnote.ac/,pedestrian_4184585277,localroad_4184585277
kindergarden_358,사립(사인),하나유치원,서울특별시 서초구 잠원로8길 13,POINT (127.0102722 37.51521),,pedestrian_8488872285,localroad_4705228035
kindergarden_391,공립(병설),서울반포초등학교병설유치원,서울특별시 서초구 신반포로 55-4,POINT (126.9910516 37.5027481),http://www.banpokid.co.kr,pedestrian_11428490553,localroad_11641428834
kindergarden_412,공립(병설),서울우면초등학교병설유치원,서울특별시 서초구 태봉로 59,POINT (127.0237465 37.4646651),http://woomyeon.sen.es.kr/,pedestrian_6584407335,localroad_3744265302
kindergarden_425,공립(병설),서울우암초등학교병설유치원,서울특별시 서초구 바우뫼로7길 38,POINT (127.0241601 37.4719851),http://www.wooam.es.kr,pedestrian_4634856405,localroad_4634856405
kindergarden_467,사립(사인),반포자이유치원,서울특별시 서초구 신반포로 270,POINT (127.0111783 37.5065496),,pedestrian_11428504887,localroad_4899542156
kindergarden_517,사립(법인),신반포중앙유치원,서울특별시 서초구 나루터로4길 58,POINT (127.0125068 37.5104532),http://sbpckids.com/,pedestrian_8489061223,localroad_4185626653
kindergarden_519,사립(사인),영생유치원,서울특별시 서초구 신반포로19길 30,POINT (126.995681 37.5050042),http://www.sbpch.com,pedestrian_3088424193,localroad_3088424193
kindergarden_528,사립(사인),동우유치원,서울특별시 서초구 명달로22길 24,POINT (127.005575 37.4864271),,pedestrian_3827338065,localroad_3827338065
kindergarden_529,사립(사인),동화유치원,서울특별시 서초구 서초중앙로24길 43,POINT (127.0184385 37.4962661),,pedestrian_8489528502,localroad_3112865087
kindergarden_591,사립(사인),천사유치원,서울특별시 서초구 바우뫼로 99,POINT (127.0320828 37.4747894),,pedestrian_3732523552,localroad_1925380126
kindergarden_675,공립(병설),서울서래초등학교병설유치원,서울특별시 서초구 방배로 260,POINT (126.9896814 37.4961588),http://www.seorae.es.kr/,pedestrian_10168174720,localroad_2622874644
kindergarden_676,사립(법인),반포성모유치원,서울특별시 서초구 신반포로15길 18,POINT (126.9946299 37.5049502),http://www.banposm.com,pedestrian_3088424195,localroad_3088424195
kindergarden_682,사립(사인),서초유치원,서울특별시 서초구 양재대로2길 100-64,POINT (127.0161842 37.4560243),,pedestrian_3634017631,localroad_3634017631
kindergarden_685,공립(병설),서울언남초등학교병설유치원,서울특별시 서초구 헌릉로8길 42,POINT (127.0616584 37.4540063),https://eonnam.sen.es.kr/,pedestrian_4632181927,localroad_5092061497
kindergarden_707,사립(사인),새성민유치원,서울특별시 서초구 효령로 110,POINT (126.9961085 37.4806795),,pedestrian_4185991221,localroad_4185991224
kindergarden_708,사립(사인),새순유치원,서울특별시 서초구 서초대로15길 57,POINT (126.9883992 37.4889304),http://saesoon.kidis.co.kr/index.php,pedestrian_3804191211,localroad_3804191211
kindergarden_782,공립(병설),서울방배초등학교병설유치원,서울특별시 서초구 방배중앙로13길 26,POINT (126.9873149 37.4871641),http://www.bangbae.es.kr,pedestrian_8486814102,localroad_3804191167
kindergarden_821,사립(사인),예원유치원,서울특별시 서초구 태봉로2길 21,POINT (127.0249596 37.4617827),http://yewon.kidis.co.kr/,pedestrian_6584407586,localroad_3634016490
kindergarden_867,공립(단설),서울양재유치원,서울특별시 서초구 바우뫼로18길 14,POINT (127.0317535 37.4740299),http://www.서울양재유치원.kr/,pedestrian_1925498652,localroad_1925380126
kindergarden_875,공립(단설),서울청계숲유치원,서울특별시 서초구 청계산로11길 14,POINT (127.0577465 37.4477939),http://www.서울청계숲유치원.kr/,pedestrian_7465621403,localroad_7465621403
kindergarden_906,공립(단설),서울어진유치원,서울특별시 서초구 태봉로2길 21,POINT (127.0249596 37.4617827),http://www.서울어진유치원.kr,pedestrian_6584407586,localroad_3634016490
