uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
localroad_1,localroad_357824648,localroad_2861578313,58.147,0.174441,"MultiLineString ((127.0199955 37.5139422, 127.019939 37.5139311, 127.0193557 37.5138161))"
localroad_2,localroad_357824648,localroad_2280678864,101.894,0.359625882,"MultiLineString ((127.0199955 37.5139422, 127.0200491 37.5137516, 127.0202796 37.5130541))"
localroad_3,localroad_414683142,localroad_734790106,33.736,0.119068235,"MultiLineString ((127.0430136 37.4654267, 127.0432971 37.4656302))"
localroad_4,localroad_414683142,localroad_2817764755,33.992,0.119971765,"MultiLineString ((127.0430136 37.4654267, 127.0430703 37.4653796, 127.0432773 37.4652039))"
localroad_5,localroad_414683494,localroad_1551437361,37.663,0.125543333,"MultiLineString ((127.0371526 37.4617177, 127.037438 37.4614659))"
localroad_6,localroad_414683494,localroad_1551437362,217.386,0.652158,"MultiLineString ((127.0371526 37.4617177, 127.0370355 37.461821, 127.0362774 37.4624902, 127.0360459 37.4627067, 127.035512 37.4631757))"
localroad_7,localroad_414683494,localroad_4278630694,145.884,0.514884706,"MultiLineString ((127.0371526 37.4617177, 127.0361193 37.4609487, 127.0359469 37.4608203))"
localroad_8,localroad_414684234,localroad_3228035801,213.371,0.640113,"MultiLineString ((127.0347686 37.4675247, 127.03461 37.46738, 127.0345737 37.4673431, 127.03445 37.46717, 127.03437 37.46697, 127.0343418 37.4666688, 127.03431 37.46633, 127.03425 37.46581, 127.0342416 37.4657027))"
localroad_9,localroad_414684234,localroad_436876729,540.849,2.163396,"MultiLineString ((127.0347686 37.4675247, 127.03461 37.46768, 127.0341768 37.4681132, 127.03407 37.46822, 127.0331604 37.4692237, 127.03291 37.4695, 127.0317373 37.4707481, 127.0312788 37.4712417, 127.0311183 37.4714305))"
localroad_10,localroad_414684234,localroad_3737658606,82.967,0.31112625,"MultiLineString ((127.0347686 37.4675247, 127.0348694 37.4675196, 127.0349229 37.4675135, 127.0349418 37.4675046, 127.0349588 37.4674966, 127.0350582 37.4673941, 127.0353791 37.4670629, 127.035412 37.467029))"
localroad_11,localroad_414684234,localroad_3228035802,202.655,0.75995625,"MultiLineString ((127.0347686 37.4675247, 127.0347802 37.4673973, 127.0348208 37.4671204, 127.0348533 37.4668985, 127.0349413 37.4662979, 127.0349768 37.4657106))"
localroad_12,localroad_414684234,localroad_845976121,452.054,1.356162,"MultiLineString ((127.0347686 37.4675247, 127.03502 37.46767, 127.0358633 37.4682073, 127.0365095 37.468619, 127.0369787 37.4689179, 127.0372392 37.4690872, 127.0372627 37.4691028, 127.0373632 37.4691695, 127.0375071 37.4692497, 127.0376856 37.4693017, 1"
localroad_13,localroad_414684235,localroad_4865811287,16.839,0.053175789,"MultiLineString ((127.0398113 37.4685748, 127.0399672 37.4686621))"
localroad_14,localroad_414684235,localroad_4865811267,157.381,0.472143,"MultiLineString ((127.0398113 37.4685748, 127.0402179 37.468172, 127.0404098 37.4679874, 127.0409142 37.4674628))"
localroad_15,localroad_414684236,localroad_562451052,138.372,0.553488,"MultiLineString ((127.0243 37.46912, 127.0252014 37.4701382))"
localroad_16,localroad_414684236,localroad_9632566088,54.513,0.172146316,"MultiLineString ((127.0243 37.46912, 127.0239852 37.4686982))"
