uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
pedestrian_1,pedestrian_357824648,pedestrian_9892111604,5.134,0.10268,"MultiLineString ((127.0199955 37.5139422, 127.019939 37.5139311))"
pedestrian_2,pedestrian_357824648,pedestrian_9892111593,37.396,0.74792,"MultiLineString ((127.0199955 37.5139422, 127.0199076 37.5142712))"
pedestrian_3,pedestrian_357824648,pedestrian_2280678864,101.894,2.03788,"MultiLineString ((127.0199955 37.5139422, 127.0200491 37.5137516, 127.0202796 37.5130541))"
pedestrian_4,pedestrian_414683142,pedestrian_2817764766,34.303,0.68606,"MultiLineString ((127.0430136 37.4654267, 127.0427453 37.4656499))"
pedestrian_5,pedestrian_414683142,pedestrian_734790106,33.736,0.67472,"MultiLineString ((127.0430136 37.4654267, 127.0432971 37.4656302))"
pedestrian_6,pedestrian_414683142,pedestrian_2817764756,33.333,0.66666,"MultiLineString ((127.0430136 37.4654267, 127.0427286 37.46523))"
pedestrian_7,pedestrian_414683142,pedestrian_2817764755,33.992,0.67984,"MultiLineString ((127.0430136 37.4654267, 127.0430703 37.4653796, 127.0432773 37.4652039))"
pedestrian_8,pedestrian_414683494,pedestrian_9691296212,15.452,0.30904,"MultiLineString ((127.0371526 37.4617177, 127.0370355 37.461821))"
pedestrian_9,pedestrian_414683494,pedestrian_1551437361,37.663,0.75326,"MultiLineString ((127.0371526 37.4617177, 127.037438 37.4614659))"
pedestrian_10,pedestrian_414683494,pedestrian_4278630694,145.884,2.91768,"MultiLineString ((127.0371526 37.4617177, 127.0361193 37.4609487, 127.0359469 37.4608203))"
pedestrian_11,pedestrian_414683494,pedestrian_11633852160,75.525,1.5105,"MultiLineString ((127.0371526 37.4617177, 127.0375132 37.4619908, 127.0376958 37.4621212, 127.0377788 37.4621805))"
pedestrian_12,pedestrian_414684234,pedestrian_6820551904,14.203,0.28406,"MultiLineString ((127.0347686 37.4675247, 127.0347802 37.4673973))"
pedestrian_13,pedestrian_414684234,pedestrian_3218504233,83.727,1.67454,"MultiLineString ((127.0347686 37.4675247, 127.03461 37.46768, 127.0341768 37.4681132))"
pedestrian_14,pedestrian_414684234,pedestrian_9691296124,15.624,0.31248,"MultiLineString ((127.0347686 37.4675247, 127.0348694 37.4675196, 127.0349229 37.4675135, 127.0349418 37.4675046))"
pedestrian_15,pedestrian_414684235,pedestrian_4865811287,16.839,0.33678,"MultiLineString ((127.0398113 37.4685748, 127.0399672 37.4686621))"
pedestrian_16,pedestrian_414684235,pedestrian_9693971043,57.391,1.14782,"MultiLineString ((127.0398113 37.4685748, 127.0402179 37.468172))"
pedestrian_17,pedestrian_414684235,pedestrian_845976121,142.485,2.8497,"MultiLineString ((127.0398113 37.4685748, 127.039381 37.4691607, 127.0392069 37.4694284, 127.0390316 37.4696964))"
pedestrian_18,pedestrian_414684236,pedestrian_562451052,138.372,2.76744,"MultiLineString ((127.0243 37.46912, 127.0252014 37.4701382))"
pedestrian_19,pedestrian_414684236,pedestrian_9632566088,54.513,1.09026,"MultiLineString ((127.0243 37.46912, 127.0239852 37.4686982))"
pedestrian_20,pedestrian_414684236,pedestrian_4634856279,41.277,0.82554,"MultiLineString ((127.0243 37.46912, 127.0246497 37.4688735))"
pedestrian_21,pedestrian_414684236,pedestrian_11871112358,59.891,1.19782,"MultiLineString ((127.0243 37.46912, 127.0238084 37.4694913))"
pedestrian_22,pedestrian_414684250,pedestrian_4865811294,19.482,0.38964,"MultiLineString ((127.0385593 37.4736968, 127.0387794 37.4737104))"
pedestrian_23,pedestrian_414684250,pedestrian_9965554550,225.506,4.51012,"MultiLineString ((127.0385593 37.4736968, 127.0385316 37.472762, 127.038529 37.4718595, 127.0385388 37.4716692))"
pedestrian_24,pedestrian_414684250,pedestrian_414684253,204.483,4.08966,"MultiLineString ((127.0385593 37.4736968, 127.0385611 37.4738972, 127.0385659 37.475157, 127.0385739 37.4755357))"
pedestrian_25,pedestrian_414684253,pedestrian_1857470430,54.979,1.09958,"MultiLineString ((127.0385739 37.4755357, 127.0384121 37.4755335, 127.0380146 37.4753479))"
pedestrian_26,pedestrian_414684253,pedestrian_414684250,204.483,4.08966,"MultiLineString ((127.0385739 37.4755357, 127.0385659 37.475157, 127.0385611 37.4738972, 127.0385593 37.4736968))"
pedestrian_27,pedestrian_414684253,pedestrian_9159795031,224.692,4.49384,"MultiLineString ((127.0385739 37.4755357, 127.0385656 37.4767322, 127.038574 37.4770265, 127.0385829 37.477335, 127.0385791 37.4775562))"
pedestrian_28,pedestrian_414684334,pedestrian_1965713730,127.992,2.55984,"MultiLineString ((127.0100859 37.4870008, 127.0106038 37.4859256))"
pedestrian_29,pedestrian_414684334,pedestrian_8703399727,68.624,1.37248,"MultiLineString ((127.0100859 37.4870008, 127.0108116 37.4872228))"
pedestrian_30,pedestrian_414684334,pedestrian_5092097487,12.515,0.2503,"MultiLineString ((127.0100859 37.4870008, 127.0100195 37.4869778, 127.0099559 37.4869558))"
pedestrian_31,pedestrian_414684334,pedestrian_2386012694,64.093,1.28186,"MultiLineString ((127.0100859 37.4870008, 127.010009 37.4871346, 127.009819 37.4875366))"
pedestrian_32,pedestrian_414684345,pedestrian_9608955239,19.229,0.38458,"MultiLineString ((127.0282365 37.4885147, 127.028033 37.4884528))"
pedestrian_33,pedestrian_414684345,pedestrian_9608955245,16.688,0.33376,"MultiLineString ((127.0282365 37.4885147, 127.0284136 37.4885674))"
pedestrian_34,pedestrian_414684345,pedestrian_9608955247,13.981,0.27962,"MultiLineString ((127.0282365 37.4885147, 127.0282929 37.4883972))"
pedestrian_35,pedestrian_414684345,pedestrian_9608940370,18.775,0.3755,"MultiLineString ((127.0282365 37.4885147, 127.0281803 37.4886319, 127.0281608 37.4886725))"
pedestrian_36,pedestrian_414684380,pedestrian_2622874627,82.976,1.65952,"MultiLineString ((126.9904803 37.4927747, 126.9900541 37.4934399))"
pedestrian_37,pedestrian_414684380,pedestrian_2510009120,78.152,1.56304,"MultiLineString ((126.9904803 37.4927747, 126.9896809 37.4924719))"
pedestrian_38,pedestrian_414684380,pedestrian_2622874615,60.741,1.21482,"MultiLineString ((126.9904803 37.4927747, 126.9910849 37.493036))"
pedestrian_39,pedestrian_414684380,pedestrian_2510006962,69.515,1.3903,"MultiLineString ((126.9904803 37.4927747, 126.990821 37.492211))"
pedestrian_40,pedestrian_414684382,pedestrian_9608955319,20.176,0.40352,"MultiLineString ((127.0298727 37.4929947, 127.029659 37.4929301))"
pedestrian_41,pedestrian_414684382,pedestrian_11180802441,21.566,0.43132,"MultiLineString ((127.0298727 37.4929947, 127.0299551 37.4928121))"
pedestrian_42,pedestrian_414684382,pedestrian_11180657530,6.483,0.12966,"MultiLineString ((127.0298727 37.4929947, 127.0299414 37.4930154))"
pedestrian_43,pedestrian_414684382,pedestrian_11180802448,24.057,0.48114,"MultiLineString ((127.0298727 37.4929947, 127.0297744 37.4931965))"
pedestrian_44,pedestrian_414684540,pedestrian_2551950254,33.242,0.66484,"MultiLineString ((126.9870596 37.4982064, 126.9867077 37.4983133))"
pedestrian_45,pedestrian_414684540,pedestrian_436844237,17.47,0.3494,"MultiLineString ((126.9870596 37.4982064, 126.9871278 37.4980589))"
pedestrian_46,pedestrian_414684540,pedestrian_5824006679,17.729,0.35458,"MultiLineString ((126.9870596 37.4982064, 126.9872585 37.4981836))"
pedestrian_47,pedestrian_414684540,pedestrian_11229639134,18.912,0.37824,"MultiLineString ((126.9870596 37.4982064, 126.9872447 37.4982922))"
pedestrian_48,pedestrian_414684540,pedestrian_4886793465,24.411,0.48822,"MultiLineString ((126.9870596 37.4982064, 126.9870602 37.4983246, 126.9870535 37.4984258))"
pedestrian_49,pedestrian_414684605,pedestrian_12061684198,12.532,0.25064,"MultiLineString ((127.0211197 37.5034452, 127.0210004 37.503384))"
pedestrian_50,pedestrian_414684605,pedestrian_3054785344,15.291,0.30582,"MultiLineString ((127.0211197 37.5034452, 127.021282 37.5034935))"
pedestrian_51,pedestrian_414684605,pedestrian_12061684199,13.238,0.26476,"MultiLineString ((127.0211197 37.5034452, 127.0209697 37.5034417))"
pedestrian_52,pedestrian_414684605,pedestrian_12061682133,14.083,0.28166,"MultiLineString ((127.0211197 37.5034452, 127.0211733 37.5033259))"
pedestrian_53,pedestrian_414684605,pedestrian_2477340277,74.09,1.4818,"MultiLineString ((127.0211197 37.5034452, 127.0210415 37.5035989, 127.020835 37.5040719))"
pedestrian_54,pedestrian_436691507,pedestrian_3634017638,95.328,1.90656,"MultiLineString ((127.0150044 37.4574453, 127.0151745 37.4565987))"
pedestrian_55,pedestrian_436691507,pedestrian_8487937348,179.082,3.58164,"MultiLineString ((127.0150044 37.4574453, 127.0129772 37.4573801))"
pedestrian_56,pedestrian_436691507,pedestrian_3634017636,27.361,0.54722,"MultiLineString ((127.0150044 37.4574453, 127.015313 37.4574685))"
pedestrian_57,pedestrian_436691511,pedestrian_4662808662,133.843,2.67686,"MultiLineString ((127.0188551 37.4596924, 127.0197806 37.4603907, 127.0199819 37.4604937))"
pedestrian_58,pedestrian_436691511,pedestrian_6789544587,360.921,7.21842,"MultiLineString ((127.0188551 37.4596924, 127.0193709 37.4601439, 127.019533 37.4603321, 127.0196062 37.460552, 127.0195829 37.4608461, 127.019429 37.461331, 127.0190649 37.4623034, 127.0189822 37.4626693))"
pedestrian_59,pedestrian_436691511,pedestrian_4186026790,64.299,1.28598,"MultiLineString ((127.0188551 37.4596924, 127.0185989 37.4594812, 127.0184179 37.459235))"
pedestrian_60,pedestrian_436691511,pedestrian_436691512,102.618,2.05236,"MultiLineString ((127.0188551 37.4596924, 127.0196119 37.4600717, 127.0198306 37.4601941))"
