uuid,geometry
localroad_357824648,Point (127.0199955 37.5139422)
localroad_414683142,Point (127.0430136 37.4654267)
localroad_414683494,Point (127.0371526 37.4617177)
localroad_414684234,Point (127.0347686 37.4675247)
localroad_414684235,Point (127.0398113 37.4685748)
localroad_414684236,Point (127.0243 37.46912)
localroad_414684250,Point (127.0385593 37.4736968)
localroad_414684253,Point (127.0385739 37.4755357)
localroad_414684334,Point (127.0100859 37.4870008)
localroad_414684345,Point (127.0282365 37.4885147)
localroad_414684380,Point (126.9904803 37.4927747)
localroad_414684382,Point (127.0298727 37.4929947)
localroad_414684540,Point (126.9870596 37.4982064)
localroad_414684605,Point (127.0211197 37.5034452)
localroad_436286601,Point (127.0902712 37.4654826)
localroad_436691507,Point (127.0150044 37.4574453)
localroad_436691511,Point (127.0188551 37.4596924)
localroad_436691512,Point (127.0198306 37.4601941)
localroad_436763814,Point (126.9909208 37.506697)
localroad_436801370,Point (127.0307069 37.4737864)
localroad_436801374,Point (127.029969 37.4733636)
localroad_436816899,Point (127.0070822 37.5108092)
localroad_436816900,Point (127.0096393 37.5120376)
localroad_436816903,Point (127.0133484 37.5138164)
localroad_436817738,Point (127.0115903 37.5024989)
localroad_436830485,Point (127.0129176 37.4806512)
localroad_436830490,Point (127.0069913 37.4776296)
localroad_436832382,Point (127.0421 37.48374)
localroad_436837053,Point (126.9967186 37.494211)
localroad_436837056,Point (126.9979682 37.4949993)
localroad_436837533,Point (127.0414121 37.4696368)
localroad_436837539,Point (127.0466911 37.47238)
localroad_436838053,Point (126.9821298 37.4839603)
localroad_436838063,Point (126.9827592 37.4909123)
localroad_436839449,Point (127.04025 37.47406)
localroad_436840833,Point (127.03479 37.46384)
localroad_436840836,Point (127.03423 37.46455)
localroad_436841230,Point (127.0137152 37.5151987)
localroad_436842082,Point (127.0043705 37.4908085)
localroad_436842100,Point (127.00049 37.49466)
localroad_436842103,Point (126.99991 37.49483)
localroad_436842104,Point (126.99928 37.49491)
localroad_436842105,Point (126.9987657 37.4949594)
localroad_436843475,Point (127.0354982 37.4759643)
localroad_436843477,Point (127.03787 37.47773)
localroad_436843482,Point (127.0398559 37.4785947)
localroad_436843484,Point (127.0418306 37.480703)
localroad_436843486,Point (127.0429271 37.4819037)
localroad_436843824,Point (127.0060896 37.5128051)
localroad_436843853,Point (127.0191924 37.46272)
localroad_436843863,Point (127.0136452 37.480886)
localroad_436844215,Point (126.998817 37.4796936)
localroad_436844216,Point (126.9980012 37.4808984)
localroad_436844219,Point (126.9964804 37.4832788)
localroad_436844221,Point (126.9950087 37.4855112)
localroad_436844236,Point (126.9873108 37.4977794)
localroad_436844243,Point (126.99364 37.48018)
localroad_436844259,Point (126.98764 37.48949)
localroad_436844263,Point (126.98693 37.49143)
localroad_436844264,Point (126.98677 37.49199)
localroad_436844267,Point (126.9854671 37.4965596)
localroad_436849903,Point (126.9903763 37.4866475)
localroad_436849906,Point (126.9928961 37.4874454)
localroad_436853883,Point (126.9981951 37.4961145)
localroad_436853888,Point (126.9979961 37.4999388)
localroad_436854295,Point (127.0066911 37.4782428)
localroad_436854296,Point (127.0058694 37.479912)
localroad_436854331,Point (127.02421 37.4969787)
localroad_436859991,Point (127.0132476 37.5130344)
localroad_436861024,Point (127.0343767 37.4736844)
localroad_436861025,Point (127.0355202 37.4739513)
localroad_436861028,Point (127.03659 37.47447)
localroad_436861029,Point (127.03732 37.47494)
localroad_436861032,Point (127.0393296 37.4756827)
localroad_436861034,Point (127.0395339 37.4757362)
localroad_436861036,Point (127.0396939 37.4758308)
localroad_436861037,Point (127.0414354 37.4778471)
localroad_436864976,Point (127.0162809 37.4850243)
localroad_436864995,Point (127.01186 37.5016)
localroad_436864998,Point (127.0103746 37.5047198)
localroad_436871832,Point (127.03072 37.47185)
localroad_436871835,Point (127.02954 37.47309)
