uuid,geometry
pedestrian_357824648,Point (127.0199955 37.5139422)
pedestrian_414683142,Point (127.0430136 37.4654267)
pedestrian_414683494,Point (127.0371526 37.4617177)
pedestrian_414684234,Point (127.0347686 37.4675247)
pedestrian_414684235,Point (127.0398113 37.4685748)
pedestrian_414684236,Point (127.0243 37.46912)
pedestrian_414684250,Point (127.0385593 37.4736968)
pedestrian_414684253,Point (127.0385739 37.4755357)
pedestrian_414684334,Point (127.0100859 37.4870008)
pedestrian_414684345,Point (127.0282365 37.4885147)
pedestrian_414684380,Point (126.9904803 37.4927747)
pedestrian_414684382,Point (127.0298727 37.4929947)
pedestrian_414684540,Point (126.9870596 37.4982064)
pedestrian_414684605,Point (127.0211197 37.5034452)
pedestrian_436691507,Point (127.0150044 37.4574453)
pedestrian_436691511,Point (127.0188551 37.4596924)
pedestrian_436691512,Point (127.0198306 37.4601941)
pedestrian_436763814,Point (126.9909208 37.506697)
pedestrian_436801370,Point (127.0307069 37.4737864)
pedestrian_436801374,Point (127.029969 37.4733636)
pedestrian_436816899,Point (127.0070822 37.5108092)
pedestrian_436816900,Point (127.0096393 37.5120376)
pedestrian_436816903,Point (127.0133484 37.5138164)
pedestrian_436817724,Point (127.0189247 37.5003746)
pedestrian_436817728,Point (127.0154205 37.5018045)
pedestrian_436817738,Point (127.0115903 37.5024989)
pedestrian_436830485,Point (127.0129176 37.4806512)
pedestrian_436830486,Point (127.0128591 37.4806264)
pedestrian_436830490,Point (127.0069913 37.4776296)
pedestrian_436832382,Point (127.0421 37.48374)
pedestrian_436837053,Point (126.9967186 37.494211)
pedestrian_436837056,Point (126.9979682 37.4949993)
pedestrian_436837533,Point (127.0414121 37.4696368)
pedestrian_436837539,Point (127.0466911 37.47238)
pedestrian_436838027,Point (126.9880878 37.4627402)
pedestrian_436838053,Point (126.9821298 37.4839603)
pedestrian_436838063,Point (126.9827592 37.4909123)
pedestrian_436839449,Point (127.04025 37.47406)
pedestrian_436840831,Point (127.0362774 37.4624902)
pedestrian_436840832,Point (127.0354615 37.4632272)
pedestrian_436840836,Point (127.03423 37.46455)
pedestrian_436841230,Point (127.0137152 37.5151987)
pedestrian_436841231,Point (127.01494 37.51841)
pedestrian_436842082,Point (127.0043705 37.4908085)
pedestrian_436842092,Point (127.0016665 37.4935094)
pedestrian_436842100,Point (127.00049 37.49466)
pedestrian_436842103,Point (126.99991 37.49483)
pedestrian_436842104,Point (126.99928 37.49491)
pedestrian_436842105,Point (126.9987657 37.4949594)
pedestrian_436843475,Point (127.0354982 37.4759643)
pedestrian_436843477,Point (127.03787 37.47773)
pedestrian_436843482,Point (127.0398559 37.4785947)
pedestrian_436843484,Point (127.0418306 37.480703)
pedestrian_436843486,Point (127.0429271 37.4819037)
pedestrian_436843820,Point (127.0026716 37.509531)
pedestrian_436843824,Point (127.0060896 37.5128051)
pedestrian_436843853,Point (127.0191924 37.46272)
pedestrian_436843863,Point (127.0136452 37.480886)
pedestrian_436844215,Point (126.998817 37.4796936)
pedestrian_436844216,Point (126.9980012 37.4808984)
pedestrian_436844219,Point (126.9964804 37.4832788)
pedestrian_436844221,Point (126.9950087 37.4855112)
pedestrian_436844236,Point (126.9873108 37.4977794)
pedestrian_436844237,Point (126.9871278 37.4980589)
pedestrian_436844243,Point (126.99364 37.48018)
pedestrian_436844259,Point (126.98764 37.48949)
pedestrian_436844263,Point (126.98693 37.49143)
pedestrian_436844264,Point (126.98677 37.49199)
pedestrian_436844267,Point (126.9854671 37.4965596)
pedestrian_436849903,Point (126.9903763 37.4866475)
pedestrian_436849906,Point (126.9928961 37.4874454)
pedestrian_436853883,Point (126.9981951 37.4961145)
pedestrian_436853888,Point (126.9979961 37.4999388)
pedestrian_436854295,Point (127.0066911 37.4782428)
pedestrian_436854296,Point (127.0058694 37.479912)
pedestrian_436854331,Point (127.02421 37.4969787)
pedestrian_436859991,Point (127.0132476 37.5130344)
pedestrian_436861024,Point (127.0343767 37.4736844)
pedestrian_436861025,Point (127.0355202 37.4739513)
pedestrian_436861028,Point (127.03659 37.47447)
pedestrian_436861029,Point (127.03732 37.47494)
pedestrian_436861032,Point (127.0393296 37.4756827)
pedestrian_436861034,Point (127.0395339 37.4757362)
pedestrian_436861036,Point (127.0396939 37.4758308)
pedestrian_436861037,Point (127.0414354 37.4778471)
pedestrian_436861475,Point (127.0746426 37.4595052)
pedestrian_436864976,Point (127.0162809 37.4850243)
pedestrian_436864995,Point (127.01186 37.5016)
pedestrian_436864998,Point (127.0103746 37.5047198)
pedestrian_436869534,Point (127.0119543 37.5186174)
pedestrian_436871832,Point (127.03072 37.47185)
pedestrian_436871835,Point (127.02954 37.47309)
pedestrian_436876714,Point (127.0229531 37.4627197)
pedestrian_436876724,Point (127.028554 37.4683718)
pedestrian_436876729,Point (127.0311183 37.4714305)
pedestrian_436881187,Point (127.0906242 37.4635267)
pedestrian_436881195,Point (127.0819611 37.4606016)
pedestrian_436881200,Point (127.0800235 37.4599792)
pedestrian_436881205,Point (127.0689348 37.4565329)
pedestrian_436881211,Point (127.0635782 37.4556394)
pedestrian_436881212,Point (127.0627331 37.4559959)
pedestrian_436881215,Point (127.0500945 37.4613982)
pedestrian_436882863,Point (126.9875481 37.4777163)
pedestrian_436882865,Point (126.98805 37.47797)
pedestrian_436882868,Point (126.98999 37.47895)
pedestrian_436882870,Point (126.993132 37.4800098)
pedestrian_436882871,Point (126.99437 37.48042)
pedestrian_436882882,Point (127.00446 37.48274)
pedestrian_436882900,Point (127.0299475 37.4890431)
pedestrian_562451052,Point (127.0252014 37.4701382)
pedestrian_562451108,Point (127.0255286 37.4649231)
pedestrian_562451120,Point (127.0226694 37.4658762)
pedestrian_562451170,Point (127.0213556 37.4665998)
pedestrian_562451182,Point (127.0206233 37.4670192)
pedestrian_562451187,Point (127.019757 37.4666956)
pedestrian_562451191,Point (127.0194673 37.4659845)
pedestrian_562451205,Point (127.0194512 37.4654161)
pedestrian_562451208,Point (127.0194887 37.4649754)
pedestrian_562451215,Point (127.0195907 37.4645794)
pedestrian_562451257,Point (127.0212454 37.4638679)
pedestrian_571447794,Point (127.0266977 37.495807)
pedestrian_571448492,Point (127.027701 37.4961026)
pedestrian_571448678,Point (127.0284792 37.4944511)
pedestrian_571448680,Point (127.0292391 37.4928033)
pedestrian_571449373,Point (127.0234914 37.4984882)
pedestrian_571450682,Point (127.0113552 37.5088814)
pedestrian_595776288,Point (127.0162779 37.5212488)
pedestrian_595776289,Point (127.0163432 37.5211048)
pedestrian_595776290,Point (127.016393 37.5209864)
pedestrian_595776322,Point (127.0168877 37.521135)
pedestrian_595776323,Point (127.0170408 37.5213339)
pedestrian_595780347,Point (127.0166804 37.5228039)
pedestrian_595780350,Point (127.0166902 37.5224163)
pedestrian_595780351,Point (127.0118965 37.5196007)
pedestrian_595780354,Point (127.0153959 37.52246)
pedestrian_595780360,Point (127.0170959 37.5225608)
pedestrian_600377797,Point (127.0179415 37.5172488)
pedestrian_600377800,Point (127.0189529 37.517623)
pedestrian_600377805,Point (127.017289 37.5177416)
pedestrian_600377807,Point (127.0187502 37.5183522)
