uuid,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
office_1,강남역리가스퀘어,서울특별시 서초구 서초동 1308-26,POINT (127.02447739 37.50123352),2.7,pedestrian_1430655014,localroad_1430655018
office_2,,서울특별시 서초구 서초동 1360-53,POINT (127.03160201 37.48586864),4.8,pedestrian_3827169857,localroad_3827169857
office_3,,서울특별시 서초구 서초동 1542-14,POINT (127.00862999 37.49067003),5,pedestrian_7888119764,localroad_2388037863
office_4,,서울특별시 서초구 서초동 1709-4,POINT (127.00885477 37.49314933),3.8,pedestrian_3827548457,localroad_3827548457
office_5,,서울특별시 서초구 반포동 17533,POINT (127.00970737 37.50063669),3.3,pedestrian_1962358640,localroad_1962358640
office_6,방배오피스텔,서울특별시 서초구 방배동 980-32,POINT (126.9902083 37.47938607),4,pedestrian_436882868,localroad_436882868
office_7,신양빌딩,서울특별시 서초구 양재동 249-4,POINT (127.04030595 37.47385867),4.5,pedestrian_436839449,localroad_436839449
office_8,구산타워,서울특별시 서초구 방배동 3250,POINT (126.98263439 37.48481787),4.4,pedestrian_1905595232,localroad_1905595232
office_9,,서울특별시 서초구 양재동 279,POINT (127.04484445 37.47585541),4.7,pedestrian_3011650460,localroad_3011650460
office_10,대한건축학회 건축센터,서울특별시 서초구 방배동 917-9,POINT (126.99371613 37.48048957),3.7,pedestrian_436844243,localroad_436844243
office_11,대유빌딩,서울특별시 서초구 반포동 736-2,POINT (127.02260566 37.50739065),3.5,pedestrian_3827672469,localroad_3827672469
office_12,,서울특별시 서초구 서초동 1553-3,POINT (127.00919534 37.49197449),4.4,pedestrian_3827338155,localroad_3827338155
office_13,ROTC중앙회관,서울특별시 서초구 반포동 107-43,POINT (126.99547984 37.49865154),3.1,pedestrian_11428490546,localroad_2622874541
office_14,명림빌딩,서울특별시 서초구 방배동 421-23,POINT (126.98414139 37.48499791),2.7,pedestrian_4185991238,localroad_4185991238
office_15,하이앤드 타워,서울특별시 서초구 서초동 1589-12,POINT (127.01346438 37.4858502),4.7,pedestrian_1965713708,localroad_1965713708
office_16,,서울특별시 서초구 방배동 440-7,POINT (126.98225707 37.48082806),4,pedestrian_1685716305,localroad_1685716305
office_17,,서울특별시 서초구 방배동 811-16,POINT (126.99168582 37.49131906),2.8,pedestrian_2509978764,localroad_2509978764
office_18,소방학교 훈련탑,서울특별시 서초구 서초동 391,POINT (127.01991202 37.4804021),3.6,pedestrian_3724634801,localroad_5406399794
office_19,소방학교 생활관,서울특별시 서초구 서초동 391,POINT (127.02055454 37.47945905),3.3,pedestrian_3724646167,localroad_3827257096
office_20,서울연구원,서울특별시 서초구 서초동 391,POINT (127.02415544 37.47969011),5,pedestrian_3724634806,localroad_11214937880
office_21,,서울특별시 서초구 서초동 1364,POINT (127.02961642 37.48594438),2.7,pedestrian_11431861646,localroad_3690640327
office_22,서울시데이터센터,서울특별시 서초구 서초동 391,POINT (127.0219074 37.47958443),3.2,pedestrian_3724646173,localroad_11214937880
office_23,갤럭시타워,서울특별시 서초구 서초동 1330-10,POINT (127.02869171 37.49298936),3.3,pedestrian_3825549664,localroad_3825549664
office_24,,서울특별시 서초구 서초동 1635-6,POINT (127.0215843 37.49327459),4.1,pedestrian_2295372345,localroad_2295372345
office_25,수영빌딩,서울특별시 서초구 방배동 478-3,POINT (126.98669618 37.47672252),3.3,pedestrian_4185920046,localroad_4185920046
office_26,비즈파크,서울특별시 서초구 서초동 1676-2,POINT (127.0179724 37.49453901),4.8,pedestrian_2295372303,localroad_2295372303
office_27,,서울특별시 서초구 서초동 1574-6,POINT (127.01321928 37.49221632),4.2,pedestrian_2388037860,localroad_2388037860
office_28,,서울특별시 서초구 서초동 1717-9,POINT (127.01000134 37.4928374),2.5,pedestrian_3355067044,localroad_3355067044
office_29,,서울특별시 서초구 서초동 1462-2,POINT (127.01189804 37.48240389),4.8,pedestrian_3089746783,localroad_3089746783
office_30,로이어즈타워,서울특별시 서초구 서초동 1573-10,POINT (127.01345558 37.49298933),2.6,pedestrian_3827548050,localroad_3827548050
office_31,,서울특별시 서초구 방배동 450-27,POINT (126.98365626 37.47716968),4.6,pedestrian_2110341085,localroad_2110341085
office_32,DF Tower(DF타워),서울특별시 서초구 서초동 1328-3,POINT (127.02820613 37.49565652),3,pedestrian_4865883248,localroad_3087683154
office_33,미라쉘,서울특별시 서초구 우면동 765,POINT (127.01592378 37.45647777),3.7,pedestrian_3634017624,localroad_3634017624
office_34,유청빌딩,서울특별시 서초구 방배동 821-8,POINT (126.98699096 37.48940501),2.6,pedestrian_3804191219,localroad_3804191219
office_35,서초프라자,서울특별시 서초구 서초동 1687-2,POINT (127.01940747 37.49610814),3.4,pedestrian_8526765366,localroad_3112865087
office_36,,서울특별시 서초구 방배동 1031-3,POINT (126.99942765 37.47816182),4.5,pedestrian_11431861570,localroad_3462555794
office_37,현대자동차사옥 연구센타,서울특별시 서초구 양재동 231,POINT (127.04238909 37.46414243),2.9,pedestrian_734789653,localroad_11730722047
office_38,,서울특별시 서초구 양재동 231,POINT (127.04206706 37.46351957),4.3,pedestrian_9693971079,localroad_11730722047
office_39,,서울특별시 서초구 양재동 231,POINT (127.04305551 37.46464334),4,pedestrian_8242024983,localroad_8242024983
office_40,세안빌딩,서울특별시 서초구 서초동 1343,POINT (127.0256875 37.48749004),3.4,pedestrian_9657758659,localroad_3492881093
office_41,해동빌딩,서울특별시 서초구 서초동 1535-12,POINT (127.0104916 37.48519895),3.4,pedestrian_3827337533,localroad_3827337533
office_42,,서울특별시 서초구 서초동 1540-11,POINT (127.00823061 37.4899941),4.3,pedestrian_7888119761,localroad_3221788781
office_43,,서울특별시 서초구 잠원동 17533,POINT (127.01618309 37.51166472),3.1,pedestrian_2429722057,localroad_2429722057
office_44,해성빌딩,서울특별시 서초구 반포동 18810,POINT (127.01184323 37.50032346),4.2,pedestrian_12061668130,localroad_1962358589
office_45,현철빌딩,서울특별시 서초구 반포동 748-8,POINT (127.02360915 37.5045754),3.5,pedestrian_4182209840,localroad_4182209840
office_46,,서울특별시 서초구 방배동 446-1,POINT (126.98331306 37.47674581),2.6,pedestrian_4078144569,localroad_4185991281
office_47,현대퓨처넷빌딩,서울특별시 서초구 서초동 1462-7,POINT (127.01193345 37.48219881),2.6,pedestrian_8696495206,localroad_3089746783
office_48,,서울특별시 서초구 서초동 1356-2,POINT (127.02919188 37.48697511),4.9,pedestrian_11431861652,localroad_3690640296
office_49,송남빌딩,서울특별시 서초구 서초동 1358-6,POINT (127.03195799 37.48753313),4.3,pedestrian_6337030225,localroad_3827170285
office_50,,서울특별시 서초구 반포동 736-6,POINT (127.02270259 37.50717512),4.9,pedestrian_4867334968,localroad_3827672469
