uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
park_1149,염곡,POINT (127.054382 37.462312),pedestrian_4314800999,localroad_4314800999
park_1079,당골어린이공원,POINT (127.02250898 37.48545765),pedestrian_3492880093,localroad_3492880093
park_1080,용허리근린공원,POINT (127.02294068 37.49425673),pedestrian_9835273083,localroad_3800522741
park_1081,역삼소나무공원,POINT (127.024931 37.490961),pedestrian_9980031787,localroad_3800522729
park_1082,사도감어린이공원,POINT (127.03127292 37.48574404),pedestrian_3827169545,localroad_3827169545
park_1083,마산말어린이공원,POINT (127.02671385 37.48716372),pedestrian_3827170273,localroad_3827170273
park_1084,상명달어린이공원,POINT (127.00564864 37.48213512),pedestrian_4185715625,localroad_4185715625
park_1085,신중어린이공원,POINT (127.01068693 37.48233497),pedestrian_3089746781,localroad_3089746781
park_1086,하명달어린이공원,POINT (127.00543233 37.48584721),pedestrian_4185744404,localroad_4185744404
park_1087,꽃마을소공원,POINT (127.00706555 37.49056517),pedestrian_9914441879,localroad_3827338135
park_1088,몽마르뜨공원,POINT (127.00240874 37.49331542),pedestrian_3038282653,localroad_2622767602
park_1089,궁현어린이공원,POINT (127.01037993 37.4884019),pedestrian_3827338099,localroad_3827338099
park_1090,교대어린이공원,POINT (127.011576 37.49432553),pedestrian_3153680662,localroad_3153680662
park_1091,예술어린이공원,POINT (127.01467048 37.48330432),pedestrian_4185683888,localroad_4185683888
park_1092,역삼까치공원,POINT (127.021971 37.497225),pedestrian_9625998617,localroad_3112248630
park_1093,논현은행나무공원,POINT (127.013669 37.512617),pedestrian_436859991,localroad_436859991
park_1094,명주근린공원,POINT (127.01514885 37.51720754),pedestrian_4185626625,localroad_595776308
park_1095,잠원근린공원,POINT (127.01013359 37.51275671),pedestrian_4185626650,localroad_4185626650
park_1096,싸리재어린이공원,POINT (127.01823173 37.51337338),pedestrian_2429722054,localroad_2429722054
park_1097,주흥어린이공원,POINT (127.01667351 37.51218273),pedestrian_2429722057,localroad_2429722057
park_1098,언구비어린이공원,POINT (127.02021515 37.50895407),pedestrian_3827672518,localroad_3827672518
park_1099,고무래어린이공원,POINT (127.01540717 37.50353481),pedestrian_3112829836,localroad_4899542143
park_1100,반딧불근린공원,POINT (126.99890856 37.50115739),pedestrian_4142921060,localroad_2622713668
park_1101,반원어린이공원,POINT (127.00367649 37.50917279),pedestrian_2028067314,localroad_2244637675
park_1102,코아어린이공원,POINT (127.0040728 37.50903225),pedestrian_2028067314,localroad_2244637675
park_1103,서래골근린공원,POINT (127.00298302 37.50161665),pedestrian_7888119750,localroad_7888119750
park_1104,서래어린이공원,POINT (127.00030345 37.49830375),pedestrian_2623317218,localroad_2622713692
park_1105,너른골어린이공원,POINT (126.99470179 37.48755331),pedestrian_2623456123,localroad_2623456123
