uuid,type,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_1,제2종일반주거지역(7층이하),"MultiPolygon (((127.03483532 37.47556973, 127.03481379 37.47584004, 127.03485829 37.47607601, 127.03535612 37.47644719, 127.03546731 37.47652763, 127.03647291 37.47727551, 127.03681488 37.47698261, 127.03577883 37.47621234, 127.03572661 37.47617544, 127.03537443 37.47591321, 127.03483532 37.47556973)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_2,제2종일반주거지역,"MultiPolygon (((126.98594873 37.4785806, 126.98593639 37.47835967, 126.98596213 37.47826282, 126.98626447 37.4778734, 126.9866611 37.4773766, 126.98663545 37.47735525, 126.98659309 37.47731775, 126.98655882 37.47728739, 126.98654125 37.47726976, 126.98648808 37.47721636, 126.98627363 37.47711017, 126.98596614 37.47695925, 126.98583823 37.4769011, 126.98571638 37.47684987, 126.98558537 37.47679991, 126.98549498 37.47677887, 126.98531608 37.47671508, 126.98448919 37.47687882, 126.9845269 37.47757857, 126.98462241 37.47754314, 126.98519099 37.47733863, 126.98524024 37.47815347, 126.98525795 37.47866958, 126.98525825 37.4786785, 126.98594873 37.4785806)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_3,제2종일반주거지역,"MultiPolygon (((127.01117605 37.4814926, 127.01051723 37.48129073, 127.00907132 37.48125601, 127.00892111 37.48126106, 127.00829831 37.48124566, 127.00747868 37.48097897, 127.00731966 37.48132421, 127.00834137 37.48163678, 127.00898453 37.48165131, 127.00893245 37.48296993, 127.00893486 37.4829704, 127.00893465 37.482976, 127.0104713 37.4830026, 127.01103825 37.48318057, 127.01133536 37.48257601, 127.0114894 37.4822536, 127.01177219 37.48167527, 127.01117605 37.4814926),(127.01093192 37.48223466, 127.0109185 37.48226241, 127.01080874 37.4824891, 127.01051669 37.48247912, 127.01047489 37.48247769, 127.01048668 37.48209785, 127.01093192 37.48223466)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_4,제2종일반주거지역,"MultiPolygon (((127.00981176 37.47924941, 127.0094955 37.47908908, 127.00943296 37.47905738, 127.00915064 37.47891425, 127.00906915 37.47887294, 127.00898942 37.47883252, 127.00882538 37.47874936, 127.0087812 37.47872697, 127.00845812 37.4791013, 127.00903388 37.47935996, 127.00903484 37.47938371, 127.00908717 37.4793824, 127.00928909 37.47937736, 127.00941786 37.47937415, 127.00971509 37.47936673, 127.00981176 37.47924941)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_5,제2종일반주거지역(7층이하),"MultiPolygon (((127.03237156 37.47465827, 127.03336064 37.47499923, 127.03343081 37.47477771, 127.0334984 37.47473075, 127.03365865 37.47461943, 127.03379676 37.47451398, 127.03393825 37.474406, 127.03410325 37.47427999, 127.03421261 37.47411058, 127.03430569 37.47396585, 127.0343826 37.47378671, 127.03436451 37.47374293, 127.03395992 37.47384919, 127.03404919 37.47399889, 127.03376284 37.47422379, 127.0335404 37.47408049, 127.03337162 37.47396351, 127.03323257 37.473975, 127.03237156 37.47465827)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_6,제2종일반주거지역(7층이하),"MultiPolygon (((127.00464858 37.50938697, 127.00387784 37.50915254, 127.00387275 37.509151, 127.0038145 37.50913316, 127.00378137 37.50912307, 127.00376847 37.50911911, 127.00370129 37.50926003, 127.00327123 37.51016228, 127.00512711 37.51197298, 127.00520456 37.51182936, 127.00526483 37.51171746, 127.00551342 37.51125641, 127.0057646 37.5107905, 127.00528966 37.51062797, 127.00492399 37.51050283, 127.00446082 37.51034445, 127.00463069 37.51002495, 127.00481232 37.50968329, 127.00485986 37.5095939, 127.00470552 37.5094478, 127.00464858 37.50938697)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_7,제2종일반주거지역,"MultiPolygon (((127.00438712 37.48991933, 127.00442449 37.48936406, 127.00442029 37.48888708, 127.00440219 37.48863254, 127.00412539 37.48855173, 127.0040858 37.4883527, 127.00406899 37.4882682, 127.0038103 37.48830014, 127.0037939 37.48837894, 127.00357111 37.48839808, 127.00356126 37.4883707, 127.00284117 37.48790585, 127.0018701 37.48727078, 127.00150742 37.48767891, 127.00133176 37.48787598, 127.00093654 37.48831837, 127.00070851 37.48857361, 127.0009373 37.4887318, 127.00174095 37.48928553, 127.00221069 37.48961357, 127.00201157 37.48992091, 127.00139953 37.48980337, 127.00104565 37.49014415, 127.00096741 37.49021551, 127.0009403 37.49034155, 127.00087702 37.49063564, 127.00094143 37.49095744, 127.00095715 37.49103595, 127.00101238 37.49111411, 127.00115417 37.49119041, 127.00127175 37.49121253, 127.00168516 37.49114136, 127.00222872 37.49144921, 127.00237485 37.49142772, 127.00307195 37.49153238, 127.00327841 37.4921946, 127.00367272 37.49182559, 127.00386526 37.49164232, 127.00404407 37.49130624, 127.00405577 37.49120028, 127.00419846 37.49077805, 127.00431292 37.49031318, 127.00438712 37.48991933)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_8,제2종일반주거지역,"MultiPolygon (((127.02717957 37.48604996, 127.02695523 37.48557577, 127.02693718 37.48553754, 127.02690653 37.48554672, 127.02627151 37.48573857, 127.02607301 37.4853219, 127.02599181 37.48536002, 127.0258991 37.48540592, 127.0258704 37.48547098, 127.02578037 37.48571363, 127.02577156 37.48574056, 127.02586632 37.48578047, 127.02579501 37.48588807, 127.02581107 37.48592156, 127.02582112 37.48594249, 127.02594834 37.48620767, 127.02594791 37.4862078, 127.02585323 37.48623647, 127.02585311 37.48623776, 127.02585084 37.4862618, 127.02585083 37.48626195, 127.02584783 37.48629369, 127.0262013 37.48704667, 127.0262316 37.48710827, 127.02647084 37.48703617, 127.02683383 37.48692678, 127.02683448 37.48692659, 127.02749164 37.4867283, 127.02749529 37.4867272, 127.02746856 37.48666086, 127.02717957 37.48604996)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_9,제2종일반주거지역,"MultiPolygon (((126.99727352 37.489513, 126.99666887 37.4892647, 126.99607608 37.49019603, 126.9966786 37.49044147, 126.99724167 37.48956191, 126.99727352 37.489513)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residentialdistrict_10,제1종일반주거지역,"MultiPolygon (((127.00376847 37.50911911, 127.00303075 37.50889348, 127.00269381 37.50959889, 127.00327123 37.51016228, 127.00370129 37.50926003, 127.00376847 37.50911911)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
