uuid,name,type,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
restaurant_10959,꼼,한식,서울특별시 서초구 양재동 273-9 1층,POINT (127.0443964 37.4755474),4.6,pedestrian_3011650441,localroad_3011650441
restaurant_15642,소울,일식,서울특별시 서초구 반포동 551-47 1층,POINT (127.001557 37.4960615),3.3,pedestrian_2623317176,localroad_2623317176
restaurant_19890,악어 다방,기타,서울특별시 서초구 잠원동 26-9,POINT (127.0187887 37.5144431),4.1,pedestrian_4181527974,localroad_4181527974
restaurant_20868,친화력,기타,서울특별시 서초구 서초동 1694-25 삼하빌딩 1층,POINT (127.0138015 37.4945785),4.6,pedestrian_12062647671,localroad_3112174490
restaurant_23597,화설 산장강남역점,한식,서울특별시 서초구 서초동 1308-24,POINT (127.0245557 37.5006868),3.8,pedestrian_1430655021,localroad_1430655018
restaurant_28396,스타 마라탕,기타,서울특별시 서초구 서초동 1576-9 지하1층,POINT (127.0139717 37.4902279),2.7,pedestrian_2368063904,localroad_2368063904
restaurant_74263,장원한정식,한식,서울특별시 서초구 서초동 1714-16,POINT (127.0128892 37.4942916),4.1,pedestrian_3153832863,localroad_3153832863
restaurant_74740,임광루,중국식,"서울특별시 서초구 방배동 1024-4번지 1층 9호, 1층 10호",POINT (127.0006726 37.4775645),4.9,pedestrian_11431861581,localroad_4185816724
restaurant_75374,명동 칼국수,한식,서울특별시 서초구 양재동 301-12 1층,POINT (127.0451862 37.4747879),4.9,pedestrian_3011545194,localroad_3011545194
restaurant_76211,미도식당,한식,서울특별시 서초구 반포동 60-4 미도상가 지층17호,POINT (127.0087853 37.5010511),4,pedestrian_8489299002,localroad_1962358614
restaurant_76478,산장,한식,서울특별시 서초구 방배동 915-5번지,POINT (126.9951386 37.481338),2.9,pedestrian_1696934710,localroad_1696934710
restaurant_76889,시민참치 정육점,일식,서울특별시 서초구 양재동 333 1층 104호,POINT (127.0417253 37.4695788),4.6,pedestrian_3572149895,localroad_3572149895
restaurant_117339,자인뭉티기,한식,서울특별시 서초구 서초동 1363-7 1층,POINT (127.0321412 37.48517),3.9,pedestrian_6337049852,localroad_6337049852
restaurant_48,두번먹는 명인김치찜,한식,서울특별시 서초구 방배동 864-37 지하1층,POINT (126.9858779 37.4872328),4.4,pedestrian_8486814112,localroad_3804191186
restaurant_49,삼호령 김치찜,한식,서울특별시 서초구 방배동 864-37 지하1층,POINT (126.9858779 37.4872328),3.8,pedestrian_8486814112,localroad_3804191186
restaurant_50,마당재 한우국밥,한식,서울특별시 서초구 서초동 1357-70 대원빌딩,POINT (127.0315659 37.4876883),3.8,pedestrian_6337030226,localroad_3827170276
restaurant_119,참살이청국장,한식,서울특별시 서초구 서초동 1599-11 지하1층5호,POINT (127.0144511 37.4873125),4.6,pedestrian_3827258501,localroad_3827258501
restaurant_134,예당,한식,서울특별시 서초구 서초동 1541-1 사랑의교회 13층,POINT (127.0078623 37.4904651),4.1,pedestrian_3222437349,localroad_3222437349
restaurant_173,솔솥,한식,서울특별시 서초구 서초동 1570-4,POINT (127.0124854 37.4914679),4.7,pedestrian_8487656462,localroad_8487656462
restaurant_174,밀팅's 샌드위치,경양식,서울특별시 서초구 반포동 51-12 지하1층 11호,POINT (127.011661 37.5008229),2.8,pedestrian_12061668136,localroad_1962358596
restaurant_175,류의 집,일식,서울특별시 서초구 양재동 8-31 대경빌딩,POINT (127.0397559 37.4838986),4.1,pedestrian_1694783697,localroad_1694783697
restaurant_200,아우라,한식,서울특별시 서초구 방배동 452-6 지하1층,POINT (126.9828664 37.4783316),4.4,pedestrian_1685694993,localroad_1685694993
restaurant_214,마이크로 브레이크 커피(micro break coffee),기타,서울특별시 서초구 양재동 355-13 대진빌딩 1층 101호,POINT (127.0431753 37.4675722),2.8,pedestrian_4184585509,localroad_4184585509
restaurant_247,오늘통닭 사당점 & 아우라,한식,서울특별시 서초구 방배동 452-6 1층,POINT (126.9828664 37.4783316),3.3,pedestrian_1685694993,localroad_1685694993
restaurant_265,아지트,한식,서울특별시 서초구 방배동 877-13 1층 104호,POINT (126.9950778 37.4884107),2.7,pedestrian_2623456313,localroad_2623456313
restaurant_306,화야,한식,서울특별시 서초구 양재동 267-4 성풍빌딩 2층,POINT (127.0434736 37.4760986),3.4,pedestrian_4309803037,localroad_4309803037
restaurant_321,더블린브루어리 교대점,경양식,서울특별시 서초구 서초동 1570-12 1층,POINT (127.0128878 37.4918227),5,pedestrian_2388037860,localroad_2388037860
restaurant_342,요커 강남점,기타,서울특별시 서초구 반포동 722-38 태영빌딩,POINT (127.0221013 37.5085057),2.9,pedestrian_4182209836,localroad_4182209836
restaurant_346,샤오바오우육면 강남신세계점,중국식,서울특별시 서초구 반포동 19-3 센트럴시티,POINT (127.0032242 37.5042121),4.3,pedestrian_9787414078,localroad_4738140914
restaurant_349,cream label,한식,서울특별시 서초구 반포동 118-3 파미에스테이션,POINT (127.0062828 37.5038414),4.1,pedestrian_9798531669,localroad_1132502938
restaurant_372,칼국수,한식,서울특별시 서초구 양재동 286-12 1층 101호,POINT (127.046654 37.4740519),3.2,pedestrian_3011650453,localroad_3011650453
restaurant_373,스쿱(scooop),경양식,서울특별시 서초구 서초동 1697-11 2층,POINT (127.0148339 37.4969028),3.2,pedestrian_3112174488,localroad_3112174488
restaurant_396,릴리레브,출장조리,서울특별시 서초구 방배동 984-3 프린스 효령빌딩,POINT (126.9989147 37.4813611),3.7,pedestrian_1696934714,localroad_1696934714
restaurant_404,포케올데이 방배역점,한식,서울특별시 서초구 방배동 910-9,POINT (126.9968911 37.4821819),4.5,pedestrian_4185835030,localroad_4185835030
restaurant_405,에스와이상사,한식,서울특별시 서초구 양재동 363,POINT (127.0462938 37.4685886),4.3,pedestrian_927737701,localroad_927737701
restaurant_431,이정인더스트리(kitchen 3),한식,서울특별시 서초구 서초동 1601-10 서초 어반하이 오피스텔,POINT (127.0148471 37.4855677),2.7,pedestrian_3827258462,localroad_3827257146
restaurant_432,이정인더스트리(kitchen 4),한식,서울특별시 서초구 서초동 1601-10 서초 어반하이 오피스텔,POINT (127.0148471 37.4855677),3.2,pedestrian_3827258462,localroad_3827257146
restaurant_438,사당역 이자카야 야키니쿠 불티,한식,서울특별시 서초구 방배동 448-8,POINT (126.9853152 37.4770011),5,pedestrian_2110341094,localroad_2110341094
restaurant_469,곰곰이 보드게임,기타,서울특별시 서초구 방배동 456-46 이수학원,POINT (126.9836794 37.4817446),4.5,pedestrian_4101372789,localroad_4101372789
restaurant_470,소망의빛,기타,서울특별시 서초구 우면동 791 서초 참병원빌딩,POINT (127.0253588 37.4597676),3.8,pedestrian_3634016488,localroad_3634016488
restaurant_536,버팔로스팟(Buffalo Spot),"외국음식전문점(인도,태국등)",서울특별시 서초구 방배동 941-11 남포빌딩,POINT (126.9905861 37.4852368),4.5,pedestrian_4185879886,localroad_4185879886
restaurant_600,털보네 생고기,한식,서울특별시 서초구 서초동 1698-13 1층(임대 면적 201.32),POINT (127.0142957 37.4956909),4.3,pedestrian_3112862148,localroad_3112862148
restaurant_632,풍년 닭도리탕 강남신사점,한식,서울특별시 서초구 잠원동 35-9 경원빌딩 1층,POINT (127.0180547 37.5126259),4.6,pedestrian_8489505876,localroad_8489505876
restaurant_668,자매식당,한식,서울특별시 서초구 서초동 1603-69 부속상가 지하 3호,POINT (127.0178544 37.4856018),3.2,pedestrian_2932859104,localroad_2932859104
restaurant_729,더뭉티기 교대점,한식,서울특별시 서초구 서초동 1669-1 흰돌빌딩 1층 105호,POINT (127.0161823 37.4932558),3.4,pedestrian_2295372307,localroad_2295372307
restaurant_730,샐러디 방배카페골목점,기타,서울특별시 서초구 방배동 754-1 롯데캐슬헤론,POINT (126.9847511 37.4969635),3,pedestrian_2533109220,localroad_2533109220
restaurant_731,힐링푸드,기타,서울특별시 서초구 서초동 1487-32 힐링캠퍼스 더공감 빌딩,POINT (127.0063598 37.4818114),2.8,pedestrian_4185715626,localroad_4185715626
restaurant_732,리프(Reap),기타,서울특별시 서초구 서초동 1706-9 태지빌딩,POINT (127.0096054 37.4937595),2.7,pedestrian_3153829061,localroad_3153829061
restaurant_740,오래 오래(Ore Ore),호프/통닭,서울특별시 서초구 양재동 350-5 타임빌딩 1층,POINT (127.0425218 37.4674047),4.9,pedestrian_4184585496,localroad_4184585496
restaurant_780,예술상회 남부점 냉동삼겹살,한식,서울특별시 서초구 서초동 1457-4 1층,POINT (127.0142772 37.4841934),4.9,pedestrian_3827257117,localroad_3827257117
restaurant_800,라뻬(L'art fait),기타,서울특별시 서초구 우면동 755 서초 디벨리움 오피스텔 1층 102호,POINT (127.0153596 37.4568464),4,pedestrian_3634017623,localroad_3634017638
