uuid,type,name,level,address,geometry,ranking,homepage,pedestrian_entrance_uuid,vehicle_entrance_uuid
school_469,공립,서울교대부속초등학교,초등학교,서울 서초구 서초중앙로 96,POINT (123.7417741 32.5220203),0.04,https://snueps.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_470,일반계 공립,서일초등학교,초등학교,서울특별시 서초구 남부순환로339길 38,POINT (123.7417741 32.5220203),0.25,https://seoulseoil.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_471,일반계 공립,서울서이초등학교,초등학교,서울특별시 서초구 서운로 35,POINT (127.0257977 37.4912721),0.13,http://www.seo2.es.kr,pedestrian_9980031795,localroad_3825549657
school_472,일반계 공립,서울신중초등학교,초등학교,서울특별시 서초구 남부순환로317길 15,POINT (127.0097656 37.4799117),0.1,http://sinjung.es.kr/,pedestrian_8489025180,localroad_8489025180
school_473,일반계 공립,서초초등학교,초등학교,서울특별시 서초구 서운로 178,POINT (123.7417741 32.5220203),0.03,https://seocho.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_474,일반계 공립,원명초등학교,초등학교,서울특별시 서초구 고무래로 90-6,POINT (123.7417741 32.5220203),0.01,https://wonmyong.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_475,일반계 공립,신동초등학교,초등학교,서울특별시 서초구 나루터로 15,POINT (123.7417741 32.5220203),0,https://sindong.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_476,일반계 공립,반포초등학교,초등학교,서울특별시 서초구 신반포로 55-4,POINT (123.7417741 32.5220203),0.02,https://seoulbanpo.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_477,일반계 공립,원촌초등학교,초등학교,서울특별시 서초구 사평대로45길 26,POINT (123.7417741 32.5220203),0.01,https://wonchon.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_478,일반계 공립,서원초등학교,초등학교,서울특별시 서초구 고무래로 63,POINT (123.7417741 32.5220203),0.01,https://seo-won.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
school_480,일반계 공립,잠원초등학교,초등학교,서울특별시 서초구 신반포로16길 15-25,POINT (123.7417741 32.5220203),0.01,https://jamwon.sen.es.kr/,pedestrian_11521951016,localroad_4644299351
