uuid,name,address,rating,type,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
theater_8,메가박스 씨티(강남대로)1관,서울특별시 강남구 강남대로 422 (역삼동),3.4,영화관,POINT (127.0269798 37.5003915),pedestrian_3112723452,localroad_2280678683
theater_31,메가박스중앙(주) 강남 1관,"서울특별시 서초구 서초대로77길 3, 아라타워 9층 (서초동)",4.5,영화관,POINT (127.0265011 37.4980628),pedestrian_9632500766,localroad_8489896381
theater_46,메가박스중앙(주) 센트럴 더부티크 102호,"서울특별시 서초구 신반포로 176, 센트럴시티 지하1층 (반포동)",3.5,영화관,POINT (127.0032242 37.5042121),pedestrian_9787414078,localroad_4738140914
theater_58,메가박스중앙(주) 강남 6관,"서울특별시 서초구 서초대로77길 3, 아라타워 11층 (서초동)",4.5,영화관,POINT (127.0265011 37.4980628),pedestrian_9632500766,localroad_8489896381
theater_59,메가박스중앙(주) 강남 4관,"서울특별시 서초구 서초대로77길 3, 아라타워 10층 (서초동)",4.7,영화관,POINT (127.0265011 37.4980628),pedestrian_9632500766,localroad_8489896381
theater_131,CGV Salon 서초,"서울특별시 서초구 효령로 391, B2층 (서초동, 서초그랑자이)",4.1,영화관,POINT (127.025952 37.4889667),pedestrian_9990176012,localroad_3827170317
theater_134,클래식시네마스페이스(주),서울특별시 강남구 도산대로 108  (논현동),3.9,영화관,POINT (127.020655 37.5161886),pedestrian_7168332244,localroad_7168332244
theater_135,CGV 강남제3관,"서울특별시 강남구 강남대로 438 (역삼동,스타플렉스 8층)",4.4,영화관,POINT (127.0263416 37.5016387),pedestrian_4867295782,localroad_1430655018
theater_136,CGV 강남제4관,"서울특별시 강남구 강남대로 438 (역삼동,스타플랙스 10층)",3.6,영화관,POINT (127.0263416 37.5016387),pedestrian_4867295782,localroad_1430655018
theater_138,CGV 강남제6관,"서울특별시 강남구 강남대로 438 (역삼동,스타플렉스 10층)",3.9,영화관,POINT (127.0263416 37.5016387),pedestrian_4867295782,localroad_1430655018
theater_148,씨티극장 4관,"서울특별시 강남구 강남대로 422, 지하 3층 (역삼동)",3.1,영화관,POINT (127.0269798 37.5003915),pedestrian_3112723452,localroad_2280678683
theater_149,CGV 강남제1관,"서울특별시 강남구 강남대로 438 (역삼동, 스타플렉스)",2.9,영화관,POINT (127.0263416 37.5016387),pedestrian_4867295782,localroad_1430655018
theater_150,주공공이 1관,서울특별시 강남구 강남대로 438  (역삼동),3.9,영화관,POINT (127.0263416 37.5016387),pedestrian_4867295782,localroad_1430655018
