src,tar
apartment_1165010101,apartmenttype_0
apartment_1165010101,apartmenttype_1
apartment_1165010101,apartmenttype_2
apartment_1165010101,apartmenttype_3
apartment_1165010102,apartmenttype_4
apartment_1165010102,apartmenttype_5
apartment_1165010102,apartmenttype_6
apartment_1165010102,apartmenttype_7
apartment_1165010102,apartmenttype_8
apartment_1165010102,apartmenttype_9
apartment_1165010102,apartmenttype_10
apartment_1165010102,apartmenttype_11
apartment_1165010102,apartmenttype_12
apartment_1165010102,apartmenttype_13
apartment_1165010102,apartmenttype_14
apartment_1165010102,apartmenttype_15
apartment_1165010103,apartmenttype_16
apartment_1165010103,apartmenttype_17
apartment_1165010103,apartmenttype_18
apartment_1165010103,apartmenttype_19
apartment_1165010103,apartmenttype_20
apartment_1165010103,apartmenttype_21
apartment_1165010103,apartmenttype_22
apartment_1165010103,apartmenttype_23
apartment_1165010104,apartmenttype_24
apartment_1165010104,apartmenttype_25
apartment_1165010105,apartmenttype_26
apartment_1165010105,apartmenttype_27
apartment_1165010105,apartmenttype_28
apartment_1165010105,apartmenttype_29
apartment_1165010105,apartmenttype_30
apartment_1165010105,apartmenttype_31
apartment_1165010107,apartmenttype_32
apartment_1165010107,apartmenttype_33
apartment_1165010107,apartmenttype_34
apartment_1165010107,apartmenttype_35
apartment_1165010107,apartmenttype_36
apartment_1165010108,apartmenttype_37
apartment_1165010109,apartmenttype_38
apartment_1165010109,apartmenttype_39
apartment_1165010109,apartmenttype_40
apartment_1165010109,apartmenttype_41
apartment_1165010109,apartmenttype_42
apartment_1165010110,apartmenttype_43
apartment_1165010110,apartmenttype_44
apartment_1165010110,apartmenttype_45
apartment_1165010110,apartmenttype_46
apartment_1165010111,apartmenttype_47
apartment_1165010111,apartmenttype_48
apartment_1165010111,apartmenttype_49
apartment_1165010111,apartmenttype_50
apartment_1165010111,apartmenttype_51
apartment_1165010112,apartmenttype_52
apartment_1165010112,apartmenttype_53
apartment_1165010112,apartmenttype_54
apartment_1165010112,apartmenttype_55
apartment_1165010113,apartmenttype_56
apartment_1165010113,apartmenttype_57
apartment_1165010113,apartmenttype_58
apartment_1165010114,apartmenttype_59
apartment_1165010114,apartmenttype_60
apartment_1165010115,apartmenttype_61
apartment_1165010115,apartmenttype_62
apartment_1165010115,apartmenttype_63
apartment_1165010115,apartmenttype_64
apartment_1165010116,apartmenttype_65
apartment_1165010116,apartmenttype_66
apartment_1165010116,apartmenttype_67
apartment_1165010116,apartmenttype_68
apartment_1165010116,apartmenttype_69
