coord,name,lon,geometry,uuid,lat
POINT(126.9937168 37.4836506),강정자피아노,126.9937168,POINT(126.9937168 37.4836506),academy_181,37.4836506
POINT(127.0143407 37.5197943),한국속성한문교습소,127.0143407,POINT(127.0143407 37.5197943),academy_182,37.5197943
POINT(127.0034252 37.506106),아이캔스피치&리더십센터교습소,127.0034252,POINT(127.0034252 37.506106),academy_183,37.506106
POINT(127.0322158 37.4749978),덕암한문교습소,127.0322158,POINT(127.0322158 37.4749978),academy_184,37.4749978
POINT(127.0065231 37.4780193),방배발레아카데미무용교습소,127.0065231,POINT(127.0065231 37.4780193),academy_185,37.4780193
POINT(126.9856989 37.4787254),피아노친구피아노교습소,126.9856989,POINT(126.9856989 37.4787254),academy_186,37.4787254
POINT(126.9861984 37.4869473),두란노서예교습소,126.9861984,POINT(126.9861984 37.4869473),academy_187,37.4869473
POINT(126.9961583 37.4862484),명진피아노,126.9961583,POINT(126.9961583 37.4862484),academy_188,37.4862484
POINT(127.0194018 37.4961119),강남알프레드피아노교습소,127.0194018,POINT(127.0194018 37.4961119),academy_189,37.4961119
POINT(123.7417741 32.5220203),방배피아노,123.7417741,POINT(123.7417741 32.5220203),academy_190,32.5220203
POINT(126.9838009 37.478619),클라비어피아노교습소,126.9838009,POINT(126.9838009 37.478619),academy_191,37.478619
POINT(127.0259319 37.4922553),연세영어교습소,127.0259319,POINT(127.0259319 37.4922553),academy_192,37.4922553
POINT(126.9869203 37.5021451),비하우스바이올린교습,126.9869203,POINT(126.9869203 37.5021451),academy_193,37.5021451
POINT(126.9869203 37.5021451),비하우스첼로교습소,126.9869203,POINT(126.9869203 37.5021451),academy_194,37.5021451
POINT(127.0445078 37.4694662),새세잔미술교습소,127.0445078,POINT(127.0445078 37.4694662),academy_195,37.4694662
POINT(127.0154635 37.5178575),설악피아노교습소,127.0154635,POINT(127.0154635 37.5178575),academy_196,37.5178575
POINT(126.9831773 37.4895974),아마빌레플러스음악교습소,126.9831773,POINT(126.9831773 37.4895974),academy_197,37.4895974
POINT(127.0417021 37.4793641),신나는이화미술교습소,127.0417021,POINT(127.0417021 37.4793641),academy_198,37.4793641
POINT(126.9863721 37.4832905),신영피아노교습소,126.9863721,POINT(126.9863721 37.4832905),academy_199,37.4832905
POINT(127.0227407 37.5019783),피아노쥬이르음악교습소,127.0227407,POINT(127.0227407 37.5019783),academy_200,37.5019783
POINT(127.0440268 37.473499),바로크음악교습소,127.0440268,POINT(127.0440268 37.473499),academy_201,37.473499
POINT(126.9854482 37.492248),하이러브음악교습소,126.9854482,POINT(126.9854482 37.492248),academy_202,37.492248
POINT(127.0100772 37.5162716),피아노스토리음악교습소,127.0100772,POINT(127.0100772 37.5162716),academy_203,37.5162716
POINT(127.0091328 37.4807444),우수피아노교습소,127.0091328,POINT(127.0091328 37.4807444),academy_204,37.4807444
POINT(127.0247163 37.4709444),우암바이올린교습소,127.0247163,POINT(127.0247163 37.4709444),academy_205,37.4709444
POINT(126.9851723 37.4792074),조이풀음악교습소,126.9851723,POINT(126.9851723 37.4792074),academy_206,37.4792074
POINT(127.0174633 37.4999252),이화음악교습소,127.0174633,POINT(127.0174633 37.4999252),academy_208,37.4999252
POINT(127.0007679 37.4992716),비바체피아노교습소,127.0007679,POINT(127.0007679 37.4992716),academy_209,37.4992716
POINT(127.0000133 37.5049688),전민숙피아노,127.0000133,POINT(127.0000133 37.5049688),academy_210,37.5049688
POINT(127.0250988 37.4710827),창봉서예교습소,127.0250988,POINT(127.0250988 37.4710827),academy_211,37.4710827
POINT(127.0090872 37.483339),글고운서예교습소,127.0090872,POINT(127.0090872 37.483339),academy_212,37.483339
POINT(127.0143407 37.5197943),파가니니바이올린교습소,127.0143407,POINT(127.0143407 37.5197943),academy_213,37.5197943
POINT(127.0249371 37.4904901),푸른미술과외교습소,127.0249371,POINT(127.0249371 37.4904901),academy_214,37.4904901
POINT(127.0263178 37.4869243),하늘피아노교습소,127.0263178,POINT(127.0263178 37.4869243),academy_215,37.4869243
POINT(127.0175436 37.5162349),한겨례서예,127.0175436,POINT(127.0175436 37.5162349),academy_216,37.5162349
POINT(127.012073 37.5021689),국악누리교습소,127.012073,POINT(127.012073 37.5021689),academy_217,37.5021689
POINT(126.9880473 37.4957393),향촌서예교습소,126.9880473,POINT(126.9880473 37.4957393),academy_218,37.4957393
POINT(126.992457 37.4823244),뮤직앤스토리음악교습소,126.992457,POINT(126.992457 37.4823244),academy_219,37.4823244
POINT(126.9915887 37.4930845),반디과학전문학원,126.9915887,POINT(126.9915887 37.4930845),academy_220,37.4930845
POINT(127.0277116 37.4910536),도레미아카데미음악교습소,127.0277116,POINT(127.0277116 37.4910536),academy_221,37.4910536
POINT(127.0277116 37.4910536),도레미음악교습소,127.0277116,POINT(127.0277116 37.4910536),academy_222,37.4910536
POINT(126.9871492 37.5011109),멘토2관학원,126.9871492,POINT(126.9871492 37.5011109),academy_223,37.5011109
POINT(127.024742 37.4985349),해커스어학원강남제1별관학원,127.024742,POINT(127.024742 37.4985349),academy_224,37.4985349
POINT(126.987608 37.4780119),방배지앤비영어전문학원,126.987608,POINT(126.987608 37.4780119),academy_225,37.4780119
POINT(127.0102102 37.5002071),엘리트서초어학원,127.0102102,POINT(127.0102102 37.5002071),academy_226,37.5002071
POINT(126.9869203 37.5021451),세명학원,126.9869203,POINT(126.9869203 37.5021451),academy_227,37.5021451
POINT(127.0137011 37.5004886),그림마을미술교습소,127.0137011,POINT(127.0137011 37.5004886),academy_228,37.5004886
POINT(126.9948913 37.4913556),방배에이프릴어학원,126.9948913,POINT(126.9948913 37.4913556),academy_229,37.4913556
POINT(126.9948913 37.4913556),(주)방배청담어학원,126.9948913,POINT(126.9948913 37.4913556),academy_230,37.4913556
POINT(126.9877635 37.496656),서래나무스즈키음악교습소,126.9877635,POINT(126.9877635 37.496656),academy_231,37.496656
POINT(126.9995807 37.4780508),웰라잉글리쉬영어교습소,126.9995807,POINT(126.9995807 37.4780508),academy_232,37.4780508
POINT(127.0139482 37.5066358),반포친우음악교습소,127.0139482,POINT(127.0139482 37.5066358),academy_233,37.5066358
POINT(127.0307723 37.4869699),근육학아카데미학원,127.0307723,POINT(127.0307723 37.4869699),academy_234,37.4869699
POINT(126.9982734 37.4811214),이지스아카데미학원,126.9982734,POINT(126.9982734 37.4811214),academy_235,37.4811214
POINT(127.0000133 37.5049688),한자365한문교습소,127.0000133,POINT(127.0000133 37.5049688),academy_236,37.5049688
POINT(127.0034252 37.506106),양재우사회교습소,127.0034252,POINT(127.0034252 37.506106),academy_237,37.506106
POINT(127.0116421 37.4876674),호스코아카데미학원,127.0116421,POINT(127.0116421 37.4876674),academy_238,37.4876674
POINT(127.0265924 37.4718519),신애음악학원,127.0265924,POINT(127.0265924 37.4718519),academy_239,37.4718519
POINT(126.9870974 37.4865225),예음피아노교습소,126.9870974,POINT(126.9870974 37.4865225),academy_240,37.4865225
POINT(127.0055318 37.5067454),와룡국어교습소,127.0055318,POINT(127.0055318 37.5067454),academy_241,37.5067454
POINT(127.0171001 37.5155464),본스타트레이닝센터학원,127.0171001,POINT(127.0171001 37.5155464),academy_242,37.5155464
POINT(126.991494 37.4917141),하이츠방배캠퍼스학원,126.991494,POINT(126.991494 37.4917141),academy_243,37.4917141
POINT(127.0243361 37.5010544),해커스어학원강남제6별관학원,127.0243361,POINT(127.0243361 37.5010544),academy_244,37.5010544
POINT(126.9972242 37.4826442),심앤김국수시대학원,126.9972242,POINT(126.9972242 37.4826442),academy_245,37.4826442
POINT(127.0259319 37.4922553),청어람국어교습소,127.0259319,POINT(127.0259319 37.4922553),academy_246,37.4922553
POINT(126.9828163 37.4870263),베블렌수학학원,126.9828163,POINT(126.9828163 37.4870263),academy_247,37.4870263
POINT(127.0126509 37.4840446),한국공급관리교육학원,127.0126509,POINT(127.0126509 37.4840446),academy_248,37.4840446
POINT(127.0259319 37.4922553),동암한문교습소,127.0259319,POINT(127.0259319 37.4922553),academy_249,37.4922553
POINT(126.9928708 37.4877162),시그마2수학학원,126.9928708,POINT(126.9928708 37.4877162),academy_250,37.4877162
POINT(127.0248042 37.4911468),지니클리닉영어교습소,127.0248042,POINT(127.0248042 37.4911468),academy_252,37.4911468
POINT(127.0113091 37.5000631),비아이에스어학원,127.0113091,POINT(127.0113091 37.5000631),academy_253,37.5000631
POINT(127.0035592 37.5087922),잠원예랑미술학원,127.0035592,POINT(127.0035592 37.5087922),academy_254,37.5087922
POINT(127.0075413 37.4831008),시매쓰학원,127.0075413,POINT(127.0075413 37.4831008),academy_255,37.4831008
POINT(126.9901309 37.5039297),반포연세피아노교습소,126.9901309,POINT(126.9901309 37.5039297),academy_256,37.5039297
POINT(126.9888745 37.4947733),역사사고력논술교습소,126.9888745,POINT(126.9888745 37.4947733),academy_257,37.4947733
POINT(127.0101914 37.5033426),서초소마학원,127.0101914,POINT(127.0101914 37.5033426),academy_258,37.5033426
POINT(127.0072892 37.5072738),이룸수학교습소,127.0072892,POINT(127.0072892 37.5072738),academy_259,37.5072738
POINT(127.044458 37.4733764),클라라슈만음악학원,127.044458,POINT(127.044458 37.4733764),academy_260,37.4733764
POINT(127.0109178 37.4997174),가인학원,127.0109178,POINT(127.0109178 37.4997174),academy_261,37.4997174
POINT(127.0186909 37.4942678),씨지앤아이(CGNI)게임그래픽학원,127.0186909,POINT(127.0186909 37.4942678),academy_263,37.4942678
POINT(126.9835007 37.4907625),비와이피(BYP)보습학원,126.9835007,POINT(126.9835007 37.4907625),academy_264,37.4907625
POINT(127.0121453 37.4898162),아름재즈피아노교습소,127.0121453,POINT(127.0121453 37.4898162),academy_265,37.4898162
POINT(127.0100401 37.5036657),플래뮤서초미술학원,127.0100401,POINT(127.0100401 37.5036657),academy_266,37.5036657
POINT(126.9911218 37.4975317),지브이씨에스랭귀지프렙어학원,126.9911218,POINT(126.9911218 37.4975317),academy_267,37.4975317
POINT(127.0253957 37.4708599),엠케이영어교습소,127.0253957,POINT(127.0253957 37.4708599),academy_268,37.4708599
POINT(127.0212667 37.4901263),게이트서초어학학원,127.0212667,POINT(127.0212667 37.4901263),academy_269,37.4901263
POINT(127.0285717 37.4866365),토브국어교습소,127.0285717,POINT(127.0285717 37.4866365),academy_270,37.4866365
POINT(126.9983523 37.4997737),김수희과학보습학원,126.9983523,POINT(126.9983523 37.4997737),academy_271,37.4997737
POINT(126.9832776 37.4963742),강신백국어보습학원,126.9832776,POINT(126.9832776 37.4963742),academy_272,37.4963742
POINT(127.0104441 37.5004794),프리셀영어학원,127.0104441,POINT(127.0104441 37.5004794),academy_273,37.5004794
POINT(127.0198315 37.4943854),아이파재경교육학원,127.0198315,POINT(127.0198315 37.4943854),academy_274,37.4943854
POINT(127.0097136 37.5035548),메이저수학학원,127.0097136,POINT(127.0097136 37.5035548),academy_275,37.5035548
POINT(127.0113091 37.5000631),피아이서초어학원,127.0113091,POINT(127.0113091 37.5000631),academy_276,37.5000631
POINT(127.0103877 37.5021819),탐구와은유학원,127.0103877,POINT(127.0103877 37.5021819),academy_278,37.5021819
POINT(127.024887 37.4917331),뜰아트미술교습소,127.024887,POINT(127.024887 37.4917331),academy_279,37.4917331
POINT(127.028693 37.4929899),이튼교육강남독학재수학원,127.028693,POINT(127.028693 37.4929899),academy_280,37.4929899
POINT(127.0021861 37.5057261),반포해냄학원,127.0021861,POINT(127.0021861 37.5057261),academy_281,37.5057261
POINT(126.9871929 37.4769361),앙상블음악교습소,126.9871929,POINT(126.9871929 37.4769361),academy_282,37.4769361
POINT(127.0448006 37.4695497),이루트학원,127.0448006,POINT(127.0448006 37.4695497),academy_283,37.4695497
POINT(127.0014445 37.5096033),클라라피아노스튜디오교습소,127.0014445,POINT(127.0014445 37.5096033),academy_284,37.5096033
POINT(127.012073 37.5021689),고트수학교습소,127.012073,POINT(127.012073 37.5021689),academy_285,37.5021689
POINT(126.9921857 37.4932608),킹스타운서초어학원,126.9921857,POINT(126.9921857 37.4932608),academy_286,37.4932608
POINT(127.0087853 37.5010511),사비나아트미술교습소,127.0087853,POINT(127.0087853 37.5010511),academy_287,37.5010511
POINT(127.0257595 37.4985613),해커스어학원강남제3별관학원,127.0257595,POINT(127.0257595 37.4985613),academy_288,37.4985613
POINT(127.0174633 37.4999252),아트피디어미술교습소,127.0174633,POINT(127.0174633 37.4999252),academy_289,37.4999252
POINT(126.9870974 37.4865225),방배해법영어교습소,126.9870974,POINT(126.9870974 37.4865225),academy_290,37.4865225
POINT(127.0102248 37.5008109),알앤디잉글리쉬(R&D English)학원,127.0102248,POINT(127.0102248 37.5008109),academy_291,37.5008109
POINT(126.997063 37.4828591),아세아실용음악학원,126.997063,POINT(126.997063 37.4828591),academy_292,37.4828591
POINT(127.0105381 37.5027778),노정현수학반포본원학원,127.0105381,POINT(127.0105381 37.5027778),academy_293,37.5027778
POINT(126.9963681 37.4840877),제이플로리스트학원,126.9963681,POINT(126.9963681 37.4840877),academy_294,37.4840877
POINT(127.0130338 37.518531),튜티음악교습소,127.0130338,POINT(127.0130338 37.518531),academy_295,37.518531
POINT(127.0034252 37.506106),와일본어교육원일본어교습소,127.0034252,POINT(127.0034252 37.506106),academy_296,37.506106
POINT(127.0035592 37.5087922),리드101잠원반원학원,127.0035592,POINT(127.0035592 37.5087922),academy_297,37.5087922
POINT(127.0190881 37.498479),허은주국어교습소,127.0190881,POINT(127.0190881 37.498479),academy_298,37.498479
POINT(126.9858162 37.4876108),엠플러스수학학원,126.9858162,POINT(126.9858162 37.4876108),academy_299,37.4876108
POINT(127.0116466 37.5010571),서초1관정상어학원,127.0116466,POINT(127.0116466 37.5010571),academy_300,37.5010571
POINT(127.0174633 37.4999252),서초심슨학원,127.0174633,POINT(127.0174633 37.4999252),academy_301,37.4999252
POINT(126.9823825 37.4831661),서순영국어논술학원,126.9823825,POINT(126.9823825 37.4831661),academy_302,37.4831661
POINT(127.0098927 37.5071155),블루북스리딩학원,127.0098927,POINT(127.0098927 37.5071155),academy_303,37.5071155
POINT(126.9882964 37.4932005),노리터(Noriter)잉글리시영어교습소,126.9882964,POINT(126.9882964 37.4932005),academy_304,37.4932005
POINT(126.996184 37.4851764),성음피아노교습소,126.996184,POINT(126.996184 37.4851764),academy_306,37.4851764
POINT(127.0098364 37.48312),열린생각서초수학교습소,127.0098364,POINT(127.0098364 37.48312),academy_307,37.48312
POINT(126.99166 37.4903009),세린(S.E.C)어학원,126.99166,POINT(126.99166 37.4903009),academy_308,37.4903009
POINT(126.9854783 37.479156),에이치씨엠에스학원,126.9854783,POINT(126.9854783 37.479156),academy_309,37.479156
POINT(126.9940788 37.4886996),아레네스(R&S)수학전문학원,126.9940788,POINT(126.9940788 37.4886996),academy_310,37.4886996
POINT(127.0072892 37.5072738),에프엑스(f(x))수학학원,127.0072892,POINT(127.0072892 37.5072738),academy_311,37.5072738
POINT(127.0259319 37.4922553),선바이올린교습소,127.0259319,POINT(127.0259319 37.4922553),academy_312,37.4922553
POINT(127.0235582 37.4713223),예랑미술학원,127.0235582,POINT(127.0235582 37.4713223),academy_313,37.4713223
POINT(126.9956206 37.4841804),대한논리방배학원,126.9956206,POINT(126.9956206 37.4841804),academy_314,37.4841804
POINT(126.9894806 37.4925979),멘토수학전문교습소,126.9894806,POINT(126.9894806 37.4925979),academy_315,37.4925979
POINT(126.9830606 37.4906957),지승학원,126.9830606,POINT(126.9830606 37.4906957),academy_316,37.4906957
POINT(127.0454002 37.4721856),에이플영어학원,127.0454002,POINT(127.0454002 37.4721856),academy_317,37.4721856
POINT(127.0087712 37.4875713),튼튼영어서초3동마스터클럽영어교습소,127.0087712,POINT(127.0087712 37.4875713),academy_318,37.4875713
POINT(126.9954312 37.4831246),솔기타교습소,126.9954312,POINT(126.9954312 37.4831246),academy_319,37.4831246
POINT(127.0102675 37.5010005),잉글리쉬부띠끄어학원,127.0102675,POINT(127.0102675 37.5010005),academy_320,37.5010005
POINT(127.0150671 37.4963732),문사탐학원,127.0150671,POINT(127.0150671 37.4963732),academy_321,37.4963732
POINT(127.0052559 37.4823517),이지솔루션학원,127.0052559,POINT(127.0052559 37.4823517),academy_322,37.4823517
POINT(127.0000656 37.4772981),선과색미술교습소,127.0000656,POINT(127.0000656 37.4772981),academy_323,37.4772981
POINT(126.9894204 37.4953816),아이엘음악학원,126.9894204,POINT(126.9894204 37.4953816),academy_324,37.4953816
POINT(127.0393573 37.4823546),예향피아노교습소,127.0393573,POINT(127.0393573 37.4823546),academy_325,37.4823546
POINT(126.9965901 37.4835579),수아체학원,126.9965901,POINT(126.9965901 37.4835579),academy_326,37.4835579
POINT(127.0083647 37.4832519),케이디(KD)영어전문학원,127.0083647,POINT(127.0083647 37.4832519),academy_327,37.4832519
POINT(127.0021861 37.5057261),펜타스과학전문학원,127.0021861,POINT(127.0021861 37.5057261),academy_328,37.5057261
POINT(126.9851703 37.4801896),뮤직스트리트음악교습소,126.9851703,POINT(126.9851703 37.4801896),academy_329,37.4801896
POINT(127.0104456 37.5003622),뮤니크피아노교습소,127.0104456,POINT(127.0104456 37.5003622),academy_330,37.5003622
POINT(127.009672 37.5032751),이이엘씨(eelc)킨더어학원,127.009672,POINT(127.009672 37.5032751),academy_331,37.5032751
POINT(127.0174633 37.4999252),피아노사랑음악교습소,127.0174633,POINT(127.0174633 37.4999252),academy_332,37.4999252
POINT(127.0174633 37.4999252),선생님따라잡기학원,127.0174633,POINT(127.0174633 37.4999252),academy_333,37.4999252
POINT(126.9869203 37.5021451),훈수학교습소,126.9869203,POINT(126.9869203 37.5021451),academy_334,37.5021451
POINT(126.9921868 37.5041184),제네시스수학학원,126.9921868,POINT(126.9921868 37.5041184),academy_335,37.5041184
POINT(127.0174633 37.4999252),서초연세피아노교습소,127.0174633,POINT(127.0174633 37.4999252),academy_336,37.4999252
POINT(127.020749 37.501196),서초삼호해법수학교습소,127.020749,POINT(127.020749 37.501196),academy_337,37.501196
POINT(127.0186302 37.5161808),티아이연기학원,127.0186302,POINT(127.0186302 37.5161808),academy_338,37.5161808
POINT(126.9978229 37.4818384),천년의미소미술학원,126.9978229,POINT(126.9978229 37.4818384),academy_339,37.4818384
POINT(127.0217403 37.5015015),튼튼영어마스터클럽이상수학학원,127.0217403,POINT(127.0217403 37.5015015),academy_340,37.5015015
POINT(127.0333061 37.4851435),비너세움아카데미학원,127.0333061,POINT(127.0333061 37.4851435),academy_341,37.4851435
POINT(127.0167676 37.51503),존앤섹션아카데미코리아학원,127.0167676,POINT(127.0167676 37.51503),academy_342,37.51503
