taxi_dropoff_ratio_morning_peak,heating_resource,max_area_use,min_floor,parking_lot_under,pop_ratio_60s_man,max_area_supply,uuid,addr_street,pop,coord,pop_density_10s,parking_per_house,heating,addr,completion,taxi_dropoff_ratio,sectors,constructor,min_area_supply,households,slope,community,apartment_status,name,floor_area_ratio,min_area_use,slope_ratio,geometry,average_income_year,max_floor,parking_lot
0.129,열병합,244.97,20층,1,0.095833333,301.38,apartment_1165010710,서울시 서초구 신반포로 270,480,POINT(127.013605 37.507538),0.133333333,1.78,지역난방,서울시 서초구 반포동 20-43,2009,0.4603,44동,GS건설(주),84.23,3410,1,1,아파트,반포자이아파트,1100.0,59.97,4.112,POINT (127.013605 37.507538),15188,29층,0
0.2857,열병합,234.97,3층,0,0.053731343,318.75,apartment_1165010711,서울시 서초구 신반포로15길 19,670,POINT(126.993312 37.506089),0.119402985,1.84,지역난방,서울시 서초구 반포동 2-12,2016,0.4286,15동,대림산업(주),78.68,1612,1,0,아파트,아크로리버파크아파트,500.0,59.95,6.042,POINT (126.993312 37.506089),19757,38층,0
0.2,열병합,222.76,23층,1,0.045787546,268.8,apartment_1165010709,서울시 서초구 반포대로 275,546,POINT(126.999724 37.503005),0.184981685,1.78,지역난방,서울시 서초구 반포동 18-1,2009,0.375,28동,삼성물산(주),86.57,2444,1,1,아파트,래미안퍼스티지아파트,900.0,59.89,3.611,POINT (126.999724 37.503005),15454,32층,0
0.3333,열병합,150.58,12층,0,0.063079777,164.72,apartment_1165010643,서울시 서초구 신반포로23길 41,539,POINT(127.001148 37.509497),0.161410019,2.09,지역난방,서울시 서초구 잠원동 73,1978,0.5,13동,한신공영(주),74.18,1572,1,0,재건축,신반포2차아파트,1100.0,68.91,1.336,POINT (127.001148 37.509497),23294,12층,1
0.3333,열병합,148.5,30층,1,0.048576214,192.97,apartment_1165010860,서울시 서초구 효령로 391,597,POINT(127.025992 37.489133),0.118927973,2.0,지역난방,서울시 서초구 서초동 1335,2021,0.4286,9동,지에스건설(주),83.85,1446,1,1,아파트,서초그랑자이아파트,800.0,59.98,4.3,POINT (127.025992 37.489133),10090,35층,0
0.5,열병합,155.0,12층,1,0.064748201,168.64,apartment_1165010638,서울시 서초구 잠원로 37-48,417,POINT(127.006283 37.508702),0.131894484,1.0,지역난방,서울시 서초구 잠원동 70,1979,0.5,12동,한신공영(주),103.57,1212,1,0,재건축,신반포4차아파트,800.0,96.48,1.219,POINT (127.006283 37.508702),11897,13층,1
0.5,열병합,138.72,30층,1,0.025229358,172.28,apartment_1165010714,서울시 서초구 고무래로 35,436,POINT(127.013485 37.503762),0.174311927,1.5,지역난방,서울시 서초구 반포동 30-26,2011,0.5,9동,"삼성물산(주),대림산업",84.73,1119,1,1,아파트,반포리체아파트,1100.0,59.99,2.292,POINT (127.013485 37.503762),16347,35층,0
0.1633,열병합,238.73,15층,1,0.054135338,299.89,apartment_1165010857,서울시 서초구 서운로 62,665,POINT(127.028121 37.490773),0.094736842,1.91,지역난방,서울시 서초구 서초동 1755,2020,0.3623,12동,삼성물산(주),84.03,1317,1,1,아파트,래미안리더스원아파트,1300.0,59.97,2.218,POINT (127.028121 37.490773),2439,35층,1
0.05,열병합,165.92,9층,0,0.069721116,192.9,apartment_1165010851,서울시 서초구 서초중앙로 200,502,POINT(127.016033 37.499179),0.12749004,1.58,지역난방,서울시 서초구 서초동 1685,1988,0.1923,24동,"현대,우성",107.48,2390,1,0,아파트,삼풍아파트,1200.0,79.47,5.481,POINT (127.016033 37.499179),3920,15층,1
0.2857,도시가스,196.8,5층,0,0.059961315,204.96,apartment_1165010703,서울시 서초구 신반포로 32,517,POINT(126.988428 37.500802),0.13926499,0.55,중앙난방,서울시 서초구 반포동 1124,1973,0.3,99동,대한주택공사,72.73,3590,1,1,재건축,반포주공1단지아파트,400.0,72.51,0.94,POINT (126.988428 37.500802),4892,6층,1
0.1,열병합,84.96,15층,1,0.060606061,110.46,apartment_1165010717,서울시 서초구 서초중앙로29길 28,396,POINT(127.008811 37.502254),0.176767677,1.07,지역난방,서울시 서초구 반포동 60-4,1987,0.3889,8동,한보그룹,110.46,1260,1,0,아파트,반포미도1차아파트,700.0,84.96,9.047,POINT (127.008811 37.502254),13619,15층,1
0.5,도시가스,84.98,12층,0,0.037735849,116.29,apartment_1165010312,서울시 서초구 양재대로2길 90,583,POINT(127.018151 37.45746),0.140651801,1.17,개별난방,서울시 서초구 우면동 773,2012,0.5,12동,(주)서희건설,81.96,1082,1,1,아파트,서초힐스아파트,200.0,59.89,3.708,POINT (127.018151 37.45746),13433,25층,0
0.2857,열병합,127.66,10층,0,0.038548753,167.09,apartment_1165010849,서울시 서초구 서초대로65길 13-10,441,POINT(127.019039 37.498528),0.213151927,1.61,개별난방,서울시 서초구 서초동 1682,2003,0.4286,13동,삼성물산,112.73,1129,1,0,아파트,서초래미안아파트,900.0,84.95,7.152,POINT (127.019039 37.498528),9900,27층,1
0.5,도시가스,114.71,2층,1,0.043478261,153.1,apartment_1165010901,서울시 서초구 헌릉로8길 58,690,POINT(127.063435 37.452674),0.097101449,1.39,개별난방,서울시 서초구 내곡동 411,2014,0.5,26동,(주)포스코건설,80.7,1264,0,0,아파트,서초더샵포레아파트,100.0,59.69,6.866,POINT (127.063435 37.452674),11823,20층,0
0.5,도시가스,84.87,11층,0,0.067880795,124.35,apartment_1165010902,서울시 서초구 헌릉로8길 45,604,POINT(127.06122 37.455377),0.069536424,1.1,개별난방,서울시 서초구 내곡동 384,2015,0.5,13동,"고려개발(주),동원건설산업(주)",87.56,1077,1,1,아파트,서초포레스타2단지아파트,100.0,59.09,2.931,POINT (127.06122 37.455377),15336,21층,1
0.3333,도시가스,114.79,12층,0,0.029339853,151.95,apartment_1165010307,서울시 서초구 태봉로2길 60,409,POINT(127.027902 37.464722),0.183374083,1.13,개별난방,서울시 서초구 우면동 717,2013,0.5,17동,진흥기업(주),112.06,1251,1,1,아파트,서초네이처힐3단지아파트,100.0,84.61,2.06,POINT (127.027902 37.464722),9064,19층,0
0.5,열병합,234.96,11층,0,0.0,315.31,apartment_1165010726,서울시 서초구 반포동 1-1번지 일원,20,POINT(126.998185 37.5068),0.25,1.82,지역난방,서울시 서초구 반포동 1-1번지 일원,2023,0.5,23동,삼성물산㈜,62.68,2990,1,1,아파트분양권,래미안원베일리아파트,1100.0,46.93,6.686,POINT (126.998185 37.5068),20090,35층,0
