area_use,area_supply,rooms,households,uuid,restrooms,space,management_fee_summer,area_supply_pyeong,floor_plan_url,management_fee_winter,management_fee_year,entrance,apartment_uuid
84.98,105.42,3,20,apartmenttype_0,2,105㎡,nan,31,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=1,nan,nan,계단식,apartment_1165010101
92.93,114.51,3,45,apartmenttype_1,2,114B㎡,nan,34,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=3,nan,nan,계단식,apartment_1165010101
114.16,150.07,4,10,apartmenttype_2,2,150㎡,nan,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=4,nan,nan,계단식,apartment_1165010101
148.99,189.26,5,19,apartmenttype_3,2,189㎡,nan,57,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=5,nan,nan,계단식,apartment_1165010101
105.27,126.48,4,1,apartmenttype_4,2,126A㎡,274674.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=1,252838.0,255415.0,계단식,apartment_1165010102
105.63,126.92,4,2,apartmenttype_5,2,126B㎡,275613.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=7,253702.0,256289.0,계단식,apartment_1165010102
105.7,126.99,4,2,apartmenttype_6,2,126C㎡,275796.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=8,253871.0,256458.0,계단식,apartment_1165010102
105.89,127.18,4,3,apartmenttype_7,2,127D㎡,276292.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=9,254327.0,256919.0,계단식,apartment_1165010102
114.09,136.65,4,88,apartmenttype_8,2,136A㎡,297688.0,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=2,274022.0,276815.0,계단식,apartment_1165010102
114.18,136.81,4,39,apartmenttype_9,2,136B㎡,297923.0,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=10,274238.0,277033.0,계단식,apartment_1165010102
127.31,152.09,4,100,apartmenttype_10,2,152B㎡,332182.0,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=11,305773.0,308890.0,계단식,apartment_1165010102
127.61,152.27,4,222,apartmenttype_11,2,152A㎡,332965.0,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=3,306494.0,309618.0,계단식,apartment_1165010102
136.67,159.95,4,1,apartmenttype_12,2,159㎡,356604.0,48,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=4,328254.0,331600.0,계단식,apartment_1165010102
141.83,164.69,4,1,apartmenttype_13,2,164㎡,370068.0,49,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=12,340647.0,344120.0,계단식,apartment_1165010102
163.31,190.0,5,44,apartmenttype_14,3,190㎡,426114.0,57,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=5,392238.0,396237.0,계단식,apartment_1165010102
174.5,201.28,5,85,apartmenttype_15,3,201㎡,455312.0,60,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=6,419114.0,423387.0,계단식,apartment_1165010102
44.61,58.25,1,38,apartmenttype_16,1,58㎡,147864.0,17,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=1,210705.0,170718.0,복도식,apartment_1165010103
51.84,65.86,1,38,apartmenttype_17,1,65㎡,171829.0,19,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=2,244855.0,198386.0,복도식,apartment_1165010103
65.85,86.42,2,40,apartmenttype_18,1,86㎡,218266.0,26,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=3,311028.0,252001.0,복도식,apartment_1165010103
67.47,88.55,2,40,apartmenttype_19,1,88㎡,223636.0,26,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=4,318680.0,258201.0,복도식,apartment_1165010103
79.8,104.73,3,40,apartmenttype_20,1,104C㎡,264505.0,31,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=8,376918.0,305386.0,복도식,apartment_1165010103
82.34,104.98,3,40,apartmenttype_21,1,104A㎡,272924.0,31,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=5,388915.0,315107.0,복도식,apartment_1165010103
84.0,107.1,3,40,apartmenttype_22,1,107B㎡,278426.0,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=7,396755.0,321459.0,복도식,apartment_1165010103
100.82,128.29,3,40,apartmenttype_23,2,128㎡,334178.0,38,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=6,476201.0,385828.0,복도식,apartment_1165010103
84.78,116.28,3,132,apartmenttype_24,1,116㎡,245041.0,35,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=472&ptpId=1,371450.0,295457.0,복도식,apartment_1165010104
136.38,160.67,4,286,apartmenttype_25,2,160㎡,394181.0,48,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=472&ptpId=2,597527.0,475282.0,계단식,apartment_1165010104
88.26,94.71,3,110,apartmenttype_26,1,94C㎡,188603.0,28,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=4,294627.0,234458.0,복도식,apartment_1165010105
88.76,95.14,3,10,apartmenttype_27,1,95E㎡,189672.0,28,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=6,296296.0,235786.0,계단식,apartment_1165010105
89.12,94.54,3,110,apartmenttype_28,1,94A㎡,190441.0,28,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=1,297498.0,236743.0,복도식,apartment_1165010105
89.62,94.88,3,10,apartmenttype_29,1,94B㎡,191510.0,28,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=3,299167.0,238071.0,복도식,apartment_1165010105
91.47,96.89,3,24,apartmenttype_30,1,96D㎡,195463.0,29,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=5,305343.0,242985.0,복도식,apartment_1165010105
151.54,163.47,4,144,apartmenttype_31,2,163㎡,323827.0,49,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=2,505866.0,402558.0,계단식,apartment_1165010105
59.98,80.16,3,47,apartmenttype_32,1,80㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=1,nan,nan,복도식,apartment_1165010107
84.87,106.34,3,26,apartmenttype_33,2,106A㎡,nan,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=3,nan,nan,복도식,apartment_1165010107
84.88,107.19,3,5,apartmenttype_34,2,107B㎡,nan,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=2,nan,nan,복도식,apartment_1165010107
