coord,name,geometry,uuid
POINT(126.9832924 37.49752572),갯마을앞정류장,POINT (126.9832924 37.49752572),busstation_0
POINT(126.9880015 37.46552892),남태령역정류장,POINT (126.9880015 37.46552892),busstation_1
POINT(127.0383424 37.47851383),교육개발원입구정류장,POINT (127.0383424 37.47851383),busstation_2
POINT(127.0386757 37.47776664),교육개발원입구정류장,POINT (127.0386757 37.47776664),busstation_3
POINT(127.0358473 37.48252188),양재역.서초문화예술회관정류장,POINT (127.0358473 37.48252188),busstation_4
POINT(127.0368255 37.48187093),양재역.서초문화예술회관정류장,POINT (127.0368255 37.48187093),busstation_5
POINT(127.0323669 37.48759241),뱅뱅사거리정류장,POINT (127.0323669 37.48759241),busstation_6
POINT(127.0303402 37.49182345),래미안아파트.파이낸셜뉴스정류장,POINT (127.0303402 37.49182345),busstation_7
POINT(127.0283494 37.49602648),신분당선강남역정류장,POINT (127.0283494 37.49602648),busstation_8
POINT(127.0257283 37.50160933),지하철2호선강남역정류장,POINT (127.0257283 37.50160933),busstation_9
POINT(127.0230119 37.50722032),논현역정류장,POINT (127.0230119 37.50722032),busstation_10
POINT(127.019844 37.514627),신사역.푸른저축은행정류장,POINT (127.019844 37.514627),busstation_11
POINT(127.0121019 37.50840125),반포역정류장,POINT (127.0121019 37.50840125),busstation_12
POINT(127.011038 37.50790804),반포역정류장,POINT (127.011038 37.50790804),busstation_13
POINT(127.0052627 37.50633499),고속터미널정류장,POINT (127.0052627 37.50633499),busstation_14
POINT(127.0038415 37.50563712),고속터미널정류장,POINT (127.0038415 37.50563712),busstation_15
POINT(126.9958083 37.50345516),신반포역.세화여중고정류장,POINT (126.9958083 37.50345516),busstation_16
POINT(126.9888862 37.50167531),신반포역.세화여중고정류장,POINT (126.9888862 37.50167531),busstation_17
POINT(126.989993 37.50204341),구반포역.세화고등학교정류장,POINT (126.989993 37.50204341),busstation_18
POINT(126.986551 37.501138),구반포역.세화고등학교정류장,POINT (126.986551 37.501138),busstation_19
POINT(127.0091112 37.47879811),아리랑TV.국립국악원정류장,POINT (127.0091112 37.47879811),busstation_20
POINT(126.9881707 37.46571328),남태령역정류장,POINT (126.9881707 37.46571328),busstation_21
POINT(126.9820604 37.48233219),이수역정류장,POINT (126.9820604 37.48233219),busstation_22
POINT(126.981733 37.475853),사당역정류장,POINT (126.981733 37.475853),busstation_23
POINT(126.9823337 37.48753276),총신대입구역.남성시장입구앞정류장,POINT (126.9823337 37.48753276),busstation_24
POINT(126.9827296 37.49043764),경문고등학교정류장,POINT (126.9827296 37.49043764),busstation_25
POINT(126.982818 37.49325215),정금마을정류장,POINT (126.982818 37.49325215),busstation_26
POINT(127.0582054 37.45129334),서초포레스타5단지정문정류장,POINT (127.0582054 37.45129334),busstation_27
POINT(127.0414866 37.4585014),서초종합체육관정류장,POINT (127.0414866 37.4585014),busstation_28
POINT(127.0426836 37.4541411),서울추모공원정류장,POINT (127.0426836 37.4541411),busstation_29
POINT(127.0367509 37.46003483),양재동화물터미널정류장,POINT (127.0367509 37.46003483),busstation_30
POINT(127.0374907 37.45988617),양재동화물터미널정류장,POINT (127.0374907 37.45988617),busstation_31
POINT(127.042802 37.45422525),서울추모공원정류장,POINT (127.042802 37.45422525),busstation_32
POINT(127.0436919 37.46614898),한국소비자원정류장,POINT (127.0436919 37.46614898),busstation_33
POINT(127.0140972 37.49177273),지하철3호선교대역정류장,POINT (127.0140972 37.49177273),busstation_34
POINT(127.0149074 37.48727363),서울교대사거리정류장,POINT (127.0149074 37.48727363),busstation_35
POINT(127.0151723 37.49402634),지하철2호선교대역2정류장,POINT (127.0151723 37.49402634),busstation_36
POINT(127.020226 37.49557573),서초동유원아파트정류장,POINT (127.020226 37.49557573),busstation_37
POINT(127.0213663 37.49051406),창신교회앞.서리풀노리학교정류장,POINT (127.0213663 37.49051406),busstation_38
POINT(127.0211892 37.4902399),창신교회.서리풀노리학교정류장,POINT (127.0211892 37.4902399),busstation_39
POINT(127.016244 37.48886274),서울교대정문앞정류장,POINT (127.016244 37.48886274),busstation_40
POINT(127.014658 37.488286),서울교대정문앞정류장,POINT (127.014658 37.488286),busstation_41
POINT(127.0173128 37.483277),남부터미널정류장,POINT (127.0173128 37.483277),busstation_42
POINT(127.0224066 37.48299285),서울시인재개발원입구정류장,POINT (127.0224066 37.48299285),busstation_43
POINT(127.02159 37.48271309),서울시인재개발원.한우리문화센터정류장,POINT (127.02159 37.48271309),busstation_44
POINT(127.0213559 37.48642334),서일초등학교정류장,POINT (127.0213559 37.48642334),busstation_45
POINT(127.0210584 37.48619534),서일초등학교정류장,POINT (127.0210584 37.48619534),busstation_46
POINT(127.0239661 37.49673319),롯데칠성정류장,POINT (127.0239661 37.49673319),busstation_47
POINT(127.025145 37.49505458),롯데칠성정류장,POINT (127.025145 37.49505458),busstation_48
POINT(127.063013 37.45545073),서초포레스타2단지 앞정류장,POINT (127.063013 37.45545073),busstation_49
POINT(127.0260354 37.49318659),래미안에스티지에스정류장,POINT (127.0260354 37.49318659),busstation_50
POINT(127.0260102 37.49301633),래미안에스티지정류장,POINT (127.0260102 37.49301633),busstation_51
POINT(127.0285876 37.49263309),서초청소년도서관정류장,POINT (127.0285876 37.49263309),busstation_52
POINT(127.0289422 37.49264329),서초청소년도서관정류장,POINT (127.0289422 37.49264329),busstation_53
POINT(127.0255496 37.49167319),서초동신동아아파트정류장,POINT (127.0255496 37.49167319),busstation_54
POINT(127.0256283 37.49160979),서초2동주민센터서이초등학교정류장,POINT (127.0256283 37.49160979),busstation_55
POINT(127.0274259 37.49017927),래미안리더스원아파트정류장,POINT (127.0274259 37.49017927),busstation_56
POINT(127.0390224 37.45825928),추모공원입구정류장,POINT (127.0390224 37.45825928),busstation_57
POINT(127.0293732 37.48892626),뱅뱅사거리정류장,POINT (127.0293732 37.48892626),busstation_58
POINT(127.0298426 37.48892239),뱅뱅사거리정류장,POINT (127.0298426 37.48892239),busstation_59
POINT(127.0266067 37.48807529),서초동무지개아파트정류장,POINT (127.0266067 37.48807529),busstation_60
POINT(127.025996 37.48774409),서초동무지개아파트정류장,POINT (127.025996 37.48774409),busstation_61
POINT(127.0309471 37.48420925),서초구청정류장,POINT (127.0309471 37.48420925),busstation_62
POINT(127.0308742 37.48402746),서초구청정류장,POINT (127.0308742 37.48402746),busstation_63
POINT(127.0296161 37.49338614),수협서초지점정류장,POINT (127.0296161 37.49338614),busstation_64
POINT(127.0321452 37.48806521),서초문화예술정보학교정류장,POINT (127.0321452 37.48806521),busstation_65
POINT(127.0129906 37.49647906),법조단지정류장,POINT (127.0129906 37.49647906),busstation_66
