coord,name,geometry,uuid
POINT(127.0075886 37.48522506),명은해어린이집,POINT (127.0075886 37.48522506),daycare_0
POINT(127.0076433 37.49067852),서초구립서리풀어린이집,POINT (127.0076433 37.49067852),daycare_1
POINT(127.0089442 37.49412713),바름이어린이집,POINT (127.0089442 37.49412713),daycare_2
POINT(127.0624758 37.45324434),아기궁전어린이집,POINT (127.0624758 37.45324434),daycare_3
POINT(127.0626866 37.45393016),서초더샵포레어린이집,POINT (127.0626866 37.45393016),daycare_4
POINT(127.0591738 37.45526014),서초구립포레스타3단지어린이집,POINT (127.0591738 37.45526014),daycare_5
POINT(127.0621678 37.44401319),서초구립포레스타7단지어린이집,POINT (127.0621678 37.44401319),daycare_6
POINT(127.0396384 37.47329407),서초한별어린이집,POINT (127.0396384 37.47329407),daycare_7
POINT(127.0396473 37.47921606),텀블랜드어린이집,POINT (127.0396473 37.47921606),daycare_8
POINT(127.0406212 37.48455591),온무리어린이집,POINT (127.0406212 37.48455591),daycare_9
POINT(127.0284303 37.48418339),서초장미어린이집,POINT (127.0284303 37.48418339),daycare_10
POINT(127.0271257 37.4865758),자연의아이들어린이집,POINT (127.0271257 37.4865758),daycare_11
POINT(127.0313912 37.48640351),서초구청어린이집,POINT (127.0313912 37.48640351),daycare_12
POINT(127.0245798 37.47243223),햇살담는어린이집,POINT (127.0245798 37.47243223),daycare_13
POINT(127.0267229 37.47333318),함께크는어린이집,POINT (127.0267229 37.47333318),daycare_14
POINT(127.0237949 37.4874097),푸르니서초어린이집,POINT (127.0237949 37.4874097),daycare_15
POINT(127.0222237 37.48900777),서초아이자람어린이집,POINT (127.0222237 37.48900777),daycare_16
POINT(127.0211995 37.48821043),푸르니작은어린이집,POINT (127.0211995 37.48821043),daycare_17
POINT(127.0206325 37.46717936),성촌어린이집,POINT (127.0206325 37.46717936),daycare_18
POINT(127.0183524 37.48766705),락앤락샛별어린이집,POINT (127.0183524 37.48766705),daycare_19
POINT(127.0169677 37.49190681),서초연꽃어린이집,POINT (127.0169677 37.49190681),daycare_20
POINT(127.0208536 37.4803762),서울시인재개발원쑥쑥어린이집,POINT (127.0208536 37.4803762),daycare_21
POINT(127.0184581 37.5099671),반포1동어린이집,POINT (127.0184581 37.5099671),daycare_22
POINT(127.0165669 37.51371803),잠원꿈밭어린이집,POINT (127.0165669 37.51371803),daycare_23
POINT(127.0126357 37.51966885),베베어린이집,POINT (127.0126357 37.51966885),daycare_24
POINT(127.0148142 37.5205341),구립서초사랑어린이집,POINT (127.0148142 37.5205341),daycare_25
POINT(127.0094985 37.50104285),서초성모어린이집,POINT (127.0094985 37.50104285),daycare_26
POINT(127.0052677 37.48211469),수표교어린이집,POINT (127.0052677 37.48211469),daycare_27
POINT(127.0051682 37.50062819),서울성모병원어린이집,POINT (127.0051682 37.50062819),daycare_28
POINT(126.9999763 37.47841486),성분도어린이집,POINT (126.9999763 37.47841486),daycare_29
POINT(127.0002162 37.47466621),서초어린이집,POINT (127.0002162 37.47466621),daycare_30
POINT(126.9954707 37.50595024),서초구립신반포어린이집,POINT (126.9954707 37.50595024),daycare_31
POINT(126.99673 37.49700514),반포어린이집,POINT (126.99673 37.49700514),daycare_32
POINT(126.9945099 37.48398905),킹스키즈어린이집,POINT (126.9945099 37.48398905),daycare_33
POINT(126.9926598 37.48494557),송송어린이집,POINT (126.9926598 37.48494557),daycare_34
POINT(126.9930435 37.4850644),방배어린이집,POINT (126.9930435 37.4850644),daycare_35
POINT(126.993878 37.48543753),초록나무의꿈어린이집,POINT (126.993878 37.48543753),daycare_36
POINT(126.9910911 37.50275868),반포초등어린이집,POINT (126.9910911 37.50275868),daycare_37
POINT(126.9876051 37.48308499),새롬키즈어린이집,POINT (126.9876051 37.48308499),daycare_38
POINT(126.9898919 37.48445594),방배하나어린이집,POINT (126.9898919 37.48445594),daycare_39
POINT(126.9875729 37.49111596),해돋이어린이집,POINT (126.9875729 37.49111596),daycare_40
POINT(126.9886757 37.47701446),도레미어린이집,POINT (126.9886757 37.47701446),daycare_41
POINT(126.9870733 37.48807621),아가야어린이집,POINT (126.9870733 37.48807621),daycare_42
POINT(126.9865005 37.4907778),아람마주이야기어린이집,POINT (126.9865005 37.4907778),daycare_43
POINT(126.9842367 37.47453445),까리따스어린이집,POINT (126.9842367 37.47453445),daycare_44
POINT(126.9845908 37.48061116),한사랑어린이집,POINT (126.9845908 37.48061116),daycare_45
POINT(126.9840361 37.47739089),칼비테영재어린이집,POINT (126.9840361 37.47739089),daycare_46
