coord,name,way_type,geometry,uuid
POINT(127.0614935 37.46896272),구룡산 나들길,culture,POINT (127.0614935 37.46896272),goodwaytowalk_5503
POINT(127.0600493 37.46886485),구룡산 나들길,culture,POINT (127.0600493 37.46886485),goodwaytowalk_5507
POINT(127.0482776 37.46554119),구룡산 나들길,culture,POINT (127.0482776 37.46554119),goodwaytowalk_5585
POINT(127.0498135 37.46634074),구룡산 나들길,culture,POINT (127.0498135 37.46634074),goodwaytowalk_5588
POINT(127.0565199 37.46833307),구룡산 나들길,culture,POINT (127.0565199 37.46833307),goodwaytowalk_5642
POINT(127.0068338 37.50242185),서리골서리풀나들길,culture,POINT (127.0068338 37.50242185),goodwaytowalk_5463
POINT(127.0027237 37.50236857),서리골서리풀나들길,culture,POINT (127.0027237 37.50236857),goodwaytowalk_5468
POINT(127.0063244 37.50300578),서리골서리풀나들길,culture,POINT (127.0063244 37.50300578),goodwaytowalk_5478
POINT(127.0086345 37.50035075),서리골서리풀나들길,culture,POINT (127.0086345 37.50035075),goodwaytowalk_5481
POINT(127.009918 37.49871926),서리골서리풀나들길,culture,POINT (127.009918 37.49871926),goodwaytowalk_5487
POINT(127.0070349 37.50180554),서리골서리풀나들길,culture,POINT (127.0070349 37.50180554),goodwaytowalk_5493
POINT(127.0064332 37.50295204),서리골서리풀나들길,culture,POINT (127.0064332 37.50295204),goodwaytowalk_5520
POINT(126.9986518 37.48171534),서리골서리풀나들길,culture,POINT (126.9986518 37.48171534),goodwaytowalk_5527
POINT(127.000363 37.48246175),서리골서리풀나들길,culture,POINT (127.000363 37.48246175),goodwaytowalk_5579
POINT(127.0028473 37.48471103),서리골서리풀나들길,culture,POINT (127.0028473 37.48471103),goodwaytowalk_5582
POINT(127.0069021 37.50233153),서리골서리풀나들길,culture,POINT (127.0069021 37.50233153),goodwaytowalk_5658
POINT(126.9979884 37.48331066),서리골서리풀나들길,culture,POINT (126.9979884 37.48331066),goodwaytowalk_5667
POINT(127.0024593 37.49808299),서리골서리풀나들길,culture,POINT (127.0024593 37.49808299),goodwaytowalk_5682
POINT(126.9976443 37.48166292),서리골서리풀나들길,culture,POINT (126.9976443 37.48166292),goodwaytowalk_5713
POINT(126.9974423 37.48192612),서리골서리풀나들길,culture,POINT (126.9974423 37.48192612),goodwaytowalk_5715
POINT(126.9976384 37.48347096),서리골서리풀나들길,culture,POINT (126.9976384 37.48347096),goodwaytowalk_5826
POINT(126.9976278 37.49325324),서리골서리풀나들길,culture,POINT (126.9976278 37.49325324),goodwaytowalk_5836
POINT(127.0031549 37.50169338),서리골서리풀나들길,culture,POINT (127.0031549 37.50169338),goodwaytowalk_5848
POINT(126.9982781 37.48167194),서리골서리풀나들길,culture,POINT (126.9982781 37.48167194),goodwaytowalk_5850
POINT(127.0030083 37.50192295),서리골서리풀나들길,culture,POINT (127.0030083 37.50192295),goodwaytowalk_5857
POINT(126.9979292 37.48591019),서리골서리풀나들길,culture,POINT (126.9979292 37.48591019),goodwaytowalk_5892
POINT(126.9995879 37.48760831),서리골서리풀나들길,culture,POINT (126.9995879 37.48760831),goodwaytowalk_5907
POINT(126.9972347 37.489538),서리골서리풀나들길,culture,POINT (126.9972347 37.489538),goodwaytowalk_5910
POINT(127.0066506 37.50266434),서리골서리풀나들길,culture,POINT (127.0066506 37.50266434),goodwaytowalk_5923
POINT(127.00428 37.49467727),서리골서리풀나들길,culture,POINT (127.00428 37.49467727),goodwaytowalk_5937
POINT(126.9995963 37.48739471),서리골서리풀나들길,culture,POINT (126.9995963 37.48739471),goodwaytowalk_5976
POINT(127.0023412 37.49323665),서리골서리풀나들길,culture,POINT (127.0023412 37.49323665),goodwaytowalk_5991
POINT(127.0200017 37.48164634),우면산숲 나들길,culture,POINT (127.0200017 37.48164634),goodwaytowalk_5475
POINT(127.0162506 37.48472578),우면산숲 나들길,culture,POINT (127.0162506 37.48472578),goodwaytowalk_5489
POINT(127.0140342 37.47327488),우면산숲 나들길,culture,POINT (127.0140342 37.47327488),goodwaytowalk_5497
POINT(127.0028387 37.47258871),우면산숲 나들길,culture,POINT (127.0028387 37.47258871),goodwaytowalk_5528
POINT(127.0068668 37.47075847),우면산숲 나들길,culture,POINT (127.0068668 37.47075847),goodwaytowalk_5563
POINT(127.0065772 37.47598767),우면산숲 나들길,culture,POINT (127.0065772 37.47598767),goodwaytowalk_5578
POINT(127.0170214 37.4833458),우면산숲 나들길,culture,POINT (127.0170214 37.4833458),goodwaytowalk_5580
POINT(127.0053655 37.47526684),우면산숲 나들길,culture,POINT (127.0053655 37.47526684),goodwaytowalk_5630
POINT(127.0170087 37.48336861),우면산숲 나들길,culture,POINT (127.0170087 37.48336861),goodwaytowalk_5646
POINT(127.0164783 37.48431811),우면산숲 나들길,culture,POINT (127.0164783 37.48431811),goodwaytowalk_5652
POINT(127.0175954 37.47627084),우면산숲 나들길,culture,POINT (127.0175954 37.47627084),goodwaytowalk_5680
POINT(127.0175211 37.47617383),우면산숲 나들길,culture,POINT (127.0175211 37.47617383),goodwaytowalk_5690
POINT(127.0047101 37.47472795),우면산숲 나들길,culture,POINT (127.0047101 37.47472795),goodwaytowalk_5704
POINT(127.0166336 37.48404012),우면산숲 나들길,culture,POINT (127.0166336 37.48404012),goodwaytowalk_5754
POINT(127.0105236 37.47883903),우면산숲 나들길,culture,POINT (127.0105236 37.47883903),goodwaytowalk_5772
POINT(127.0150051 37.4737207),우면산숲 나들길,culture,POINT (127.0150051 37.4737207),goodwaytowalk_5801
POINT(127.019828 37.48166103),우면산숲 나들길,culture,POINT (127.019828 37.48166103),goodwaytowalk_5841
POINT(127.0145327 37.47340466),우면산숲 나들길,culture,POINT (127.0145327 37.47340466),goodwaytowalk_5866
POINT(127.0199666 37.48146856),우면산숲 나들길,culture,POINT (127.0199666 37.48146856),goodwaytowalk_5870
POINT(127.0072194 37.47630639),우면산숲 나들길,culture,POINT (127.0072194 37.47630639),goodwaytowalk_5929
POINT(127.0167295 37.4838685),우면산숲 나들길,culture,POINT (127.0167295 37.4838685),goodwaytowalk_5934
POINT(127.0145685 37.47342857),우면산숲 나들길,culture,POINT (127.0145685 37.47342857),goodwaytowalk_5942
POINT(127.007551 37.47647092),우면산숲 나들길,culture,POINT (127.007551 37.47647092),goodwaytowalk_5989
POINT(127.021457 37.47717744),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.021457 37.47717744),goodwaytowalk_5476
POINT(127.0312074 37.47106771),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0312074 37.47106771),goodwaytowalk_5498
POINT(127.0493783 37.46183768),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0493783 37.46183768),goodwaytowalk_5504
POINT(127.0033838 37.47404491),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0033838 37.47404491),goodwaytowalk_5526
POINT(127.0163215 37.47928),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0163215 37.47928),goodwaytowalk_5549
POINT(127.0172426 37.47904369),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0172426 37.47904369),goodwaytowalk_5554
POINT(127.0294028 37.4736604),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0294028 37.4736604),goodwaytowalk_5556
POINT(127.0014531 37.46833525),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0014531 37.46833525),goodwaytowalk_5564
POINT(127.0058754 37.47592547),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0058754 37.47592547),goodwaytowalk_5577
POINT(127.0162057 37.47929553),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0162057 37.47929553),goodwaytowalk_5581
POINT(127.0481167 37.46067027),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0481167 37.46067027),goodwaytowalk_5584
POINT(127.0488624 37.46130015),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0488624 37.46130015),goodwaytowalk_5587
POINT(127.016209 37.47929508),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.016209 37.47929508),goodwaytowalk_5653
POINT(127.015259 37.47895904),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.015259 37.47895904),goodwaytowalk_5656
POINT(127.0043353 37.47490997),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0043353 37.47490997),goodwaytowalk_5668
POINT(127.0248636 37.47540646),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0248636 37.47540646),goodwaytowalk_5679
POINT(126.9833255 37.47354664),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (126.9833255 37.47354664),goodwaytowalk_5685
POINT(127.0249786 37.47533638),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0249786 37.47533638),goodwaytowalk_5688
POINT(127.015346 37.47898599),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.015346 37.47898599),goodwaytowalk_5698
POINT(126.9844495 37.47330411),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (126.9844495 37.47330411),goodwaytowalk_5709
POINT(126.9881932 37.47245468),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (126.9881932 37.47245468),goodwaytowalk_5712
POINT(126.9878713 37.47285193),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (126.9878713 37.47285193),goodwaytowalk_5716
POINT(127.0281338 37.47410427),서울둘레길 4코스(대모-우면산),seoul-dulle,POINT (127.0281338 37.47410427),goodwaytowalk_5763
