coord,name,geometry,uuid
POINT(127.0377358 37.46189923),양재IC,POINT (127.0377358 37.46189923),highway_0
POINT(127.0251943 37.48339867),서초IC,POINT (127.0251943 37.48339867),highway_1
POINT(127.0798889 37.46013538),내곡IC,POINT (127.0798889 37.46013538),highway_2
POINT(127.0799376 37.46003437),내곡IC,POINT (127.0799376 37.46003437),highway_3
POINT(127.0707999 37.45704499),내곡IC,POINT (127.0707999 37.45704499),highway_4
POINT(126.9855549 37.50488424),올림픽대로 한수길램프,POINT (126.9855549 37.50488424),highway_5
POINT(127.0418795 37.46496032),양재IC,POINT (127.0418795 37.46496032),highway_6
POINT(127.0405976 37.46385955),양재IC,POINT (127.0405976 37.46385955),highway_7
POINT(127.0173467 37.50319526),반포IC,POINT (127.0173467 37.50319526),highway_8
POINT(127.017396 37.50329606),반포IC,POINT (127.017396 37.50329606),highway_9
POINT(127.0286616 37.48387714),서초IC,POINT (127.0286616 37.48387714),highway_10
POINT(127.0238381 37.48310174),서초IC,POINT (127.0238381 37.48310174),highway_11
POINT(127.0392707 37.46315547),양재IC,POINT (127.0392707 37.46315547),highway_12
POINT(127.0150312 37.50914758),잠원IC,POINT (127.0150312 37.50914758),highway_13
POINT(127.0171954 37.52254564),올림픽대로 강남대로,POINT (127.0171954 37.52254564),highway_14
POINT(127.0268364 37.48351551),서초IC,POINT (127.0268364 37.48351551),highway_15
POINT(127.0903546 37.46540643),용인서울고속국도 헌릉로,POINT (127.0903546 37.46540643),highway_16
POINT(127.0190394 37.45968899),선암로IC,POINT (127.0190394 37.45968899),highway_17
POINT(127.0204466 37.460802),선암로IC,POINT (127.0204466 37.460802),highway_18
POINT(127.0201769 37.45950962),선암로IC,POINT (127.0201769 37.45950962),highway_19
POINT(126.9991849 37.50933579),올림픽대로 반포로램프,POINT (126.9991849 37.50933579),highway_20
POINT(126.9803548 37.50571321),올림픽대로 동작대로램프,POINT (126.9803548 37.50571321),highway_21
POINT(127.0854634 37.46187398),용인서울고속국도 헌릉,POINT (127.0854634 37.46187398),highway_22
POINT(126.9982337 37.50972007),올림픽대로 반포로램프,POINT (126.9982337 37.50972007),highway_23
POINT(126.986573 37.46913031),사당IC,POINT (126.986573 37.46913031),highway_24
