coord,name,geometry,uuid
POINT(127.0227848 37.5070301),고도일병원,POINT (127.0227848 37.5070301),hospital_0
POINT(127.0051154 37.5009444),서울성모병원,POINT (127.0051154 37.5009444),hospital_1
POINT(126.9899521 37.4930421),참푸른병원,POINT (126.9899521 37.4930421),hospital_2
POINT(126.995067 37.4878422),제일병원,POINT (126.995067 37.4878422),hospital_3
POINT(127.0137857 37.4949979),염창환병원,POINT (127.0137857 37.4949979),hospital_4
POINT(127.032598 37.483569),서초구보건소,POINT (127.032598 37.483569),hospital_5
POINT(127.0141365 37.4929843),365엠씨병원,POINT (127.0141365 37.4929843),hospital_6
POINT(127.0157273 37.4852908),21세기병원,POINT (127.0157273 37.4852908),hospital_7
POINT(127.0153417 37.4859524),세바른병원,POINT (127.0153417 37.4859524),hospital_8
POINT(127.0689282 37.4557936),서울특별시어린이병원,POINT (127.0689282 37.4557936),hospital_9
POINT(127.0387018 37.4799379),참포도나무병원,POINT (127.0387018 37.4799379),hospital_10
POINT(127.0043999 37.4862375),올바로병원,POINT (127.0043999 37.4862375),hospital_11
POINT(126.9878957 37.475653),대항병원,POINT (126.9878957 37.475653),hospital_12
POINT(126.9866983 37.4767222),연세사랑병원,POINT (126.9866983 37.4767222),hospital_13
