coord,name,geometry,uuid
POINT(127.0139384 37.50661145),홈플러스익스프레스 반포점,POINT (127.0139384 37.50661145),mart_0
POINT(127.0117717 37.508511),롯데슈퍼 잠원점,POINT (127.0117717 37.508511),mart_1
POINT(127.0121864 37.50290085),GS더프레시 서초점,POINT (127.0121864 37.50290085),mart_2
POINT(126.9950463 37.50548411),롯데슈퍼 신반포점,POINT (126.9950463 37.50548411),mart_3
POINT(127.0008822 37.50453275),홈플러스익스프레스 반포2점,POINT (127.0008822 37.50453275),mart_4
POINT(126.9981861 37.49713367),홈플러스익스프레스 서래마을점,POINT (126.9981861 37.49713367),mart_5
POINT(127.0074377 37.50923936),킴스클럽 강남점,POINT (127.0074377 37.50923936),mart_6
POINT(127.0069714 37.50605704),노브랜드 강남터미널점,POINT (127.0069714 37.50605704),mart_7
POINT(127.0271725 37.49180561),이마트에브리데이 래미안리더스원점,POINT (127.0271725 37.49180561),mart_8
POINT(127.0207683 37.48567105),이마트에브리데이 남부터미널점,POINT (127.0207683 37.48567105),mart_9
POINT(127.0107575 37.50257167),롯데슈퍼 반포2점,POINT (127.0107575 37.50257167),mart_10
POINT(127.0128016 37.49923054),홈플러스익스프레스 서초점,POINT (127.0128016 37.49923054),mart_11
POINT(127.0161798 37.49510441),노브랜드 서울서초G5점,POINT (127.0161798 37.49510441),mart_12
POINT(126.9856298 37.49673745),롯데슈퍼 방배1점,POINT (126.9856298 37.49673745),mart_13
POINT(127.0159862 37.45687189),남서울농협하나로마트 우면점,POINT (127.0159862 37.45687189),mart_14
POINT(127.0250757 37.46368557),이마트에브리데이 우면점,POINT (127.0250757 37.46368557),mart_15
POINT(127.0362879 37.46193109),코스트코 양재점,POINT (127.0362879 37.46193109),mart_16
POINT(127.0218722 37.5023575),이마트에브리데이 서초동점,POINT (127.0218722 37.5023575),mart_17
POINT(127.0595141 37.45662372),서울영동농협하나로마트 내곡점,POINT (127.0595141 37.45662372),mart_18
POINT(127.0563288 37.44729619),이마트에브리데이 내곡점,POINT (127.0563288 37.44729619),mart_19
POINT(127.0559177 37.447664),서울영동농협하나로마트 청계산역점,POINT (127.0559177 37.447664),mart_20
POINT(127.037012 37.46339411),이마트 양재점,POINT (127.037012 37.46339411),mart_21
POINT(127.0253823 37.49812387),노브랜드 서울서초점,POINT (127.0253823 37.49812387),mart_22
POINT(127.0008513 37.47578249),이마트에브리데이 방배그랑자이점,POINT (127.0008513 37.47578249),mart_23
POINT(126.9967709 37.48362574),홈플러스익스프레스 방배2점,POINT (126.9967709 37.48362574),mart_24
POINT(126.9962507 37.48402577),노브랜드 서초방배점,POINT (126.9962507 37.48402577),mart_25
POINT(127.0115871 37.51438557),GS더프레시 잠원점,POINT (127.0115871 37.51438557),mart_26
POINT(127.0191276 37.48959251),GS더프레시 서초교대점,POINT (127.0191276 37.48959251),mart_27
POINT(127.0406787 37.47979129),남서울농협하나로마트 양재점,POINT (127.0406787 37.47979129),mart_28
POINT(127.041835 37.46908329),이마트에브리데이 양재점,POINT (127.041835 37.46908329),mart_29
POINT(127.0433824 37.470755),영동농협하나로마트 본점,POINT (127.0433824 37.470755),mart_30
POINT(126.9867131 37.47748529),롯데슈퍼 방배3점,POINT (126.9867131 37.47748529),mart_31
POINT(127.0036633 37.48377709),이마트에브리데이 방배효령점,POINT (127.0036633 37.48377709),mart_32
POINT(127.0078153 37.48642946),롯데슈퍼 서초3동점,POINT (127.0078153 37.48642946),mart_33
POINT(127.0179918 37.48504638),롯데슈퍼 서초국제점,POINT (127.0179918 37.48504638),mart_34
POINT(127.0154499 37.48687561),홈플러스익스프레스 서초2점,POINT (127.0154499 37.48687561),mart_35
POINT(126.9891842 37.49143766),롯데슈퍼 방배2점,POINT (126.9891842 37.49143766),mart_36
POINT(127.0115444 37.48697877),이마트에브리데이 서초센트럴점,POINT (127.0115444 37.48697877),mart_37
POINT(127.0063322 37.49006962),롯데마트 서초점,POINT (127.0063322 37.49006962),mart_38
