coord,level,district,name,geometry,type,uuid,homepage
POINT(127.0146997 37.50632511),중학교,강남서초3학교군,원촌중학교,POINT (127.0146997 37.50632511),공립,school_0,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000730
POINT(127.0090183 37.5115816),중학교,강남서초3학교군,경원중학교,POINT (127.0090183 37.5115816),공립,school_1,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000700
POINT(127.0129154 37.5169159),중학교,강남서초3학교군,신동중학교,POINT (127.0129154 37.5169159),공립,school_2,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000722
POINT(126.9961146 37.50626532),중학교,강남서초3학교군,신반포중학교,POINT (126.9961146 37.50626532),공립,school_3,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000723
POINT(126.991604 37.50304393),중학교,강남서초3학교군,반포중학교,POINT (126.991604 37.50304393),공립,school_4,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000711
POINT(126.99423 37.5019828),중학교,강남서초3학교군,세화여자중학교,POINT (126.99423 37.5019828),사립,school_5,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000718
POINT(127.0245382 37.49394851),중학교,강남서초3학교군,서운중학교,POINT (127.0245382 37.49394851),공립,school_6,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000715
POINT(127.0232207 37.49852986),중학교,강남서초3학교군,서일중학교,POINT (127.0232207 37.49852986),공립,school_7,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000716
POINT(126.997827 37.49486827),중학교,강남서초3학교군,방배중학교,POINT (126.997827 37.49486827),공립,school_8,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000712
POINT(127.0251408 37.46598629),중학교,강남서초3학교군,영동중학교,POINT (127.0251408 37.46598629),공립,school_9,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000729
POINT(127.0085193 37.48553868),중학교,강남서초3학교군,서초중학교,POINT (127.0085193 37.48553868),공립,school_10,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000717
POINT(127.0442813 37.47240137),중학교,강남서초3학교군,언남중학교,POINT (127.0442813 37.47240137),공립,school_11,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000725
POINT(126.991995 37.47587863),중학교,강남서초3학교군,동덕여자중학교,POINT (126.991995 37.47587863),사립,school_12,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000710
POINT(126.9898591 37.48063003),중학교,강남서초3학교군,이수중학교,POINT (126.9898591 37.48063003),공립,school_13,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000732
POINT(126.9845622 37.48891973),중학교,강남서초3학교군,서문여자중학교,POINT (126.9845622 37.48891973),사립,school_14,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000714
POINT(127.0544446 37.45200325),중학교,강남서초4학교군,내곡중학교,POINT (127.0544446 37.45200325),공립,school_15,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100006334
POINT(127.0165603 37.50270273),고등학교,강남서초학교군,반포고등학교,POINT (127.0165603 37.50270273),공립,school_16,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000440
POINT(127.0053783 37.48961169),고등학교,강남서초학교군,서초고등학교,POINT (127.0053783 37.48961169),공립,school_17,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000463
POINT(126.99423 37.50199646),고등학교,강남서초학교군,세화고등학교,POINT (126.99423 37.50199646),사립,school_18,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000473
POINT(126.99423 37.50199646),고등학교,강남서초학교군,세화여자고등학교,POINT (126.99423 37.50199646),사립,school_19,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000474
POINT(127.0320796 37.48242164),고등학교,강남서초학교군,양재고등학교,POINT (127.0320796 37.48242164),공립,school_20,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000487
POINT(127.0049019 37.48429306),고등학교,강남서초학교군,서울고등학교,POINT (127.0049019 37.48429306),공립,school_21,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000456
POINT(127.0039168 37.47975543),고등학교,강남서초학교군,상문고등학교,POINT (127.0039168 37.47975543),사립,school_22,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000452
