coord,name,line_name,geometry,uuid
POINT(127.027926 37.497175),강남역,"2호선, 신분당선",POINT (127.027926 37.497175),subway_0
POINT(127.004943 37.50481),고속터미널역,"3호선, 7호선, 9호선",POINT (127.004943 37.50481),subway_1
POINT(127.01408 37.493415),교대역,"2호선, 3호선",POINT (127.01408 37.493415),subway_2
POINT(126.987332 37.501364),구반포역,9호선,POINT (126.987332 37.501364),subway_3
POINT(127.016189 37.485013),남부터미널역,3호선,POINT (127.016189 37.485013),subway_4
POINT(126.989134 37.463873),남태령역,4호선,POINT (126.989134 37.463873),subway_5
POINT(126.993513 37.487618),내방역,7호선,POINT (126.993513 37.487618),subway_6
POINT(127.011727 37.508178),반포역,7호선,POINT (127.011727 37.508178),subway_7
POINT(126.997596 37.481426),방배역,2호선,POINT (126.997596 37.481426),subway_8
POINT(126.981685 37.47653),사당역,"2호선, 4호선",POINT (126.981685 37.47653),subway_9
POINT(127.015259 37.504206),사평역,9호선,POINT (127.015259 37.504206),subway_10
POINT(127.007917 37.491897),서초역,2호선,POINT (127.007917 37.491897),subway_11
POINT(126.995925 37.503415),신반포역,9호선,POINT (126.995925 37.503415),subway_12
POINT(127.034631 37.484147),양재역,"3호선, 신분당선",POINT (127.034631 37.484147),subway_13
POINT(127.03842 37.470023),양재시민의숲역,신분당선,POINT (127.03842 37.470023),subway_14
POINT(127.01122 37.512759),잠원역,3호선,POINT (127.01122 37.512759),subway_15
POINT(127.055664 37.447211),청계산입구역,신분당선,POINT (127.055664 37.447211),subway_16
