uuid,name,lon,lat
academy_0,중앙보습학원,126.9906421,37.4919951
academy_1,동신보습학원,127.0087483,37.4884541
academy_2,엘브라운의대관학원,127.0021861,37.5057261
academy_3,광지독서실,126.9874334,37.5026721
academy_4,예신음악학원,127.0009618,37.4770714
academy_5,잔디음악학원,126.9962507,37.486105
academy_6,스터디하우스잠원독서실,127.0115158,37.5144095
academy_7,피앤피아카데미(P&P Academy)학원,126.9845826,37.4910332
academy_8,하수꽃꽂이학원,127.0478397,37.4741606
academy_9,국제컴퓨터학원,127.0241085,37.5020257
academy_10,잠원수도컴퓨터학원,127.0115158,37.5144095
academy_11,가나어학학원,127.0055318,37.5067454
academy_12,서초그린섬미술학원,126.9972242,37.4826442
academy_13,리즈음악학원,127.0174633,37.4999252
academy_14,서원음악학원,127.0087853,37.5010511
academy_15,아이캔보습학원,126.9874554,37.4951846
academy_16,수이지수학전문학원,127.0154635,37.5178575
academy_17,신동아학원,127.0014497,37.4811843
academy_18,예일보습학원,127.0198985,37.490124
academy_19,박컴학원,127.009821,37.4894273
academy_20,준암보습학원,126.993386,37.488928
academy_21,제일진성보습학원,127.0447812,37.4728564
academy_22,란음악학원,126.9975306,37.4977845
academy_23,박정어학원,127.0154692,37.4924479
academy_24,이든음악학원,127.0322158,37.4749978
academy_25,시온음악학원,127.0071774,37.4824039
academy_26,녹지미술학원,126.9989078,37.4801806
academy_27,탑클래스독서실,127.0143407,37.5197943
academy_28,한국회계학원,127.0142486,37.4923927
academy_29,서울애완동물관리학원,127.0381159,37.4848224
academy_30,행원독서실,126.9897876,37.4756788
academy_31,양재왕수학보습학원,127.0253957,37.4708599
academy_32,연세아카데미학원,127.0250988,37.4710827
academy_33,방배학원,126.9996005,37.4799612
academy_34,리드유(Leadu)영어학원,127.0112172,37.5010265
academy_35,피에스에이서초어학학원,127.0263437,37.4875372
academy_36,서초제일보습학원,127.0218698,37.4846349
academy_37,헨리영어아이(i)학원,127.0048897,37.5065508
academy_38,개념폴리아방배관학원,126.9866613,37.4861583
academy_39,이소키즈클럽어학원,126.9929699,37.4938081
academy_40,경인학원,127.0306961,37.4753638
academy_41,서초뉴이화음악학원,127.0253957,37.4708599
academy_43,경희무용학원,127.0130338,37.518531
academy_44,103미술학원,127.012073,37.5021689
academy_45,셈프레뮤직아트센터서초학원,127.0219742,37.4844376
