addr,name,lat,lon,sectors,constructor,completion,households,heating,heating_resource,max_floor,min_floor,parking_per_house,parking_lot,community,min_area_supply,max_area_supply,min_area_use,max_area_use,addr_street,apartment_status,slope,taxi_dropoff_ratio,taxi_dropoff_ratio_morning_peak,average_income_year,floor_area_ratio,parking_lot_under,slope_ratio,pop,pop_density_10s,pop_ratio_50s,pop_ratio_60s_man,uuid
서울시 서초구 반포동 20-43,반포자이,37.507538,127.013605,44동,GS건설(주),2009,3410,지역난방,열병합,29층,20층,1.78,0,1,84.23,301.38,59.97,244.97,서울시 서초구 신반포로 270,아파트,1,46.03,12.9,15188,1100,1,4,480,0.133333333,0.135416667,0.095833333,apartment_1165010710
서울시 서초구 반포동 2-12,아크로리버파크,37.506089,126.993312,15동,대림산업(주),2016,1612,지역난방,열병합,38층,3층,1.84,0,0,78.68,318.75,59.95,234.97,서울시 서초구 신반포로15길 19,아파트,1,42.86,28.57,19757,500,0,6,670,0.119402985,0.13880597,0.053731343,apartment_1165010711
서울시 서초구 반포동 18-1,래미안퍼스티지,37.503005,126.999724,28동,삼성물산(주),2009,2444,지역난방,열병합,32층,23층,1.78,0,1,86.57,268.8,59.89,222.76,서울시 서초구 반포대로 275,아파트,1,37.5,20,15454,900,1,4,546,0.184981685,0.13003663,0.045787546,apartment_1165010709
서울시 서초구 잠원동 73,신반포2차,37.509497,127.001148,13동,한신공영(주),1978,1572,지역난방,열병합,12층,12층,2.09,1,0,74.18,164.72,68.91,150.58,서울시 서초구 신반포로23길 41,재건축,1,50,33.33,23294,1100,0,1,539,0.161410019,0.181818182,0.063079777,apartment_1165010643
서울시 서초구 서초동 1335,서초그랑자이,37.489133,127.025992,9동,지에스건설(주),2021,1446,지역난방,열병합,35층,30층,2,0,1,83.85,192.97,59.98,148.5,서울시 서초구 효령로 391,아파트,1,42.86,33.33,10090,800,1,4,597,0.118927973,0.145728643,0.048576214,apartment_1165010860
서울시 서초구 잠원동 70,신반포4차,37.508702,127.006283,12동,한신공영(주),1979,1212,지역난방,열병합,13층,12층,1,1,0,103.57,168.64,96.48,155,서울시 서초구 잠원로 37-48,재건축,1,50,50,11897,800,1,1,417,0.131894484,0.172661871,0.064748201,apartment_1165010638
서울시 서초구 반포동 30-26,반포리체,37.503762,127.013485,9동,"삼성물산(주),대림산업",2011,1119,지역난방,열병합,35층,30층,1.5,0,1,84.73,172.28,59.99,138.72,서울시 서초구 고무래로 35,아파트,1,50,50,16347,1100,1,2,436,0.174311927,0.135321101,0.025229358,apartment_1165010714
서울시 서초구 서초동 1755,래미안리더스원,37.490773,127.028121,12동,삼성물산(주),2020,1317,지역난방,열병합,35층,15층,1.91,1,1,84.03,299.89,59.97,238.73,서울시 서초구 서운로 62,아파트,1,36.23,16.33,2439,1300,1,2,665,0.094736842,0.108270677,0.054135338,apartment_1165010857
서울시 서초구 서초동 1685,삼풍,37.499179,127.016033,24동,"현대,우성",1988,2390,지역난방,열병합,15층,9층,1.58,1,0,107.48,192.9,79.47,165.92,서울시 서초구 서초중앙로 200,아파트,1,19.23,5,3920,1200,0,5,502,0.12749004,0.161354582,0.069721116,apartment_1165010851
서울시 서초구 반포동 1124,반포주공1단지,37.500802,126.988428,99동,대한주택공사,1973,3590,중앙난방,도시가스,6층,5층,0.55,1,1,72.73,204.96,72.51,196.8,서울시 서초구 신반포로 32,재건축,1,30,28.57,4892,400,0,1,517,0.13926499,0.20696325,0.059961315,apartment_1165010703
