area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
84.98,105.42,105㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=1,20,31,apartmenttype_0,apartment_1165010101
92.93,114.51,114B㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=3,45,34,apartmenttype_1,apartment_1165010101
114.16,150.07,150㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=4,10,45,apartmenttype_2,apartment_1165010101
148.99,189.26,189㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8696&ptpId=5,19,57,apartmenttype_3,apartment_1165010101
105.27,126.48,126A㎡,4,2,계단식,255415.0,274674.0,252838.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=1,1,38,apartmenttype_4,apartment_1165010102
105.63,126.92,126B㎡,4,2,계단식,256289.0,275613.0,253702.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=7,2,38,apartmenttype_5,apartment_1165010102
105.7,126.99,126C㎡,4,2,계단식,256458.0,275796.0,253871.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=8,2,38,apartmenttype_6,apartment_1165010102
105.89,127.18,127D㎡,4,2,계단식,256919.0,276292.0,254327.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=9,3,38,apartmenttype_7,apartment_1165010102
114.09,136.65,136A㎡,4,2,계단식,276815.0,297688.0,274022.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=2,88,41,apartmenttype_8,apartment_1165010102
114.18,136.81,136B㎡,4,2,계단식,277033.0,297923.0,274238.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=10,39,41,apartmenttype_9,apartment_1165010102
127.31,152.09,152B㎡,4,2,계단식,308890.0,332182.0,305773.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=11,100,46,apartmenttype_10,apartment_1165010102
127.61,152.27,152A㎡,4,2,계단식,309618.0,332965.0,306494.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=3,222,46,apartmenttype_11,apartment_1165010102
136.67,159.95,159㎡,4,2,계단식,331600.0,356604.0,328254.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=4,1,48,apartmenttype_12,apartment_1165010102
141.83,164.69,164㎡,4,2,계단식,344120.0,370068.0,340647.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=12,1,49,apartmenttype_13,apartment_1165010102
163.31,190.0,190㎡,5,3,계단식,396237.0,426114.0,392238.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=5,44,57,apartmenttype_14,apartment_1165010102
174.5,201.28,201㎡,5,3,계단식,423387.0,455312.0,419114.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9521&ptpId=6,85,60,apartmenttype_15,apartment_1165010102
44.61,58.25,58㎡,1,1,복도식,170718.0,147864.0,210705.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=1,38,17,apartmenttype_16,apartment_1165010103
51.84,65.86,65㎡,1,1,복도식,198386.0,171829.0,244855.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=2,38,19,apartmenttype_17,apartment_1165010103
65.85,86.42,86㎡,2,1,복도식,252001.0,218266.0,311028.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=3,40,26,apartmenttype_18,apartment_1165010103
67.47,88.55,88㎡,2,1,복도식,258201.0,223636.0,318680.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=4,40,26,apartmenttype_19,apartment_1165010103
79.8,104.73,104C㎡,3,1,복도식,305386.0,264505.0,376918.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=8,40,31,apartmenttype_20,apartment_1165010103
82.34,104.98,104A㎡,3,1,복도식,315107.0,272924.0,388915.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=5,40,31,apartmenttype_21,apartment_1165010103
84.0,107.1,107B㎡,3,1,복도식,321459.0,278426.0,396755.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=7,40,32,apartmenttype_22,apartment_1165010103
100.82,128.29,128㎡,3,2,복도식,385828.0,334178.0,476201.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=474&ptpId=6,40,38,apartmenttype_23,apartment_1165010103
84.78,116.28,116㎡,3,1,복도식,295457.0,245041.0,371450.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=472&ptpId=1,132,35,apartmenttype_24,apartment_1165010104
136.38,160.67,160㎡,4,2,계단식,475282.0,394181.0,597527.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=472&ptpId=2,286,48,apartmenttype_25,apartment_1165010104
88.26,94.71,94C㎡,3,1,복도식,234458.0,188603.0,294627.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=4,110,28,apartmenttype_26,apartment_1165010105
88.76,95.14,95E㎡,3,1,계단식,235786.0,189672.0,296296.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=6,10,28,apartmenttype_27,apartment_1165010105
89.12,94.54,94A㎡,3,1,복도식,236743.0,190441.0,297498.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=1,110,28,apartmenttype_28,apartment_1165010105
89.62,94.88,94B㎡,3,1,복도식,238071.0,191510.0,299167.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=3,10,28,apartmenttype_29,apartment_1165010105
91.47,96.89,96D㎡,3,1,복도식,242985.0,195463.0,305343.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=467&ptpId=5,24,29,apartmenttype_30,apartment_1165010105
