name,lon,lat,uuid
갯마을앞정류장,126.9832924,37.49752572,busstation_0
남태령역정류장,126.9880015,37.46552892,busstation_1
교육개발원입구정류장,127.0383424,37.47851383,busstation_2
교육개발원입구정류장,127.0386757,37.47776664,busstation_3
양재역.서초문화예술회관정류장,127.0358473,37.48252188,busstation_4
양재역.서초문화예술회관정류장,127.0368255,37.48187093,busstation_5
뱅뱅사거리정류장,127.0323669,37.48759241,busstation_6
래미안아파트.파이낸셜뉴스정류장,127.0303402,37.49182345,busstation_7
신분당선강남역정류장,127.0283494,37.49602648,busstation_8
지하철2호선강남역정류장,127.0257283,37.50160933,busstation_9
논현역정류장,127.0230119,37.50722032,busstation_10
신사역.푸른저축은행정류장,127.019844,37.514627,busstation_11
반포역정류장,127.0121019,37.50840125,busstation_12
반포역정류장,127.011038,37.50790804,busstation_13
고속터미널정류장,127.0052627,37.50633499,busstation_14
고속터미널정류장,127.0038415,37.50563712,busstation_15
신반포역.세화여중고정류장,126.9958083,37.50345516,busstation_16
신반포역.세화여중고정류장,126.9888862,37.50167531,busstation_17
구반포역.세화고등학교정류장,126.989993,37.50204341,busstation_18
구반포역.세화고등학교정류장,126.986551,37.501138,busstation_19
아리랑TV.국립국악원정류장,127.0091112,37.47879811,busstation_20
남태령역정류장,126.9881707,37.46571328,busstation_21
이수역정류장,126.9820604,37.48233219,busstation_22
사당역정류장,126.981733,37.475853,busstation_23
총신대입구역.남성시장입구앞정류장,126.9823337,37.48753276,busstation_24
경문고등학교정류장,126.9827296,37.49043764,busstation_25
정금마을정류장,126.982818,37.49325215,busstation_26
서초포레스타5단지정문정류장,127.0582054,37.45129334,busstation_27
서초종합체육관정류장,127.0414866,37.4585014,busstation_28
서울추모공원정류장,127.0426836,37.4541411,busstation_29
양재동화물터미널정류장,127.0367509,37.46003483,busstation_30
양재동화물터미널정류장,127.0374907,37.45988617,busstation_31
서울추모공원정류장,127.042802,37.45422525,busstation_32
한국소비자원정류장,127.0436919,37.46614898,busstation_33
지하철3호선교대역정류장,127.0140972,37.49177273,busstation_34
서울교대사거리정류장,127.0149074,37.48727363,busstation_35
지하철2호선교대역2정류장,127.0151723,37.49402634,busstation_36
서초동유원아파트정류장,127.020226,37.49557573,busstation_37
창신교회앞.서리풀노리학교정류장,127.0213663,37.49051406,busstation_38
창신교회.서리풀노리학교정류장,127.0211892,37.4902399,busstation_39
서울교대정문앞정류장,127.016244,37.48886274,busstation_40
서울교대정문앞정류장,127.014658,37.488286,busstation_41
남부터미널정류장,127.0173128,37.483277,busstation_42
서울시인재개발원입구정류장,127.0224066,37.48299285,busstation_43
서울시인재개발원.한우리문화센터정류장,127.02159,37.48271309,busstation_44
서일초등학교정류장,127.0213559,37.48642334,busstation_45
서일초등학교정류장,127.0210584,37.48619534,busstation_46
롯데칠성정류장,127.0239661,37.49673319,busstation_47
롯데칠성정류장,127.025145,37.49505458,busstation_48
서초포레스타2단지 앞정류장,127.063013,37.45545073,busstation_49
래미안에스티지에스정류장,127.0260354,37.49318659,busstation_50
래미안에스티지정류장,127.0260102,37.49301633,busstation_51
서초청소년도서관정류장,127.0285876,37.49263309,busstation_52
서초청소년도서관정류장,127.0289422,37.49264329,busstation_53
서초동신동아아파트정류장,127.0255496,37.49167319,busstation_54
서초2동주민센터서이초등학교정류장,127.0256283,37.49160979,busstation_55
래미안리더스원아파트정류장,127.0274259,37.49017927,busstation_56
추모공원입구정류장,127.0390224,37.45825928,busstation_57
뱅뱅사거리정류장,127.0293732,37.48892626,busstation_58
뱅뱅사거리정류장,127.0298426,37.48892239,busstation_59
서초동무지개아파트정류장,127.0266067,37.48807529,busstation_60
서초동무지개아파트정류장,127.025996,37.48774409,busstation_61
서초구청정류장,127.0309471,37.48420925,busstation_62
서초구청정류장,127.0308742,37.48402746,busstation_63
수협서초지점정류장,127.0296161,37.49338614,busstation_64
서초문화예술정보학교정류장,127.0321452,37.48806521,busstation_65
법조단지정류장,127.0129906,37.49647906,busstation_66
교대역3정류장,127.0130354,37.49352556,busstation_67
서초역.서울중앙지법등기국정류장,127.0072658,37.49288245,busstation_68
서초역1번출구정류장,127.0086431,37.49204748,busstation_69
서울중앙지방검찰청정류장,127.0063908,37.49466052,busstation_70
서울중앙지방검찰청대검찰청정류장,127.0063341,37.49440121,busstation_71
서초아트자이아파트정류장,127.0106825,37.48568073,busstation_72
서초동삼성아파트정류장,127.0092871,37.48861741,busstation_73
서초유스센터.서초아트자이정류장,127.0105605,37.48549832,busstation_74
서초동삼성아파트정류장,127.0091105,37.48855577,busstation_75
서초3동주민센터정류장,127.0117198,37.48315521,busstation_76
서초3동주민센터정류장,127.0119717,37.48318784,busstation_77
서초동예술의전당정류장,127.012734,37.4816391,busstation_78
서초중학교정류장,127.0085568,37.48354401,busstation_79
서초중학교정류장,127.0087823,37.48346218,busstation_80
서울고등학교정류장,127.0050175,37.48287296,busstation_81
서울고등학교정류장,127.005553,37.48283169,busstation_82
상문고교정류장,127.0047616,37.48191615,busstation_83
서초동예술의전당정류장,127.0107815,37.47942885,busstation_84
서초동예술의전당정류장,127.0108317,37.47966234,busstation_85
남부터미널.기쁨병원정류장,127.0169147,37.48185234,busstation_86
남부터미널.기쁨병원정류장,127.0175441,37.48186117,busstation_87
남부터미널정류장,127.0166984,37.48408977,busstation_88
남부터미널.한일시멘트정류장,127.0142415,37.48465728,busstation_89
남부터미널정류장,127.0154564,37.48476839,busstation_90
서울교대사거리정류장,127.0147509,37.48739871,busstation_91
서울교대사거리정류장,127.0133631,37.48800647,busstation_92
서울교대사거리정류장,127.012948,37.48779638,busstation_93
지하철3호선교대역정류장,127.013968,37.49183999,busstation_94
KCC사옥정류장,127.0196772,37.50310822,busstation_95
서초푸르지오써밋정류장,127.0221156,37.50118109,busstation_96
서초푸르지오써밋.롯데캐슬클래식정류장,127.0221001,37.50145557,busstation_97
진흥아파트정류장,127.0237379,37.49773373,busstation_98
진흥아파트정류장,127.0239501,37.49754139,busstation_99
강남역.강남역사거리정류장,127.0266305,37.49773261,busstation_100
서초동진흥아파트정류장,127.0228061,37.49651673,busstation_101
서초동유원아파트정류장,127.0196603,37.49554491,busstation_102
지하철2호선교대역4출구정류장,127.015879,37.49438915,busstation_103
법조단지정류장,127.01316,37.49627195,busstation_104
신논현역.구교보타워사거리정류장,127.025122,37.50287594,busstation_105
강남역정류장,127.0264252,37.50011553,busstation_106
잠원한신아파트정류장,127.0100577,37.51652001,busstation_107
래미안신반포리오센트아파트정류장,127.0138276,37.5195473,busstation_108
신반포18차아파트정류장,127.0144289,37.51999528,busstation_109
롯데캐슬아파트정류장,127.015498,37.51970316,busstation_110
롯데캐슬아파트정류장,127.0155146,37.51994036,busstation_111
신반포13차아파트정류장,127.0144127,37.51679059,busstation_112
신반포13차아파트정류장,127.014474,37.51712271,busstation_113
신동중학교정류장,127.0131925,37.51554876,busstation_114
신동중학교정류장,127.0128629,37.51562931,busstation_115
논현사거리.논현역5번출구정류장,127.0192933,37.51049952,busstation_116
신사역4번출구정류장,127.0197132,37.51505363,busstation_117
신사역5번출구정류장,127.0192263,37.51673207,busstation_118
논현사거리.논현역4번출구정류장,127.0196567,37.51047358,busstation_119
논현역정류장,127.0220696,37.50914456,busstation_120
반포동정류장,127.0233711,37.50648678,busstation_121
신논현역.구교보타워사거리정류장,127.023835,37.50439506,busstation_122
제일약품사옥정류장,127.020382,37.50340675,busstation_123
사평역정류장,127.0140485,37.50473497,busstation_124
사평역정류장,127.0154369,37.50404851,busstation_125
삼호가든3차아파트정류장,127.0122739,37.49988507,busstation_126
삼호가든사거리.반포도서관정류장,127.011525,37.50277886,busstation_127
삼성래미안정류장,126.9953354,37.50267058,busstation_128
서초구민체육센터.심산문화센터정류장,126.9906076,37.49830299,busstation_129
잠원한신아파트정류장,127.0100772,37.51673713,busstation_130
잠원성당.아크로리버뷰아파트정류장,127.0069218,37.51368173,busstation_131
잠원성당정류장,127.0069296,37.51349354,busstation_132
뉴코아아울렛정류장,127.0078725,37.50924761,busstation_133
신반포자이아파트정류장,127.0079277,37.50945099,busstation_134
고속터미널정류장,127.0094438,37.50629479,busstation_135
서울지방조달청.서울성모병원정류장,127.0012883,37.50440784,busstation_136
센트럴시티정류장,127.0062506,37.50330978,busstation_137
서울지방조달청.서울성모병원정류장,127.0039508,37.50076372,busstation_138
서울성모병원정류장,127.00555,37.50288199,busstation_139
서초구민체육센터.심산문화센터정류장,126.9910942,37.49786652,busstation_140
반포미도아파트앞정류장,127.0117073,37.50172062,busstation_141
고속터미널경부선정류장,127.0067659,37.50654888,busstation_142
고속터미널호남선정류장,127.0030561,37.50539877,busstation_143
삼호아파트정류장,126.9877512,37.49680497,busstation_144
