uuid,uuid_districtboundarydong,uuid_departmentstore
20,districtboundarydong_11650108,departmentstore_0
13,districtboundarydong_11650107,departmentstore_1
10,districtboundarydong_11650106,departmentstore_10
0,districtboundarydong_11650101,departmentstore_11
22,districtboundarydong_11650108,departmentstore_13
16,districtboundarydong_11650107,departmentstore_14
23,districtboundarydong_11650108,departmentstore_15
11,districtboundarydong_11650106,departmentstore_17
24,districtboundarydong_11650108,departmentstore_18
17,districtboundarydong_11650107,departmentstore_19
8,districtboundarydong_11650106,departmentstore_2
1,districtboundarydong_11650101,departmentstore_20
2,districtboundarydong_11650101,departmentstore_21
18,districtboundarydong_11650107,departmentstore_22
12,districtboundarydong_11650106,departmentstore_23
25,districtboundarydong_11650108,departmentstore_24
26,districtboundarydong_11650108,departmentstore_25
4,districtboundarydong_11650102,departmentstore_26
27,districtboundarydong_11650108,departmentstore_27
5,districtboundarydong_11650102,departmentstore_28
19,districtboundarydong_11650107,departmentstore_29
3,districtboundarydong_11650102,departmentstore_3
14,districtboundarydong_11650107,departmentstore_4
15,districtboundarydong_11650107,departmentstore_5
21,districtboundarydong_11650108,departmentstore_6
9,districtboundarydong_11650106,departmentstore_9
