uuid,uuid_districtboundarydong,uuid_hospital
0,districtboundarydong_11650101,hospital_2
1,districtboundarydong_11650101,hospital_3
2,districtboundarydong_11650101,hospital_12
3,districtboundarydong_11650101,hospital_13
4,districtboundarydong_11650102,hospital_10
8,districtboundarydong_11650107,hospital_0
9,districtboundarydong_11650107,hospital_1
10,districtboundarydong_11650108,hospital_4
11,districtboundarydong_11650108,hospital_5
12,districtboundarydong_11650108,hospital_6
13,districtboundarydong_11650108,hospital_7
14,districtboundarydong_11650108,hospital_8
15,districtboundarydong_11650108,hospital_11
16,districtboundarydong_11650109,hospital_9
