uuid,uuid_districtboundarydong,uuid_mart
17,districtboundarydong_11650107,mart_0
14,districtboundarydong_11650106,mart_1
23,districtboundarydong_11650107,mart_10
26,districtboundarydong_11650108,mart_11
27,districtboundarydong_11650108,mart_12
0,districtboundarydong_11650101,mart_13
11,districtboundarydong_11650103,mart_14
12,districtboundarydong_11650103,mart_15
6,districtboundarydong_11650102,mart_16
28,districtboundarydong_11650108,mart_17
37,districtboundarydong_11650109,mart_18
39,districtboundarydong_11650111,mart_19
18,districtboundarydong_11650107,mart_2
40,districtboundarydong_11650111,mart_20
7,districtboundarydong_11650102,mart_21
29,districtboundarydong_11650108,mart_22
1,districtboundarydong_11650101,mart_23
2,districtboundarydong_11650101,mart_24
3,districtboundarydong_11650101,mart_25
16,districtboundarydong_11650106,mart_26
30,districtboundarydong_11650108,mart_27
8,districtboundarydong_11650102,mart_28
9,districtboundarydong_11650102,mart_29
19,districtboundarydong_11650107,mart_3
10,districtboundarydong_11650102,mart_30
4,districtboundarydong_11650101,mart_31
31,districtboundarydong_11650108,mart_32
32,districtboundarydong_11650108,mart_33
33,districtboundarydong_11650108,mart_34
34,districtboundarydong_11650108,mart_35
5,districtboundarydong_11650101,mart_36
35,districtboundarydong_11650108,mart_37
36,districtboundarydong_11650108,mart_38
20,districtboundarydong_11650107,mart_4
21,districtboundarydong_11650107,mart_5
15,districtboundarydong_11650106,mart_6
22,districtboundarydong_11650107,mart_7
24,districtboundarydong_11650108,mart_8
25,districtboundarydong_11650108,mart_9
