uuid,uuid_districtboundarydong,uuid_park
0,districtboundarydong_11650101,park_9
1,districtboundarydong_11650101,park_10
2,districtboundarydong_11650101,park_11
3,districtboundarydong_11650102,park_1
4,districtboundarydong_11650102,park_2
5,districtboundarydong_11650102,park_7
6,districtboundarydong_11650102,park_12
7,districtboundarydong_11650102,park_13
8,districtboundarydong_11650103,park_3
9,districtboundarydong_11650103,park_4
10,districtboundarydong_11650103,park_5
11,districtboundarydong_11650103,park_8
12,districtboundarydong_11650103,park_14
13,districtboundarydong_11650104,park_6
15,districtboundarydong_11650107,park_0
