uuid,uuid_districtboundarydong,uuid_shool
0,districtboundarydong_11650101,school_12
1,districtboundarydong_11650101,school_13
2,districtboundarydong_11650101,school_14
3,districtboundarydong_11650101,school_22
4,districtboundarydong_11650101,school_24
5,districtboundarydong_11650101,school_25
6,districtboundarydong_11650101,school_26
7,districtboundarydong_11650101,school_28
8,districtboundarydong_11650101,school_29
9,districtboundarydong_11650101,school_30
10,districtboundarydong_11650101,school_37
11,districtboundarydong_11650101,school_43
12,districtboundarydong_11650102,school_11
13,districtboundarydong_11650102,school_23
14,districtboundarydong_11650102,school_45
15,districtboundarydong_11650103,school_9
16,districtboundarydong_11650103,school_38
17,districtboundarydong_11650103,school_39
18,districtboundarydong_11650103,school_40
20,districtboundarydong_11650106,school_1
21,districtboundarydong_11650106,school_2
22,districtboundarydong_11650106,school_41
23,districtboundarydong_11650106,school_44
24,districtboundarydong_11650107,school_0
25,districtboundarydong_11650107,school_3
26,districtboundarydong_11650107,school_4
27,districtboundarydong_11650107,school_5
28,districtboundarydong_11650107,school_8
29,districtboundarydong_11650107,school_16
30,districtboundarydong_11650107,school_18
31,districtboundarydong_11650107,school_19
32,districtboundarydong_11650107,school_34
33,districtboundarydong_11650107,school_35
34,districtboundarydong_11650107,school_36
35,districtboundarydong_11650107,school_42
36,districtboundarydong_11650107,school_48
37,districtboundarydong_11650108,school_6
38,districtboundarydong_11650108,school_7
39,districtboundarydong_11650108,school_10
40,districtboundarydong_11650108,school_17
41,districtboundarydong_11650108,school_20
42,districtboundarydong_11650108,school_21
43,districtboundarydong_11650108,school_31
44,districtboundarydong_11650108,school_32
45,districtboundarydong_11650108,school_33
46,districtboundarydong_11650108,school_46
47,districtboundarydong_11650108,school_47
48,districtboundarydong_11650109,school_27
50,districtboundarydong_11650111,school_15
