uuid,uuid_specialpurposearea,uuid_districtboundarydong
"1",specialpurposearea_1,districtboundarydong_11650107
"2",specialpurposearea_2,districtboundarydong_11650107
"3",specialpurposearea_3,districtboundarydong_11650107
"4",specialpurposearea_4,districtboundarydong_11650106
"5",specialpurposearea_5,districtboundarydong_11650107
"6",specialpurposearea_6,districtboundarydong_11650106
"7",specialpurposearea_7,districtboundarydong_11650107
"8",specialpurposearea_8,districtboundarydong_11650107
"9",specialpurposearea_9,districtboundarydong_11650107
"10",specialpurposearea_10,districtboundarydong_11650107
"11",specialpurposearea_11,districtboundarydong_11650107
"12",specialpurposearea_12,districtboundarydong_11650107
"13",specialpurposearea_13,districtboundarydong_11650107
"14",specialpurposearea_14,districtboundarydong_11650107
"15",specialpurposearea_15,districtboundarydong_11650106
"16",specialpurposearea_16,districtboundarydong_11650107
"17",specialpurposearea_17,districtboundarydong_11650107
"18",specialpurposearea_18,districtboundarydong_11650107
"19",specialpurposearea_19,districtboundarydong_11650107
"20",specialpurposearea_20,districtboundarydong_11650107
"21",specialpurposearea_21,districtboundarydong_11650106
"22",specialpurposearea_22,districtboundarydong_11650106
"23",specialpurposearea_23,districtboundarydong_11650107
"24",specialpurposearea_24,districtboundarydong_11650107
"25",specialpurposearea_25,districtboundarydong_11650106
"26",specialpurposearea_26,districtboundarydong_11650107
"27",specialpurposearea_27,districtboundarydong_11650106
"28",specialpurposearea_28,districtboundarydong_11650106
"29",specialpurposearea_29,districtboundarydong_11650107
"30",specialpurposearea_30,districtboundarydong_11650107
"31",specialpurposearea_31,districtboundarydong_11650107
"32",specialpurposearea_32,districtboundarydong_11650107
"33",specialpurposearea_33,districtboundarydong_11650107
"34",specialpurposearea_34,districtboundarydong_11650107
"35",specialpurposearea_35,districtboundarydong_11650107
"36",specialpurposearea_36,districtboundarydong_11650107
"37",specialpurposearea_37,districtboundarydong_11650107
"38",specialpurposearea_38,districtboundarydong_11650107
"39",specialpurposearea_39,districtboundarydong_11650107
"40",specialpurposearea_40,districtboundarydong_11650107
"41",specialpurposearea_41,districtboundarydong_11650107
"42",specialpurposearea_42,districtboundarydong_11650107
"43",specialpurposearea_43,districtboundarydong_11650106
"44",specialpurposearea_44,districtboundarydong_11650107
"45",specialpurposearea_45,districtboundarydong_11650107
"46",specialpurposearea_46,districtboundarydong_11650107
"47",specialpurposearea_47,districtboundarydong_11650107
"48",specialpurposearea_48,districtboundarydong_11650107
"49",specialpurposearea_49,districtboundarydong_11650107
"50",specialpurposearea_50,districtboundarydong_11650107
"51",specialpurposearea_51,districtboundarydong_11650107
"52",specialpurposearea_52,districtboundarydong_11650107
"53",specialpurposearea_53,districtboundarydong_11650107
"54",specialpurposearea_54,districtboundarydong_11650107
"55",specialpurposearea_55,districtboundarydong_11650106
"56",specialpurposearea_56,districtboundarydong_11650107
"57",specialpurposearea_57,districtboundarydong_11650107
"58",specialpurposearea_58,districtboundarydong_11650107
"59",specialpurposearea_59,districtboundarydong_11650107
"60",specialpurposearea_60,districtboundarydong_11650107
"61",specialpurposearea_61,districtboundarydong_11650107
"62",specialpurposearea_62,districtboundarydong_11650107
"63",specialpurposearea_63,districtboundarydong_11650107
"64",specialpurposearea_64,districtboundarydong_11650107
"65",specialpurposearea_65,districtboundarydong_11650107
"66",specialpurposearea_66,districtboundarydong_11650107
"67",specialpurposearea_67,districtboundarydong_11650107
"68",specialpurposearea_68,districtboundarydong_11650107
"69",specialpurposearea_69,districtboundarydong_11650107
"70",specialpurposearea_70,districtboundarydong_11650107
"71",specialpurposearea_71,districtboundarydong_11650107
"72",specialpurposearea_72,districtboundarydong_11650107
"73",specialpurposearea_73,districtboundarydong_11650107
"74",specialpurposearea_74,districtboundarydong_11650106
"75",specialpurposearea_75,districtboundarydong_11650107
"76",specialpurposearea_76,districtboundarydong_11650107
"77",specialpurposearea_77,districtboundarydong_11650107
"78",specialpurposearea_78,districtboundarydong_11650107
"79",specialpurposearea_79,districtboundarydong_11650107
"80",specialpurposearea_80,districtboundarydong_11650107
"81",specialpurposearea_81,districtboundarydong_11650107
"82",specialpurposearea_82,districtboundarydong_11650107
"83",specialpurposearea_83,districtboundarydong_11650107
"84",specialpurposearea_84,districtboundarydong_11650107
"85",specialpurposearea_85,districtboundarydong_11650106
"86",specialpurposearea_86,districtboundarydong_11650107
"87",specialpurposearea_87,districtboundarydong_11650107
"88",specialpurposearea_88,districtboundarydong_11650107
"89",specialpurposearea_89,districtboundarydong_11650107
"90",specialpurposearea_90,districtboundarydong_11650107
"91",specialpurposearea_91,districtboundarydong_11650107
"92",specialpurposearea_92,districtboundarydong_11650107
"93",specialpurposearea_93,districtboundarydong_11650107
"94",specialpurposearea_94,districtboundarydong_11650107
"95",specialpurposearea_95,districtboundarydong_11650107
"96",specialpurposearea_96,districtboundarydong_11650107
"97",specialpurposearea_97,districtboundarydong_11650107
