src,rel,tar
apartment_1165010101,HAS_TYPE,apartmenttype_0
apartment_1165010101,HAS_TYPE,apartmenttype_1
apartment_1165010101,HAS_TYPE,apartmenttype_2
apartment_1165010101,HAS_TYPE,apartmenttype_3
apartment_1165010102,HAS_TYPE,apartmenttype_4
apartment_1165010102,HAS_TYPE,apartmenttype_5
apartment_1165010102,HAS_TYPE,apartmenttype_6
apartment_1165010102,HAS_TYPE,apartmenttype_7
apartment_1165010102,HAS_TYPE,apartmenttype_8
apartment_1165010102,HAS_TYPE,apartmenttype_9
apartment_1165010102,HAS_TYPE,apartmenttype_10
apartment_1165010102,HAS_TYPE,apartmenttype_11
apartment_1165010102,HAS_TYPE,apartmenttype_12
apartment_1165010102,HAS_TYPE,apartmenttype_13
apartment_1165010102,HAS_TYPE,apartmenttype_14
apartment_1165010102,HAS_TYPE,apartmenttype_15
apartment_1165010103,HAS_TYPE,apartmenttype_16
apartment_1165010103,HAS_TYPE,apartmenttype_17
apartment_1165010103,HAS_TYPE,apartmenttype_18
apartment_1165010103,HAS_TYPE,apartmenttype_19
apartment_1165010103,HAS_TYPE,apartmenttype_20
apartment_1165010103,HAS_TYPE,apartmenttype_21
apartment_1165010103,HAS_TYPE,apartmenttype_22
apartment_1165010103,HAS_TYPE,apartmenttype_23
apartment_1165010104,HAS_TYPE,apartmenttype_24
apartment_1165010104,HAS_TYPE,apartmenttype_25
apartment_1165010105,HAS_TYPE,apartmenttype_26
apartment_1165010105,HAS_TYPE,apartmenttype_27
apartment_1165010105,HAS_TYPE,apartmenttype_28
apartment_1165010105,HAS_TYPE,apartmenttype_29
apartment_1165010105,HAS_TYPE,apartmenttype_30
apartment_1165010105,HAS_TYPE,apartmenttype_31
apartment_1165010107,HAS_TYPE,apartmenttype_32
apartment_1165010107,HAS_TYPE,apartmenttype_33
apartment_1165010107,HAS_TYPE,apartmenttype_34
apartment_1165010107,HAS_TYPE,apartmenttype_35
apartment_1165010107,HAS_TYPE,apartmenttype_36
apartment_1165010108,HAS_TYPE,apartmenttype_37
apartment_1165010109,HAS_TYPE,apartmenttype_38
apartment_1165010109,HAS_TYPE,apartmenttype_39
apartment_1165010109,HAS_TYPE,apartmenttype_40
apartment_1165010109,HAS_TYPE,apartmenttype_41
apartment_1165010109,HAS_TYPE,apartmenttype_42
apartment_1165010110,HAS_TYPE,apartmenttype_43
apartment_1165010110,HAS_TYPE,apartmenttype_44
apartment_1165010110,HAS_TYPE,apartmenttype_45
apartment_1165010110,HAS_TYPE,apartmenttype_46
apartment_1165010111,HAS_TYPE,apartmenttype_47
apartment_1165010111,HAS_TYPE,apartmenttype_48
apartment_1165010111,HAS_TYPE,apartmenttype_49
apartment_1165010111,HAS_TYPE,apartmenttype_50
apartment_1165010111,HAS_TYPE,apartmenttype_51
apartment_1165010112,HAS_TYPE,apartmenttype_52
apartment_1165010112,HAS_TYPE,apartmenttype_53
apartment_1165010112,HAS_TYPE,apartmenttype_54
apartment_1165010112,HAS_TYPE,apartmenttype_55
apartment_1165010113,HAS_TYPE,apartmenttype_56
apartment_1165010113,HAS_TYPE,apartmenttype_57
apartment_1165010113,HAS_TYPE,apartmenttype_58
apartment_1165010114,HAS_TYPE,apartmenttype_59
apartment_1165010114,HAS_TYPE,apartmenttype_60
apartment_1165010115,HAS_TYPE,apartmenttype_61
apartment_1165010115,HAS_TYPE,apartmenttype_62
apartment_1165010115,HAS_TYPE,apartmenttype_63
apartment_1165010115,HAS_TYPE,apartmenttype_64
apartment_1165010116,HAS_TYPE,apartmenttype_65
apartment_1165010116,HAS_TYPE,apartmenttype_66
apartment_1165010116,HAS_TYPE,apartmenttype_67
apartment_1165010116,HAS_TYPE,apartmenttype_68
apartment_1165010116,HAS_TYPE,apartmenttype_69
apartment_1165010116,HAS_TYPE,apartmenttype_70
apartment_1165010116,HAS_TYPE,apartmenttype_71
apartment_1165010116,HAS_TYPE,apartmenttype_72
apartment_1165010116,HAS_TYPE,apartmenttype_73
apartment_1165010117,HAS_TYPE,apartmenttype_74
apartment_1165010117,HAS_TYPE,apartmenttype_75
apartment_1165010117,HAS_TYPE,apartmenttype_76
apartment_1165010117,HAS_TYPE,apartmenttype_77
apartment_1165010118,HAS_TYPE,apartmenttype_78
apartment_1165010118,HAS_TYPE,apartmenttype_79
apartment_1165010118,HAS_TYPE,apartmenttype_80
apartment_1165010118,HAS_TYPE,apartmenttype_81
apartment_1165010119,HAS_TYPE,apartmenttype_82
apartment_1165010119,HAS_TYPE,apartmenttype_83
apartment_1165010119,HAS_TYPE,apartmenttype_84
apartment_1165010119,HAS_TYPE,apartmenttype_85
apartment_1165010120,HAS_TYPE,apartmenttype_86
apartment_1165010120,HAS_TYPE,apartmenttype_87
apartment_1165010120,HAS_TYPE,apartmenttype_88
apartment_1165010120,HAS_TYPE,apartmenttype_89
apartment_1165010120,HAS_TYPE,apartmenttype_90
apartment_1165010120,HAS_TYPE,apartmenttype_91
apartment_1165010120,HAS_TYPE,apartmenttype_92
apartment_1165010120,HAS_TYPE,apartmenttype_93
apartment_1165010120,HAS_TYPE,apartmenttype_94
apartment_1165010120,HAS_TYPE,apartmenttype_95
apartment_1165010120,HAS_TYPE,apartmenttype_96
