src,rel,tar
0,"""CURRENT_ADDRESS""",1
2,"""CURRENT_ADDRESS""",1
2,"""HAS_PHONE""",3
2,"""HAS_EMAIL""",4
5,"""CURRENT_ADDRESS""",6
5,"""HAS_PHONE""",7
5,"""HAS_EMAIL""",8
9,"""CURRENT_ADDRESS""",10
9,"""HAS_PHONE""",11
9,"""HAS_EMAIL""",12
13,"""CURRENT_ADDRESS""",10
13,"""HAS_PHONE""",14
13,"""HAS_EMAIL""",15
16,"""CURRENT_ADDRESS""",17
16,"""HAS_PHONE""",18
16,"""HAS_EMAIL""",19
20,"""CURRENT_ADDRESS""",17
20,"""HAS_PHONE""",21
20,"""HAS_EMAIL""",22
23,"""CURRENT_ADDRESS""",24
23,"""HAS_PHONE""",25
23,"""HAS_EMAIL""",26
27,"""CURRENT_ADDRESS""",28
27,"""HAS_PHONE""",29
27,"""HAS_EMAIL""",30
31,"""CURRENT_ADDRESS""",32
31,"""HAS_PHONE""",33
31,"""HAS_EMAIL""",34
35,"""CURRENT_ADDRESS""",36
35,"""HAS_PHONE""",37
35,"""HAS_EMAIL""",38
39,"""CURRENT_ADDRESS""",40
39,"""HAS_PHONE""",41
39,"""HAS_EMAIL""",42
43,"""CURRENT_ADDRESS""",44
43,"""HAS_PHONE""",45
43,"""HAS_EMAIL""",46
47,"""CURRENT_ADDRESS""",44
47,"""HAS_PHONE""",48
47,"""HAS_EMAIL""",49
50,"""CURRENT_ADDRESS""",44
50,"""HAS_PHONE""",51
50,"""HAS_EMAIL""",52
53,"""CURRENT_ADDRESS""",54
53,"""HAS_PHONE""",55
53,"""HAS_EMAIL""",56
57,"""CURRENT_ADDRESS""",58
59,"""CURRENT_ADDRESS""",58
59,"""HAS_PHONE""",60
59,"""HAS_EMAIL""",61
62,"""CURRENT_ADDRESS""",63
62,"""HAS_PHONE""",64
62,"""HAS_EMAIL""",65
66,"""CURRENT_ADDRESS""",67
66,"""HAS_PHONE""",68
66,"""HAS_EMAIL""",69
70,"""CURRENT_ADDRESS""",71
70,"""HAS_PHONE""",72
70,"""HAS_EMAIL""",73
74,"""CURRENT_ADDRESS""",75
74,"""HAS_PHONE""",76
74,"""HAS_EMAIL""",77
78,"""CURRENT_ADDRESS""",79
78,"""HAS_PHONE""",80
78,"""HAS_EMAIL""",81
82,"""CURRENT_ADDRESS""",83
82,"""HAS_PHONE""",84
82,"""HAS_EMAIL""",85
86,"""CURRENT_ADDRESS""",87
86,"""HAS_PHONE""",88
86,"""HAS_EMAIL""",89
90,"""CURRENT_ADDRESS""",91
92,"""CURRENT_ADDRESS""",93
94,"""CURRENT_ADDRESS""",95
94,"""HAS_PHONE""",96
94,"""HAS_EMAIL""",97
98,"""CURRENT_ADDRESS""",99
98,"""HAS_PHONE""",100
98,"""HAS_EMAIL""",101
102,"""CURRENT_ADDRESS""",103
102,"""HAS_PHONE""",104
102,"""HAS_EMAIL""",105
106,"""CURRENT_ADDRESS""",107
106,"""HAS_PHONE""",108
106,"""HAS_EMAIL""",109
110,"""CURRENT_ADDRESS""",111
110,"""HAS_PHONE""",112
110,"""HAS_EMAIL""",113
114,"""CURRENT_ADDRESS""",115
114,"""HAS_PHONE""",116
114,"""HAS_EMAIL""",117
118,"""CURRENT_ADDRESS""",115
118,"""HAS_PHONE""",119
118,"""HAS_EMAIL""",120
121,"""CURRENT_ADDRESS""",115
121,"""HAS_PHONE""",122
121,"""HAS_EMAIL""",123
124,"""CURRENT_ADDRESS""",125
124,"""HAS_PHONE""",126
124,"""HAS_EMAIL""",127
128,"""CURRENT_ADDRESS""",125
128,"""HAS_PHONE""",129
128,"""HAS_EMAIL""",130
131,"""CURRENT_ADDRESS""",132
131,"""HAS_PHONE""",133
131,"""HAS_EMAIL""",134
135,"""CURRENT_ADDRESS""",136
137,"""CURRENT_ADDRESS""",138
137,"""HAS_PHONE""",139
137,"""HAS_EMAIL""",140
141,"""CURRENT_ADDRESS""",142
143,"""CURRENT_ADDRESS""",144
143,"""HAS_PHONE""",145
143,"""HAS_EMAIL""",146
147,"""CURRENT_ADDRESS""",148
147,"""HAS_PHONE""",149
147,"""HAS_EMAIL""",150
151,"""CURRENT_ADDRESS""",152
151,"""HAS_PHONE""",153
151,"""HAS_EMAIL""",154
155,"""CURRENT_ADDRESS""",156
155,"""HAS_PHONE""",157
155,"""HAS_EMAIL""",158
159,"""CURRENT_ADDRESS""",156
159,"""HAS_PHONE""",160
159,"""HAS_EMAIL""",161
162,"""CURRENT_ADDRESS""",163
162,"""HAS_PHONE""",164
162,"""HAS_EMAIL""",165
166,"""CURRENT_ADDRESS""",167
166,"""HAS_PHONE""",168
166,"""HAS_EMAIL""",169
170,"""CURRENT_ADDRESS""",171
170,"""HAS_PHONE""",172
170,"""HAS_EMAIL""",173
174,"""CURRENT_ADDRESS""",171
175,"""CURRENT_ADDRESS""",176
175,"""HAS_PHONE""",177
175,"""HAS_EMAIL""",178
179,"""CURRENT_ADDRESS""",180
179,"""HAS_PHONE""",181
179,"""HAS_EMAIL""",182
183,"""CURRENT_ADDRESS""",184
183,"""HAS_PHONE""",185
183,"""HAS_EMAIL""",186
187,"""CURRENT_ADDRESS""",188
187,"""HAS_PHONE""",189
187,"""HAS_EMAIL""",190
191,"""CURRENT_ADDRESS""",192
191,"""HAS_PHONE""",193
191,"""HAS_EMAIL""",194
195,"""CURRENT_ADDRESS""",196
195,"""HAS_PHONE""",197
195,"""HAS_EMAIL""",198
199,"""CURRENT_ADDRESS""",200
199,"""HAS_PHONE""",201
199,"""HAS_EMAIL""",202
203,"""CURRENT_ADDRESS""",204
203,"""HAS_PHONE""",205
203,"""HAS_EMAIL""",206
207,"""CURRENT_ADDRESS""",208
207,"""HAS_PHONE""",209
207,"""HAS_EMAIL""",210
211,"""CURRENT_ADDRESS""",208
211,"""HAS_PHONE""",212
211,"""HAS_EMAIL""",213
214,"""CURRENT_ADDRESS""",208
214,"""HAS_PHONE""",215
214,"""HAS_EMAIL""",216
217,"""CURRENT_ADDRESS""",218
217,"""HAS_PHONE""",219
217,"""HAS_EMAIL""",220
221,"""CURRENT_ADDRESS""",222
221,"""HAS_PHONE""",223
221,"""HAS_EMAIL""",224
225,"""CURRENT_ADDRESS""",226
225,"""HAS_PHONE""",227
225,"""HAS_EMAIL""",228
229,"""CURRENT_ADDRESS""",226
229,"""HAS_PHONE""",230
229,"""HAS_EMAIL""",231
