latitude,longitude,altitude,geometry,uuid,name,lon,lat
37.4889667,127.025952,,Point,0,무지개종합상가,127.025952,37.4889667
37.5052027,127.0063666,,Point,1,터미널상가,127.0063666,37.5052027
37.5102628,127.0069895,,Point,2,(주)이랜드킴스클럽 강남점,127.0069895,37.5102628
37.4624667,127.0369441,,Point,3,(주)이마트 양재점,127.0369441,37.4624667
37.5042121,127.0032242,,Point,4,신세계백화점 강남점,127.0032242,37.5042121
37.5017332,126.9872199,,Point,5,엘루체,126.9872199,37.5017332
37.4922553,127.0259319,,Point,6,무지개쇼핑,127.0259319,37.4922553
37.5664106,126.9778779,,Point,8,롯데슈퍼 방배2점,126.9778779,37.5664106
37.5083791,127.0079985,,Point,9,뉴코아백화점,127.0079985,37.5083791
37.5092213,127.0074331,,Point,10,뉴코아아울렛,127.0074331,37.5092213
37.4968273,126.9856803,,Point,11,롯데쇼핑(주)롯데슈퍼 방배점,126.9856803,37.4968273
37.4847365,127.0178205,,Point,13,국제전자도매센타,127.0178205,37.4847365
37.5021451,126.9869203,,Point,14,반포프라자,126.9869203,37.5021451
37.4904901,127.0249371,,Point,15,신동아종합상가,127.0249371,37.4904901
37.5147673,127.0122802,,Point,17,대림상가,127.0122802,37.5147673
37.4999252,127.0174633,,Point,18,서초쇼핑,127.0174633,37.4999252
37.5015404,127.0134158,,Point,19,한양스토아,127.0134158,37.5015404
37.4819534,126.9838575,,Point,20,방배종합시장,126.9838575,37.4819534
37.4911996,126.9892846,,Point,21,이수시장,126.9892846,37.4911996
37.5054735,126.9947134,,Point,22,신반포종합시장,126.9947134,37.5054735
37.5154139,127.0141834,,Point,23,신사쇼핑,127.0141834,37.5154139
37.4934028,127.015434,,Point,24,대림서초리시온,127.015434,37.4934028
37.4981054,127.0131783,,Point,25,아크로비스타 아케이드,127.0131783,37.4981054
37.4624667,127.0369441,,Point,26,하이브랜드,127.0369441,37.4624667
37.5037829,127.0241309,,Point,27,교보타워 지하아케이드,127.0241309,37.5037829
37.4619559,127.036182,,Point,28,코스트코코리아,127.036182,37.4619559
37.5021451,126.9869203,,Point,29,반포프라자,126.9869203,37.5021451
32.5220203,123.7417741,,Point,31,롯데쇼핑(주) 롯데마트 서초점,123.7417741,32.5220203
