latitude,longitude,altitude,geometry,lon,name,lat,uuid
37.46189923,127.0377358,,Point,127.0377358,양재IC,37.46189923,0
37.48339867,127.0251943,,Point,127.0251943,서초IC,37.48339867,1
37.46013538,127.0798889,,Point,127.0798889,내곡IC,37.46013538,2
37.46003437,127.0799376,,Point,127.0799376,내곡IC,37.46003437,3
37.45704499,127.0707999,,Point,127.0707999,내곡IC,37.45704499,4
37.50488424,126.9855549,,Point,126.9855549,올림픽대로 한수길램프,37.50488424,5
37.46496032,127.0418795,,Point,127.0418795,양재IC,37.46496032,6
37.46385955,127.0405976,,Point,127.0405976,양재IC,37.46385955,7
37.50319526,127.0173467,,Point,127.0173467,반포IC,37.50319526,8
37.50329606,127.017396,,Point,127.017396,반포IC,37.50329606,9
37.48387714,127.0286616,,Point,127.0286616,서초IC,37.48387714,10
37.48310174,127.0238381,,Point,127.0238381,서초IC,37.48310174,11
37.46315547,127.0392707,,Point,127.0392707,양재IC,37.46315547,12
37.50914758,127.0150312,,Point,127.0150312,잠원IC,37.50914758,13
37.52254564,127.0171954,,Point,127.0171954,올림픽대로 강남대로,37.52254564,14
37.48351551,127.0268364,,Point,127.0268364,서초IC,37.48351551,15
37.46540643,127.0903546,,Point,127.0903546,용인서울고속국도 헌릉로,37.46540643,16
37.45968899,127.0190394,,Point,127.0190394,선암로IC,37.45968899,17
37.460802,127.0204466,,Point,127.0204466,선암로IC,37.460802,18
37.45950962,127.0201769,,Point,127.0201769,선암로IC,37.45950962,19
37.50933579,126.9991849,,Point,126.9991849,올림픽대로 반포로램프,37.50933579,20
37.50571321,126.9803548,,Point,126.9803548,올림픽대로 동작대로램프,37.50571321,21
37.46187398,127.0854634,,Point,127.0854634,용인서울고속국도 헌릉,37.46187398,22
37.50972007,126.9982337,,Point,126.9982337,올림픽대로 반포로램프,37.50972007,23
37.46913031,126.986573,,Point,126.986573,사당IC,37.46913031,24
