uuid,uuid_districtboundarydong,uuid_academy
0,districtboundarydong_11650101,academy_0
1,districtboundarydong_11650101,academy_4
2,districtboundarydong_11650101,academy_5
3,districtboundarydong_11650101,academy_7
4,districtboundarydong_11650101,academy_12
5,districtboundarydong_11650101,academy_15
6,districtboundarydong_11650101,academy_17
7,districtboundarydong_11650101,academy_20
8,districtboundarydong_11650101,academy_26
9,districtboundarydong_11650101,academy_30
10,districtboundarydong_11650101,academy_33
11,districtboundarydong_11650101,academy_38
12,districtboundarydong_11650101,academy_39
13,districtboundarydong_11650101,academy_53
14,districtboundarydong_11650101,academy_54
15,districtboundarydong_11650101,academy_59
16,districtboundarydong_11650101,academy_60
17,districtboundarydong_11650101,academy_64
18,districtboundarydong_11650101,academy_72
19,districtboundarydong_11650101,academy_80
20,districtboundarydong_11650101,academy_91
21,districtboundarydong_11650101,academy_92
22,districtboundarydong_11650101,academy_101
23,districtboundarydong_11650101,academy_104
24,districtboundarydong_11650101,academy_108
25,districtboundarydong_11650101,academy_111
26,districtboundarydong_11650101,academy_115
27,districtboundarydong_11650101,academy_120
28,districtboundarydong_11650101,academy_125
29,districtboundarydong_11650101,academy_130
30,districtboundarydong_11650101,academy_135
31,districtboundarydong_11650101,academy_139
32,districtboundarydong_11650101,academy_140
33,districtboundarydong_11650101,academy_141
34,districtboundarydong_11650101,academy_142
35,districtboundarydong_11650101,academy_146
36,districtboundarydong_11650101,academy_148
37,districtboundarydong_11650101,academy_152
38,districtboundarydong_11650101,academy_154
39,districtboundarydong_11650101,academy_166
40,districtboundarydong_11650101,academy_173
41,districtboundarydong_11650101,academy_181
42,districtboundarydong_11650101,academy_185
43,districtboundarydong_11650101,academy_186
44,districtboundarydong_11650101,academy_187
45,districtboundarydong_11650101,academy_188
46,districtboundarydong_11650101,academy_191
47,districtboundarydong_11650101,academy_197
48,districtboundarydong_11650101,academy_199
49,districtboundarydong_11650101,academy_202
50,districtboundarydong_11650101,academy_206
51,districtboundarydong_11650101,academy_218
52,districtboundarydong_11650101,academy_219
53,districtboundarydong_11650101,academy_220
54,districtboundarydong_11650101,academy_225
55,districtboundarydong_11650101,academy_229
56,districtboundarydong_11650101,academy_230
57,districtboundarydong_11650101,academy_231
58,districtboundarydong_11650101,academy_232
59,districtboundarydong_11650101,academy_235
60,districtboundarydong_11650101,academy_240
61,districtboundarydong_11650101,academy_243
62,districtboundarydong_11650101,academy_245
63,districtboundarydong_11650101,academy_247
64,districtboundarydong_11650101,academy_250
65,districtboundarydong_11650101,academy_257
66,districtboundarydong_11650101,academy_264
67,districtboundarydong_11650101,academy_272
68,districtboundarydong_11650101,academy_282
69,districtboundarydong_11650101,academy_286
70,districtboundarydong_11650101,academy_290
71,districtboundarydong_11650101,academy_292
72,districtboundarydong_11650101,academy_294
73,districtboundarydong_11650101,academy_299
74,districtboundarydong_11650101,academy_302
75,districtboundarydong_11650101,academy_304
76,districtboundarydong_11650101,academy_306
77,districtboundarydong_11650101,academy_308
78,districtboundarydong_11650101,academy_309
79,districtboundarydong_11650101,academy_310
80,districtboundarydong_11650101,academy_314
81,districtboundarydong_11650101,academy_315
82,districtboundarydong_11650101,academy_316
83,districtboundarydong_11650101,academy_319
84,districtboundarydong_11650101,academy_323
85,districtboundarydong_11650101,academy_324
86,districtboundarydong_11650101,academy_326
87,districtboundarydong_11650101,academy_329
88,districtboundarydong_11650101,academy_339
89,districtboundarydong_11650101,academy_345
90,districtboundarydong_11650101,academy_348
91,districtboundarydong_11650101,academy_354
92,districtboundarydong_11650101,academy_357
93,districtboundarydong_11650101,academy_359
94,districtboundarydong_11650101,academy_362
95,districtboundarydong_11650101,academy_368
96,districtboundarydong_11650101,academy_369
97,districtboundarydong_11650101,academy_372
98,districtboundarydong_11650101,academy_376
99,districtboundarydong_11650101,academy_380
100,districtboundarydong_11650101,academy_384
101,districtboundarydong_11650101,academy_389
102,districtboundarydong_11650101,academy_392
103,districtboundarydong_11650101,academy_394
104,districtboundarydong_11650101,academy_396
105,districtboundarydong_11650101,academy_409
106,districtboundarydong_11650101,academy_411
107,districtboundarydong_11650101,academy_412
108,districtboundarydong_11650101,academy_413
109,districtboundarydong_11650101,academy_414
110,districtboundarydong_11650101,academy_417
111,districtboundarydong_11650101,academy_419
112,districtboundarydong_11650101,academy_422
113,districtboundarydong_11650101,academy_424
114,districtboundarydong_11650101,academy_425
115,districtboundarydong_11650101,academy_426
116,districtboundarydong_11650101,academy_427
117,districtboundarydong_11650101,academy_433
118,districtboundarydong_11650101,academy_439
119,districtboundarydong_11650101,academy_440
120,districtboundarydong_11650101,academy_441
121,districtboundarydong_11650101,academy_444
122,districtboundarydong_11650101,academy_450
123,districtboundarydong_11650101,academy_454
124,districtboundarydong_11650101,academy_462
125,districtboundarydong_11650101,academy_466
126,districtboundarydong_11650101,academy_468
127,districtboundarydong_11650101,academy_470
128,districtboundarydong_11650101,academy_474
129,districtboundarydong_11650101,academy_478
130,districtboundarydong_11650101,academy_479
131,districtboundarydong_11650101,academy_481
132,districtboundarydong_11650101,academy_484
133,districtboundarydong_11650101,academy_489
134,districtboundarydong_11650101,academy_499
135,districtboundarydong_11650101,academy_506
136,districtboundarydong_11650101,academy_508
137,districtboundarydong_11650101,academy_513
138,districtboundarydong_11650101,academy_517
139,districtboundarydong_11650101,academy_520
140,districtboundarydong_11650101,academy_525
141,districtboundarydong_11650101,academy_535
142,districtboundarydong_11650101,academy_538
143,districtboundarydong_11650101,academy_539
144,districtboundarydong_11650101,academy_545
145,districtboundarydong_11650101,academy_546
146,districtboundarydong_11650101,academy_549
147,districtboundarydong_11650101,academy_552
148,districtboundarydong_11650101,academy_553
149,districtboundarydong_11650101,academy_555
150,districtboundarydong_11650101,academy_561
151,districtboundarydong_11650101,academy_572
152,districtboundarydong_11650101,academy_578
153,districtboundarydong_11650101,academy_593
154,districtboundarydong_11650101,academy_594
155,districtboundarydong_11650101,academy_601
156,districtboundarydong_11650101,academy_606
157,districtboundarydong_11650101,academy_610
158,districtboundarydong_11650101,academy_621
159,districtboundarydong_11650101,academy_628
160,districtboundarydong_11650101,academy_634
161,districtboundarydong_11650101,academy_642
162,districtboundarydong_11650101,academy_644
163,districtboundarydong_11650101,academy_645
164,districtboundarydong_11650101,academy_646
165,districtboundarydong_11650101,academy_648
166,districtboundarydong_11650101,academy_650
167,districtboundarydong_11650101,academy_660
168,districtboundarydong_11650101,academy_663
169,districtboundarydong_11650101,academy_672
170,districtboundarydong_11650101,academy_683
171,districtboundarydong_11650101,academy_689
172,districtboundarydong_11650101,academy_690
173,districtboundarydong_11650101,academy_699
174,districtboundarydong_11650101,academy_702
175,districtboundarydong_11650101,academy_707
176,districtboundarydong_11650101,academy_719
177,districtboundarydong_11650101,academy_720
178,districtboundarydong_11650101,academy_726
179,districtboundarydong_11650101,academy_731
180,districtboundarydong_11650101,academy_735
181,districtboundarydong_11650101,academy_736
182,districtboundarydong_11650101,academy_737
183,districtboundarydong_11650101,academy_742
184,districtboundarydong_11650101,academy_743
185,districtboundarydong_11650101,academy_769
186,districtboundarydong_11650101,academy_774
187,districtboundarydong_11650101,academy_784
188,districtboundarydong_11650101,academy_785
189,districtboundarydong_11650101,academy_791
190,districtboundarydong_11650101,academy_801
191,districtboundarydong_11650101,academy_810
192,districtboundarydong_11650101,academy_811
193,districtboundarydong_11650101,academy_817
194,districtboundarydong_11650101,academy_821
195,districtboundarydong_11650101,academy_824
196,districtboundarydong_11650101,academy_825
197,districtboundarydong_11650101,academy_829
198,districtboundarydong_11650101,academy_830
199,districtboundarydong_11650101,academy_833
200,districtboundarydong_11650101,academy_840
201,districtboundarydong_11650101,academy_843
202,districtboundarydong_11650101,academy_845
203,districtboundarydong_11650101,academy_846
204,districtboundarydong_11650101,academy_851
205,districtboundarydong_11650101,academy_859
206,districtboundarydong_11650101,academy_864
207,districtboundarydong_11650101,academy_895
208,districtboundarydong_11650101,academy_897
209,districtboundarydong_11650101,academy_898
210,districtboundarydong_11650101,academy_900
211,districtboundarydong_11650101,academy_903
212,districtboundarydong_11650101,academy_905
213,districtboundarydong_11650101,academy_909
214,districtboundarydong_11650101,academy_917
215,districtboundarydong_11650101,academy_928
216,districtboundarydong_11650101,academy_931
217,districtboundarydong_11650101,academy_936
218,districtboundarydong_11650101,academy_942
219,districtboundarydong_11650101,academy_947
220,districtboundarydong_11650101,academy_955
221,districtboundarydong_11650101,academy_956
222,districtboundarydong_11650101,academy_962
223,districtboundarydong_11650101,academy_975
224,districtboundarydong_11650101,academy_979
225,districtboundarydong_11650101,academy_988
226,districtboundarydong_11650101,academy_994
227,districtboundarydong_11650101,academy_996
228,districtboundarydong_11650101,academy_1003
229,districtboundarydong_11650101,academy_1007
230,districtboundarydong_11650101,academy_1014
231,districtboundarydong_11650101,academy_1020
232,districtboundarydong_11650101,academy_1021
233,districtboundarydong_11650101,academy_1022
234,districtboundarydong_11650101,academy_1023
235,districtboundarydong_11650101,academy_1024
236,districtboundarydong_11650101,academy_1031
237,districtboundarydong_11650101,academy_1039
238,districtboundarydong_11650101,academy_1040
239,districtboundarydong_11650101,academy_1042
240,districtboundarydong_11650101,academy_1044
241,districtboundarydong_11650101,academy_1045
242,districtboundarydong_11650101,academy_1047
243,districtboundarydong_11650101,academy_1048
244,districtboundarydong_11650101,academy_1050
245,districtboundarydong_11650101,academy_1052
246,districtboundarydong_11650101,academy_1059
247,districtboundarydong_11650101,academy_1061
248,districtboundarydong_11650101,academy_1066
249,districtboundarydong_11650101,academy_1068
250,districtboundarydong_11650101,academy_1069
251,districtboundarydong_11650101,academy_1080
252,districtboundarydong_11650101,academy_1084
253,districtboundarydong_11650101,academy_1087
254,districtboundarydong_11650101,academy_1089
255,districtboundarydong_11650101,academy_1091
256,districtboundarydong_11650101,academy_1096
257,districtboundarydong_11650101,academy_1097
258,districtboundarydong_11650101,academy_1098
259,districtboundarydong_11650101,academy_1101
260,districtboundarydong_11650101,academy_1107
261,districtboundarydong_11650101,academy_1113
262,districtboundarydong_11650101,academy_1115
263,districtboundarydong_11650101,academy_1120
264,districtboundarydong_11650101,academy_1124
265,districtboundarydong_11650101,academy_1130
266,districtboundarydong_11650101,academy_1133
267,districtboundarydong_11650101,academy_1139
268,districtboundarydong_11650101,academy_1142
269,districtboundarydong_11650101,academy_1144
270,districtboundarydong_11650101,academy_1147
271,districtboundarydong_11650101,academy_1156
272,districtboundarydong_11650101,academy_1163
273,districtboundarydong_11650101,academy_1167
274,districtboundarydong_11650101,academy_1175
275,districtboundarydong_11650101,academy_1182
276,districtboundarydong_11650101,academy_1185
277,districtboundarydong_11650101,academy_1186
278,districtboundarydong_11650101,academy_1199
279,districtboundarydong_11650101,academy_1202
280,districtboundarydong_11650101,academy_1220
281,districtboundarydong_11650101,academy_1229
282,districtboundarydong_11650101,academy_1236
283,districtboundarydong_11650101,academy_1237
284,districtboundarydong_11650101,academy_1240
285,districtboundarydong_11650101,academy_1250
286,districtboundarydong_11650101,academy_1251
287,districtboundarydong_11650101,academy_1254
288,districtboundarydong_11650101,academy_1258
289,districtboundarydong_11650101,academy_1259
290,districtboundarydong_11650101,academy_1260
291,districtboundarydong_11650101,academy_1261
292,districtboundarydong_11650101,academy_1264
293,districtboundarydong_11650101,academy_1265
294,districtboundarydong_11650101,academy_1270
295,districtboundarydong_11650101,academy_1273
296,districtboundarydong_11650101,academy_1286
297,districtboundarydong_11650101,academy_1291
298,districtboundarydong_11650101,academy_1293
299,districtboundarydong_11650101,academy_1299
300,districtboundarydong_11650101,academy_1300
301,districtboundarydong_11650101,academy_1312
302,districtboundarydong_11650101,academy_1320
303,districtboundarydong_11650101,academy_1324
304,districtboundarydong_11650101,academy_1325
305,districtboundarydong_11650101,academy_1332
306,districtboundarydong_11650101,academy_1338
307,districtboundarydong_11650101,academy_1340
308,districtboundarydong_11650101,academy_1357
309,districtboundarydong_11650101,academy_1368
310,districtboundarydong_11650101,academy_1370
311,districtboundarydong_11650101,academy_1376
312,districtboundarydong_11650101,academy_1393
313,districtboundarydong_11650101,academy_1398
314,districtboundarydong_11650101,academy_1399
315,districtboundarydong_11650101,academy_1402
316,districtboundarydong_11650101,academy_1404
317,districtboundarydong_11650101,academy_1407
318,districtboundarydong_11650101,academy_1413
319,districtboundarydong_11650101,academy_1418
320,districtboundarydong_11650101,academy_1423
321,districtboundarydong_11650101,academy_1432
322,districtboundarydong_11650101,academy_1434
323,districtboundarydong_11650101,academy_1447
324,districtboundarydong_11650101,academy_1449
325,districtboundarydong_11650101,academy_1450
326,districtboundarydong_11650101,academy_1451
327,districtboundarydong_11650101,academy_1452
328,districtboundarydong_11650101,academy_1462
329,districtboundarydong_11650101,academy_1468
330,districtboundarydong_11650101,academy_1469
331,districtboundarydong_11650101,academy_1474
332,districtboundarydong_11650101,academy_1477
333,districtboundarydong_11650101,academy_1478
334,districtboundarydong_11650101,academy_1480
335,districtboundarydong_11650101,academy_1486
336,districtboundarydong_11650101,academy_1488
337,districtboundarydong_11650101,academy_1493
338,districtboundarydong_11650101,academy_1495
339,districtboundarydong_11650101,academy_1508
340,districtboundarydong_11650101,academy_1511
341,districtboundarydong_11650101,academy_1515
342,districtboundarydong_11650101,academy_1517
343,districtboundarydong_11650101,academy_1519
344,districtboundarydong_11650101,academy_1524
345,districtboundarydong_11650101,academy_1529
346,districtboundarydong_11650101,academy_1533
347,districtboundarydong_11650101,academy_1536
348,districtboundarydong_11650101,academy_1538
349,districtboundarydong_11650101,academy_1539
350,districtboundarydong_11650101,academy_1541
351,districtboundarydong_11650101,academy_1544
352,districtboundarydong_11650101,academy_1546
353,districtboundarydong_11650101,academy_1547
354,districtboundarydong_11650101,academy_1548
355,districtboundarydong_11650101,academy_1552
356,districtboundarydong_11650101,academy_1554
357,districtboundarydong_11650101,academy_1562
358,districtboundarydong_11650101,academy_1570
359,districtboundarydong_11650101,academy_1577
360,districtboundarydong_11650101,academy_1581
361,districtboundarydong_11650101,academy_1590
362,districtboundarydong_11650101,academy_1593
363,districtboundarydong_11650101,academy_1598
364,districtboundarydong_11650101,academy_1606
365,districtboundarydong_11650101,academy_1611
366,districtboundarydong_11650101,academy_1619
367,districtboundarydong_11650101,academy_1620
368,districtboundarydong_11650101,academy_1622
369,districtboundarydong_11650101,academy_1623
370,districtboundarydong_11650101,academy_1629
371,districtboundarydong_11650101,academy_1641
372,districtboundarydong_11650101,academy_1654
373,districtboundarydong_11650101,academy_1668
374,districtboundarydong_11650101,academy_1670
375,districtboundarydong_11650101,academy_1682
376,districtboundarydong_11650101,academy_1693
377,districtboundarydong_11650101,academy_1697
378,districtboundarydong_11650101,academy_1700
379,districtboundarydong_11650101,academy_1703
380,districtboundarydong_11650101,academy_1704
381,districtboundarydong_11650101,academy_1705
382,districtboundarydong_11650101,academy_1706
