uuid,uuid_districtboundarydong,uuid_apartment
0,districtboundarydong_11650101,apartment_1165010140
1,districtboundarydong_11650101,apartment_1165010116
2,districtboundarydong_11650101,apartment_1165010109
3,districtboundarydong_11650101,apartment_1165010102
4,districtboundarydong_11650101,apartment_1165010138
5,districtboundarydong_11650101,apartment_1165010110
6,districtboundarydong_11650101,apartment_1165010130
7,districtboundarydong_11650101,apartment_1165010134
8,districtboundarydong_11650101,apartment_1165010123
9,districtboundarydong_11650101,apartment_1165010120
10,districtboundarydong_11650101,apartment_1165010112
11,districtboundarydong_11650101,apartment_1165010118
12,districtboundarydong_11650101,apartment_1165010103
13,districtboundarydong_11650101,apartment_1165010104
14,districtboundarydong_11650101,apartment_1165010113
15,districtboundarydong_11650101,apartment_1165010117
16,districtboundarydong_11650101,apartment_1165010108
17,districtboundarydong_11650101,apartment_1165010105
18,districtboundarydong_11650101,apartment_1165010139
19,districtboundarydong_11650101,apartment_1165010135
20,districtboundarydong_11650101,apartment_1165010119
21,districtboundarydong_11650101,apartment_1165010126
22,districtboundarydong_11650101,apartment_1165010107
23,districtboundarydong_11650101,apartment_1165010122
24,districtboundarydong_11650101,apartment_1165010133
25,districtboundarydong_11650101,apartment_1165010129
26,districtboundarydong_11650101,apartment_1165010131
27,districtboundarydong_11650101,apartment_1165010128
28,districtboundarydong_11650101,apartment_1165010125
29,districtboundarydong_11650101,apartment_1165010101
30,districtboundarydong_11650101,apartment_1165010111
31,districtboundarydong_11650101,apartment_1165010124
32,districtboundarydong_11650101,apartment_1165010121
33,districtboundarydong_11650101,apartment_1165010132
34,districtboundarydong_11650101,apartment_1165010136
35,districtboundarydong_11650101,apartment_1165010127
36,districtboundarydong_11650101,apartment_1165010114
37,districtboundarydong_11650101,apartment_1165010115
38,districtboundarydong_11650102,apartment_1165010201
39,districtboundarydong_11650102,apartment_1165010202
40,districtboundarydong_11650102,apartment_1165010203
41,districtboundarydong_11650103,apartment_1165010312
42,districtboundarydong_11650103,apartment_1165010307
43,districtboundarydong_11650103,apartment_1165010311
44,districtboundarydong_11650103,apartment_1165010313
45,districtboundarydong_11650103,apartment_1165010314
46,districtboundarydong_11650103,apartment_1165010301
47,districtboundarydong_11650103,apartment_1165010302
48,districtboundarydong_11650103,apartment_1165010310
49,districtboundarydong_11650103,apartment_1165010308
50,districtboundarydong_11650103,apartment_1165010304
51,districtboundarydong_11650103,apartment_1165010303
52,districtboundarydong_11650103,apartment_1165010309
53,districtboundarydong_11650103,apartment_1165010305
54,districtboundarydong_11650103,apartment_1165010306
55,districtboundarydong_11650104,
56,districtboundarydong_11650106,apartment_1165010643
57,districtboundarydong_11650106,apartment_1165010638
58,districtboundarydong_11650106,apartment_1165010648
59,districtboundarydong_11650106,apartment_1165010646
60,districtboundarydong_11650106,apartment_1165010603
61,districtboundarydong_11650106,apartment_1165010604
62,districtboundarydong_11650106,apartment_1165010619
63,districtboundarydong_11650106,apartment_1165010602
64,districtboundarydong_11650106,apartment_1165010621
65,districtboundarydong_11650106,apartment_1165010626
66,districtboundarydong_11650106,apartment_1165010651
67,districtboundarydong_11650106,apartment_1165010615
68,districtboundarydong_11650106,apartment_1165010611
69,districtboundarydong_11650106,apartment_1165010633
70,districtboundarydong_11650106,apartment_1165010617
71,districtboundarydong_11650106,apartment_1165010610
72,districtboundarydong_11650106,apartment_1165010647
73,districtboundarydong_11650106,apartment_1165010608
74,districtboundarydong_11650106,apartment_1165010635
