uuid,uuid_districtboundarydong,uuid_busstation
0,districtboundarydong_11650101,busstation_21
1,districtboundarydong_11650101,busstation_22
2,districtboundarydong_11650101,busstation_23
3,districtboundarydong_11650101,busstation_24
4,districtboundarydong_11650101,busstation_25
5,districtboundarydong_11650101,busstation_83
6,districtboundarydong_11650101,busstation_144
7,districtboundarydong_11650101,busstation_145
8,districtboundarydong_11650101,busstation_146
9,districtboundarydong_11650101,busstation_147
10,districtboundarydong_11650101,busstation_148
11,districtboundarydong_11650101,busstation_149
12,districtboundarydong_11650101,busstation_150
13,districtboundarydong_11650101,busstation_151
14,districtboundarydong_11650101,busstation_152
15,districtboundarydong_11650101,busstation_153
16,districtboundarydong_11650101,busstation_154
17,districtboundarydong_11650101,busstation_155
18,districtboundarydong_11650101,busstation_156
19,districtboundarydong_11650101,busstation_157
20,districtboundarydong_11650101,busstation_158
21,districtboundarydong_11650101,busstation_159
22,districtboundarydong_11650101,busstation_160
23,districtboundarydong_11650101,busstation_161
24,districtboundarydong_11650101,busstation_162
25,districtboundarydong_11650101,busstation_163
26,districtboundarydong_11650101,busstation_164
27,districtboundarydong_11650101,busstation_165
28,districtboundarydong_11650101,busstation_166
29,districtboundarydong_11650101,busstation_167
30,districtboundarydong_11650101,busstation_168
31,districtboundarydong_11650101,busstation_169
32,districtboundarydong_11650101,busstation_170
33,districtboundarydong_11650101,busstation_171
34,districtboundarydong_11650101,busstation_172
35,districtboundarydong_11650101,busstation_173
36,districtboundarydong_11650101,busstation_174
37,districtboundarydong_11650101,busstation_175
38,districtboundarydong_11650101,busstation_176
39,districtboundarydong_11650101,busstation_177
40,districtboundarydong_11650101,busstation_178
41,districtboundarydong_11650101,busstation_179
42,districtboundarydong_11650101,busstation_180
43,districtboundarydong_11650101,busstation_181
44,districtboundarydong_11650101,busstation_182
45,districtboundarydong_11650101,busstation_183
46,districtboundarydong_11650101,busstation_185
47,districtboundarydong_11650101,busstation_186
48,districtboundarydong_11650101,busstation_255
49,districtboundarydong_11650101,busstation_257
50,districtboundarydong_11650101,busstation_267
51,districtboundarydong_11650101,busstation_268
52,districtboundarydong_11650101,busstation_269
53,districtboundarydong_11650101,busstation_282
54,districtboundarydong_11650101,busstation_283
55,districtboundarydong_11650101,busstation_284
56,districtboundarydong_11650101,busstation_285
57,districtboundarydong_11650101,busstation_286
58,districtboundarydong_11650101,busstation_287
59,districtboundarydong_11650101,busstation_288
60,districtboundarydong_11650101,busstation_289
61,districtboundarydong_11650101,busstation_290
62,districtboundarydong_11650101,busstation_291
63,districtboundarydong_11650101,busstation_310
64,districtboundarydong_11650101,busstation_311
65,districtboundarydong_11650101,busstation_313
66,districtboundarydong_11650101,busstation_316
67,districtboundarydong_11650101,busstation_319
68,districtboundarydong_11650101,busstation_320
69,districtboundarydong_11650101,busstation_321
70,districtboundarydong_11650101,busstation_326
71,districtboundarydong_11650101,busstation_330
72,districtboundarydong_11650101,busstation_331
73,districtboundarydong_11650101,busstation_332
74,districtboundarydong_11650101,busstation_337
75,districtboundarydong_11650101,busstation_340
76,districtboundarydong_11650101,busstation_341
77,districtboundarydong_11650101,busstation_342
78,districtboundarydong_11650101,busstation_343
79,districtboundarydong_11650101,busstation_348
80,districtboundarydong_11650101,busstation_349
81,districtboundarydong_11650101,busstation_352
82,districtboundarydong_11650101,busstation_353
83,districtboundarydong_11650101,busstation_354
84,districtboundarydong_11650101,busstation_358
85,districtboundarydong_11650101,busstation_360
86,districtboundarydong_11650101,busstation_361
87,districtboundarydong_11650101,busstation_362
88,districtboundarydong_11650101,busstation_366
89,districtboundarydong_11650101,busstation_371
90,districtboundarydong_11650101,busstation_372
91,districtboundarydong_11650101,busstation_378
92,districtboundarydong_11650101,busstation_384
93,districtboundarydong_11650101,busstation_385
94,districtboundarydong_11650101,busstation_390
95,districtboundarydong_11650101,busstation_394
96,districtboundarydong_11650101,busstation_398
97,districtboundarydong_11650101,busstation_399
98,districtboundarydong_11650101,busstation_400
99,districtboundarydong_11650101,busstation_409
100,districtboundarydong_11650101,busstation_410
101,districtboundarydong_11650101,busstation_418
102,districtboundarydong_11650101,busstation_419
103,districtboundarydong_11650101,busstation_423
104,districtboundarydong_11650101,busstation_426
105,districtboundarydong_11650101,busstation_428
106,districtboundarydong_11650101,busstation_432
107,districtboundarydong_11650101,busstation_433
108,districtboundarydong_11650101,busstation_434
109,districtboundarydong_11650101,busstation_439
110,districtboundarydong_11650101,busstation_443
111,districtboundarydong_11650101,busstation_448
112,districtboundarydong_11650101,busstation_453
113,districtboundarydong_11650101,busstation_479
114,districtboundarydong_11650101,busstation_485
115,districtboundarydong_11650101,busstation_490
116,districtboundarydong_11650101,busstation_499
117,districtboundarydong_11650101,busstation_500
118,districtboundarydong_11650101,busstation_502
119,districtboundarydong_11650101,busstation_514
120,districtboundarydong_11650101,busstation_517
121,districtboundarydong_11650101,busstation_522
122,districtboundarydong_11650101,busstation_526
123,districtboundarydong_11650101,busstation_530
124,districtboundarydong_11650101,busstation_536
125,districtboundarydong_11650101,busstation_543
126,districtboundarydong_11650101,busstation_548
127,districtboundarydong_11650101,busstation_549
128,districtboundarydong_11650101,busstation_554
129,districtboundarydong_11650101,busstation_555
130,districtboundarydong_11650101,busstation_557
131,districtboundarydong_11650101,busstation_565
132,districtboundarydong_11650101,busstation_569
133,districtboundarydong_11650101,busstation_570
134,districtboundarydong_11650101,busstation_572
135,districtboundarydong_11650101,busstation_573
