uuid,uuid_districtboundarydong,uuid_subway
0,districtboundarydong_11650101,subway_5
1,districtboundarydong_11650101,subway_6
2,districtboundarydong_11650101,subway_8
3,districtboundarydong_11650102,subway_13
4,districtboundarydong_11650102,subway_14
7,districtboundarydong_11650106,subway_15
8,districtboundarydong_11650107,subway_1
9,districtboundarydong_11650107,subway_3
10,districtboundarydong_11650107,subway_7
11,districtboundarydong_11650107,subway_10
12,districtboundarydong_11650107,subway_12
13,districtboundarydong_11650108,subway_0
14,districtboundarydong_11650108,subway_2
15,districtboundarydong_11650108,subway_4
16,districtboundarydong_11650108,subway_11
19,districtboundarydong_11650111,subway_16
