uuid,uuid_districtboundarydong,uuid_daycare
31,districtboundarydong_11650108,daycare_0
32,districtboundarydong_11650108,daycare_1
34,districtboundarydong_11650108,daycare_10
35,districtboundarydong_11650108,daycare_11
36,districtboundarydong_11650108,daycare_12
18,districtboundarydong_11650103,daycare_13
19,districtboundarydong_11650103,daycare_14
37,districtboundarydong_11650108,daycare_15
38,districtboundarydong_11650108,daycare_16
39,districtboundarydong_11650108,daycare_17
20,districtboundarydong_11650103,daycare_18
40,districtboundarydong_11650108,daycare_19
33,districtboundarydong_11650108,daycare_2
41,districtboundarydong_11650108,daycare_20
42,districtboundarydong_11650108,daycare_21
25,districtboundarydong_11650107,daycare_22
22,districtboundarydong_11650106,daycare_23
23,districtboundarydong_11650106,daycare_24
24,districtboundarydong_11650106,daycare_25
26,districtboundarydong_11650107,daycare_26
43,districtboundarydong_11650108,daycare_27
27,districtboundarydong_11650107,daycare_28
0,districtboundarydong_11650101,daycare_29
44,districtboundarydong_11650109,daycare_3
1,districtboundarydong_11650101,daycare_30
28,districtboundarydong_11650107,daycare_31
29,districtboundarydong_11650107,daycare_32
2,districtboundarydong_11650101,daycare_33
3,districtboundarydong_11650101,daycare_34
4,districtboundarydong_11650101,daycare_35
5,districtboundarydong_11650101,daycare_36
30,districtboundarydong_11650107,daycare_37
6,districtboundarydong_11650101,daycare_38
7,districtboundarydong_11650101,daycare_39
45,districtboundarydong_11650109,daycare_4
8,districtboundarydong_11650101,daycare_40
9,districtboundarydong_11650101,daycare_41
10,districtboundarydong_11650101,daycare_42
11,districtboundarydong_11650101,daycare_43
12,districtboundarydong_11650101,daycare_44
13,districtboundarydong_11650101,daycare_45
14,districtboundarydong_11650101,daycare_46
47,districtboundarydong_11650111,daycare_5
48,districtboundarydong_11650111,daycare_6
15,districtboundarydong_11650102,daycare_7
16,districtboundarydong_11650102,daycare_8
17,districtboundarydong_11650102,daycare_9
