uuid,uuid_districtboundarydong,uuid_department
20,districtboundarydong_11650108,department_0
13,districtboundarydong_11650107,department_1
10,districtboundarydong_11650106,department_10
0,districtboundarydong_11650101,department_11
22,districtboundarydong_11650108,department_13
16,districtboundarydong_11650107,department_14
23,districtboundarydong_11650108,department_15
11,districtboundarydong_11650106,department_17
24,districtboundarydong_11650108,department_18
17,districtboundarydong_11650107,department_19
8,districtboundarydong_11650106,department_2
1,districtboundarydong_11650101,department_20
2,districtboundarydong_11650101,department_21
18,districtboundarydong_11650107,department_22
12,districtboundarydong_11650106,department_23
25,districtboundarydong_11650108,department_24
26,districtboundarydong_11650108,department_25
4,districtboundarydong_11650102,department_26
27,districtboundarydong_11650108,department_27
5,districtboundarydong_11650102,department_28
19,districtboundarydong_11650107,department_29
3,districtboundarydong_11650102,department_3
14,districtboundarydong_11650107,department_4
15,districtboundarydong_11650107,department_5
21,districtboundarydong_11650108,department_6
9,districtboundarydong_11650106,department_9
