uuid,uuid_districtboundarydong,uuid_goodwaytowalk
0,districtboundarydong_11650101,goodwaytowalk_5527
1,districtboundarydong_11650101,goodwaytowalk_5579
2,districtboundarydong_11650101,goodwaytowalk_5667
3,districtboundarydong_11650101,goodwaytowalk_5713
4,districtboundarydong_11650101,goodwaytowalk_5715
5,districtboundarydong_11650101,goodwaytowalk_5826
6,districtboundarydong_11650101,goodwaytowalk_5836
7,districtboundarydong_11650101,goodwaytowalk_5850
8,districtboundarydong_11650101,goodwaytowalk_5892
9,districtboundarydong_11650101,goodwaytowalk_5907
10,districtboundarydong_11650101,goodwaytowalk_5910
11,districtboundarydong_11650101,goodwaytowalk_5976
12,districtboundarydong_11650101,goodwaytowalk_5528
13,districtboundarydong_11650101,goodwaytowalk_5563
14,districtboundarydong_11650101,goodwaytowalk_5578
15,districtboundarydong_11650101,goodwaytowalk_5630
16,districtboundarydong_11650101,goodwaytowalk_5704
17,districtboundarydong_11650101,goodwaytowalk_5929
18,districtboundarydong_11650101,goodwaytowalk_5989
19,districtboundarydong_11650101,goodwaytowalk_5526
20,districtboundarydong_11650101,goodwaytowalk_5564
21,districtboundarydong_11650101,goodwaytowalk_5577
22,districtboundarydong_11650101,goodwaytowalk_5668
23,districtboundarydong_11650101,goodwaytowalk_5685
24,districtboundarydong_11650101,goodwaytowalk_5709
25,districtboundarydong_11650101,goodwaytowalk_5712
26,districtboundarydong_11650101,goodwaytowalk_5716
27,districtboundarydong_11650101,goodwaytowalk_5928
28,districtboundarydong_11650101,goodwaytowalk_5983
29,districtboundarydong_11650101,goodwaytowalk_5568
30,districtboundarydong_11650101,goodwaytowalk_5714
31,districtboundarydong_11650101,goodwaytowalk_5573
32,districtboundarydong_11650101,goodwaytowalk_5670
33,districtboundarydong_11650102,goodwaytowalk_5556
34,districtboundarydong_11650102,goodwaytowalk_5895
35,districtboundarydong_11650102,goodwaytowalk_5477
36,districtboundarydong_11650102,goodwaytowalk_5557
37,districtboundarydong_11650102,goodwaytowalk_5764
38,districtboundarydong_11650102,goodwaytowalk_5896
39,districtboundarydong_11650102,goodwaytowalk_5949
40,districtboundarydong_11650102,goodwaytowalk_5510
41,districtboundarydong_11650102,goodwaytowalk_5558
42,districtboundarydong_11650102,goodwaytowalk_5615
43,districtboundarydong_11650102,goodwaytowalk_5726
44,districtboundarydong_11650103,goodwaytowalk_5497
45,districtboundarydong_11650103,goodwaytowalk_5680
46,districtboundarydong_11650103,goodwaytowalk_5690
47,districtboundarydong_11650103,goodwaytowalk_5801
48,districtboundarydong_11650103,goodwaytowalk_5866
49,districtboundarydong_11650103,goodwaytowalk_5942
50,districtboundarydong_11650103,goodwaytowalk_5498
51,districtboundarydong_11650103,goodwaytowalk_5679
52,districtboundarydong_11650103,goodwaytowalk_5688
53,districtboundarydong_11650103,goodwaytowalk_5763
54,districtboundarydong_11650103,goodwaytowalk_5766
55,districtboundarydong_11650103,goodwaytowalk_5788
56,districtboundarydong_11650103,goodwaytowalk_5868
57,districtboundarydong_11650103,goodwaytowalk_5902
58,districtboundarydong_11650103,goodwaytowalk_5941
59,districtboundarydong_11650103,goodwaytowalk_5508
60,districtboundarydong_11650103,goodwaytowalk_5562
61,districtboundarydong_11650103,goodwaytowalk_5613
62,districtboundarydong_11650103,goodwaytowalk_5681
63,districtboundarydong_11650103,goodwaytowalk_5689
64,districtboundarydong_11650103,goodwaytowalk_5694
65,districtboundarydong_11650103,goodwaytowalk_5767
66,districtboundarydong_11650103,goodwaytowalk_5865
67,districtboundarydong_11650104,goodwaytowalk_
68,districtboundarydong_11650106,goodwaytowalk_5464
69,districtboundarydong_11650106,goodwaytowalk_5472
70,districtboundarydong_11650106,goodwaytowalk_5479
71,districtboundarydong_11650106,goodwaytowalk_5519
72,districtboundarydong_11650106,goodwaytowalk_5521
73,districtboundarydong_11650106,goodwaytowalk_5532
74,districtboundarydong_11650106,goodwaytowalk_5541
75,districtboundarydong_11650106,goodwaytowalk_5559
