uuid,uuid_districtboundarydong,uuid_highway
1,districtboundarydong_11650102,highway_0
16,districtboundarydong_11650108,highway_1
17,districtboundarydong_11650108,highway_10
18,districtboundarydong_11650108,highway_11
4,districtboundarydong_11650102,highway_12
14,districtboundarydong_11650107,highway_13
9,districtboundarydong_11650106,highway_14
19,districtboundarydong_11650108,highway_15
23,districtboundarydong_11650109,highway_16
5,districtboundarydong_11650103,highway_17
6,districtboundarydong_11650103,highway_18
7,districtboundarydong_11650103,highway_19
20,districtboundarydong_11650109,highway_2
10,districtboundarydong_11650106,highway_20
24,districtboundarydong_11650109,highway_22
15,districtboundarydong_11650107,highway_23
0,districtboundarydong_11650101,highway_24
21,districtboundarydong_11650109,highway_3
22,districtboundarydong_11650109,highway_4
11,districtboundarydong_11650107,highway_5
2,districtboundarydong_11650102,highway_6
3,districtboundarydong_11650102,highway_7
12,districtboundarydong_11650107,highway_8
13,districtboundarydong_11650107,highway_9
